case_id,wavelength_nm,grating_order_n,u_x,angle_deg,reflected_fraction,absolute_efficiency
RUN3C_P_PILOT_HF_V1,445.0,-5,-0.89661468453753,-63.716590054151155,0.43732010907358826,0.09862399053246804
RUN3C_P_PILOT_HF_V1,445.0,-4,-0.7172917476300239,-45.83133239900734,0.04900676205900974,0.011051955620274018
RUN3C_P_PILOT_HF_V1,445.0,-3,-0.537968810722518,-32.5454737498507,0.055048582092590836,0.012414500788967624
RUN3C_P_PILOT_HF_V1,445.0,-2,-0.35864587381501195,-21.017057767514277,0.012022438251563126,0.002711288165575355
RUN3C_P_PILOT_HF_V1,445.0,-1,-0.17932293690750598,-10.3303252881226,0.0090622917217606,0.002043718901613525
RUN3C_P_PILOT_HF_V1,445.0,0,0.0,0.0,0.1739314896721282,0.039224854368257615
RUN3C_P_PILOT_HF_V1,445.0,1,0.17932293690750598,10.3303252881226,0.0810482491906712,0.018277919526240735
RUN3C_P_PILOT_HF_V1,445.0,2,0.35864587381501195,21.017057767514277,0.06522085707536257,0.01470854199763687
RUN3C_P_PILOT_HF_V1,445.0,3,0.537968810722518,32.5454737498507,0.013777670560725421,0.0031071263880797203
RUN3C_P_PILOT_HF_V1,445.0,4,0.7172917476300239,45.83133239900734,0.020029603763175575,0.004517056066992135
RUN3C_P_PILOT_HF_V1,445.0,5,0.89661468453753,63.716590054151155,0.08353194653942456,0.018838040450768697
RUN3C_P_PILOT_HF_V1,445.99999999999994,-5,-0.8986295489971649,-63.97850821485912,0.4328021214817394,0.10097207686995167
RUN3C_P_PILOT_HF_V1,445.99999999999994,-4,-0.7189036391977318,-45.9640368900906,0.051208047445926996,0.011946759607758596
RUN3C_P_PILOT_HF_V1,445.99999999999994,-3,-0.5391777293982989,-32.62768085136686,0.052139386737994876,0.012164039648505005
RUN3C_P_PILOT_HF_V1,445.99999999999994,-2,-0.3594518195988659,-21.066534211690957,0.013521791535795203,0.0031546134055384484
RUN3C_P_PILOT_HF_V1,445.99999999999994,-1,-0.17972590979943295,-10.353795238423753,0.011159615470611048,0.002603521321198474
RUN3C_P_PILOT_HF_V1,445.99999999999994,0,0.0,0.0,0.17219064649234422,0.04017181601233259
RUN3C_P_PILOT_HF_V1,445.99999999999994,1,0.17972590979943295,10.353795238423753,0.08489246287304585,0.019805282510054333
RUN3C_P_PILOT_HF_V1,445.99999999999994,2,0.3594518195988659,21.066534211690957,0.06613530414564629,0.015429265899043377
RUN3C_P_PILOT_HF_V1,445.99999999999994,3,0.5391777293982989,32.62768085136686,0.011982604433147267,0.002795523394810849
RUN3C_P_PILOT_HF_V1,445.99999999999994,4,0.7189036391977318,45.9640368900906,0.021408856213119814,0.004994653602547283
RUN3C_P_PILOT_HF_V1,445.99999999999994,5,0.8986295489971649,63.97850821485912,0.08255916317062896,0.019260927237241713
RUN3C_P_PILOT_HF_V1,446.99999999999994,-5,-0.9006444134567998,-64.24290221514806,0.3738054713473264,0.08723967357492717
RUN3C_P_PILOT_HF_V1,446.99999999999994,-4,-0.7205155307654397,-46.09706002807847,0.050691194921514776,0.0118304402611778
RUN3C_P_PILOT_HF_V1,446.99999999999994,-3,-0.5403866480740799,-32.709963534562064,0.040033286897582177,0.009343070524057103
RUN3C_P_PILOT_HF_V1,446.99999999999994,-2,-0.36025776538271986,-21.116027118597202,0.017646904431277463,0.004118479530659745
RUN3C_P_PILOT_HF_V1,446.99999999999994,-1,-0.18012888269135993,-10.377266945332993,0.013350219876802306,0.0031157083389064945
RUN3C_P_PILOT_HF_V1,446.99999999999994,0,0.0,0.0,0.1778344144659054,0.04150344887268557
RUN3C_P_PILOT_HF_V1,446.99999999999994,1,0.18012888269135993,10.377266945332993,0.09680395715342234,0.022592354232768518
RUN3C_P_PILOT_HF_V1,446.99999999999994,2,0.36025776538271986,21.116027118597202,0.06266129466089003,0.01462405264506964
RUN3C_P_PILOT_HF_V1,446.99999999999994,3,0.5403866480740799,32.709963534562064,0.016983779999830473,0.003963717860825218
RUN3C_P_PILOT_HF_V1,446.99999999999994,4,0.7205155307654397,46.09706002807847,0.04090692473266931,0.009546962348542708
RUN3C_P_PILOT_HF_V1,446.99999999999994,5,0.9006444134567998,64.24290221514806,0.10928255151277916,0.02550464038700916
RUN3C_P_PILOT_HF_V1,448.00000000000006,-5,-0.9026592779164347,-64.50984941675019,0.08272736634018686,0.03198763614928454
RUN3C_P_PILOT_HF_V1,448.00000000000006,-4,-0.7221274223331478,-46.23040484167946,0.03503744083702256,0.013547692362017357
RUN3C_P_PILOT_HF_V1,448.00000000000006,-3,-0.5415955667498609,-32.792322178460594,0.02820651110499835,0.010906422556197662
