rank,geometry_id,geometry_hash,tail_score,ranking_score,ps_score,redundancy_score
1,K6X_D105_D110_D165_D200_D215_D220,4ef84012a8f7313d144dc0f2eb6c8fecfe26d2127a794fcb3ca59499c7714070,0.6009847692730592,0.31398517037271095,0.050160222348164425,0.8322234232547772
2,K6X_D150_D155_D160_D165_D195_D225,5bf51dafd6662aa3d6ab0915626262a3aa8cbf7eba4c42d374bf202838833ac1,0.5990495565660519,0.42237445743427676,0.1489131206815893,0.892030138757707
3,K6X_D100_D120_D130_D150_D165_D180,a6e37e4082d76939c42119f938954aaac21bc4995367b568f15b7dd938b5d748,0.5916123421461807,0.4498652445749998,0.1608820530501279,0.9456118727790558
4,K6X_D125_D135_D150_D175_D195_D210,ba68207f7cbc118689cd26066f5c7ffe384d880c539cbbc9c6af112f2dc24d18,0.5610823266000577,0.39844866893133335,0.0523011792789806,0.978723404255319
5,K6X_D110_D125_D135_D155_D175_D195,a3ad99978a51c5a5a648762b417ca3aafec573a1e02d054ff42fa2f542719e2f,0.555824912226806,0.39687369735266187,0.13271736014973035,0.978723404255319
6,K6X_D160_D165_D170_D175_D180_D220,35df0a885e8930de3868cebd5d71e2a3f516172023fcd0da2669969a72abb29b,0.5524136621649808,0.46501220894740447,0.1687326499006965,0.8611619939803976
