wavelength_nm,polarization,hf_eta_plus1,lf_eta_plus1,hf_minus_lf_eta_plus1,ridge_error,residual_mlp_error,cnn_error
445,p,0.36910622557513906,0.8107654452323914,-0.4416592196572523,0.24667077951865823,0.3076340035546522,0.07096825282288582
445,s,0.5143383853068383,0.8107654452323914,-0.29642705992555307,0.13040881241993618,0.18101720885133432,0.19542395198647494
446,p,0.3621607727936685,0.8033885955810547,-0.4412278227873862,0.25024992265870066,0.31059969394089976,0.06306961249627469
446,s,0.5438623880893885,0.8033885955810547,-0.2595262074916662,0.09751849999595774,0.1326101168442867,0.22397168035814152
447,p,0.25806555448117263,0.7958982586860657,-0.537832704204893,0.3482315137911528,0.4063127110586324,0.04198049209373783
447,s,0.5683545993991824,0.7958982586860657,-0.22754365928688325,0.06691266150612019,0.08814132936516084,0.24748593839289074
448,p,0.25161579997238614,0.7880855798721313,-0.5364697798997452,0.34694855430979465,0.40160990008814035,0.04938684154652456
448,s,0.5593880570975035,0.7880855798721313,-0.22869752277462785,0.06814648981765437,0.07615473299750786,0.23753981362254317
449,p,0.358247451030232,0.7790669202804565,-0.42081946925022456,0.23034087096526484,0.2806014100283211,0.05628650590083745
449,s,0.5345716431939079,0.7790669202804565,-0.2444952770865486,0.08298687143456607,0.0786593203541166,0.2117422178589775
450,p,0.20695992651606712,0.7643860578536987,-0.5574261313376316,0.36648834579661926,0.4113768106398472,0.09596102095618733
450,s,0.5199116253906817,0.7643860578536987,-0.24447443246301703,0.08250683955498173,0.06732869306660383,0.19609935919983496
451,p,0.1677509104181098,0.7375625967979431,-0.5698116863798333,0.3816431141317152,0.4209848687083754,0.13613173812938062
451,s,0.517106989665609,0.7375625967979431,-0.22045560713233414,0.06125722751719309,0.038229207551696565,0.19231024349111453
452,p,0.030698343706850383,0.6864879727363586,-0.6557896290295082,0.47899006974158703,0.5137504094911375,0.27414770464825217
452,s,0.5156131916090246,0.6864879727363586,-0.170874781127334,0.023045414472389947,0.0010322861715551523,0.18983037599368852
453,p,0.14164388400454628,0.6086181998252869,-0.46697431582074056,0.31690982339270257,0.34777362920702193,0.1641672231541146
453,s,0.5098526075680031,0.6086181998252869,-0.09876559225728376,0.022328707537777104,0.043915579239425406,0.18308206351587908
454,p,0.23971298153253154,0.5291181206703186,-0.2894051391377871,0.1756469544190454,0.1975960551197156,0.06706487322795632
454,s,0.49764480487574486,0.5291181206703186,-0.03147331579457374,0.053314676291190854,0.08519556419123558,0.16988495286374639
455,p,0.28104969485907216,0.4823527932167053,-0.20130309835763316,0.11848974858713884,0.12879984950712858,0.026696596301511333
455,s,0.4807633790952504,0.4823527932167053,-0.001589414121454913,0.05225374301606217,0.11811590528314714,0.15201265946850584
