baseline,selected_geometry_ids,tail_mean,ranking_mean,ps_mean,redundancy_mean,lf_eta_plus1_std
proposed_Primary2,"['K6X_D100_D140_D165_D190_D225_D230', 'K6X_D105_D110_D115_D125_D165_D230']",0.5569611255094684,0.48797060181338914,0.1309785974973982,0.8706812827826251,0.07661765944632837
residual_score_top2,"['K6X_D105_D110_D165_D200_D215_D220', 'K6X_D105_D110_D115_D120_D135_D200']",0.46158886505439967,0.3833254004223299,0.10212260819124903,0.8483523324261563,0.092934703566215
performance_only_top2,"['K6X_D100_D120_D130_D150_D165_D180', 'K6X_D115_D125_D135_D155_D180_D195']",0.5665782056145335,0.41756746410361556,0.14109520614147186,0.9546624585977228,0.003861062237991042
ranking_ambiguity_top2,"['K6X_D100_D120_D130_D150_D165_D180', 'K6X_D115_D125_D135_D155_D180_D195']",0.5665782056145335,0.41756746410361556,0.14109520614147186,0.9546624585977228,0.003861062237991042
random2_seeded_20260816,"['K6X_D150_D155_D160_D165_D195_D225', 'K6X_D100_D130_D135_D165_D170_D230']",0.538264590621695,0.4546152281716336,0.09201426533135501,0.9154028244808943,0.014386038181708055
