monitor,z_nm,wavelength_nm,signed_T_result,raw_Pz_integral_W,sourcepower_W,raw_Pz_over_sourcepower,raw_vs_T_difference
N1_DIAG_PML_LOWER,-500.0,445.0,-0.22558719799963878,-4.2438273475463616e-16,9.406179484425252e-16,-0.22558719799963892,-1.3877787807814457e-16
N1_DIAG_PML_LOWER,-500.0,445.99999999999994,-0.2332604989191079,-4.388479420166789e-16,9.406820787279247e-16,-0.23326049891910813,-2.220446049250313e-16
N1_DIAG_PML_LOWER,-500.0,446.99999999999994,-0.23337451092695713,-4.3909217287160763e-16,9.407457805215036e-16,-0.23337451092695644,6.938893903907228e-16
N1_DIAG_PML_LOWER,-500.0,448.00000000000006,-0.3863981479079917,-7.270537548057628e-16,9.408090576289273e-16,-0.38639814790799265,-9.43689570931383e-16
N1_DIAG_PML_LOWER,-500.0,449.0,-0.3615108374595605,-6.802707870099707e-16,9.408719138137385e-16,-0.3615108374595619,-1.4432899320127035e-15
N1_DIAG_PML_LOWER,-500.0,450.0,-0.25777727592344635,-4.85102988574076e-16,9.409343527979162e-16,-0.2577772759234465,-1.6653345369377348e-16
N1_DIAG_PML_LOWER,-500.0,450.9999999999999,-0.2541173056747679,-4.782469285875244e-16,9.409963782624261e-16,-0.25411730567476765,2.7755575615628914e-16
N1_DIAG_PML_LOWER,-500.0,451.99999999999994,-0.24790856262787653,-4.665926692085436e-16,9.410579938477605e-16,-0.24790856262787697,-4.440892098500626e-16
N1_DIAG_PML_LOWER,-500.0,453.00000000000006,-0.2428000984020986,-4.570076702680202e-16,9.411192031544697e-16,-0.24280009840209882,-2.220446049250313e-16
N1_DIAG_PML_LOWER,-500.0,453.9999999999999,-0.23909663259281927,-4.50065941986785e-16,9.411800097436879e-16,-0.23909663259281916,1.1102230246251565e-16
N1_DIAG_PML_LOWER,-500.0,455.00000000000006,-0.23244138218849367,-4.375664470622987e-16,9.412404171376484e-16,-0.23244138218849367,0.0
N1_DIAG_LOWER_OUTSIDE,-110.0,445.0,0.7737775817350684,1.45565816296492e-15,9.406179484425252e-16,0.77377758173507,1.6653345369377348e-15
N1_DIAG_LOWER_OUTSIDE,-110.0,445.99999999999994,0.7662048542095641,1.4415103499785619e-15,9.406820787279247e-16,0.766204854209566,1.887379141862766e-15
N1_DIAG_LOWER_OUTSIDE,-110.0,446.99999999999994,0.7659077841622357,1.4410490324384026e-15,9.407457805215036e-16,0.7659077841622395,3.774758283725532e-15
