wavelength_nm,delta_T_vs_v0,delta_R_vs_v0,delta_eta_plus1_vs_v0,delta_eta0_vs_v0,delta_eta_minus1_vs_v0
445.0,0.0053946471833621334,0.0019166647806712067,0.005947490554858548,0.0002896224899226335,3.3650919884860373e-05
445.99999999999994,-0.0076672709595038135,-0.002440664696188144,-0.005476805092515469,-0.00087749647932793,-3.215550826772247e-05
446.99999999999994,0.010935999255465512,0.004679478037161289,0.008014607593395118,0.0021112535423362597,1.616375202757067e-06
448.00000000000006,-0.023437745792007636,-0.013615254975196112,-0.02014991324527793,0.0011092819189914144,0.0001368612324927469
449.0,-0.1224138805744992,0.04448229894170708,-0.08106611815685971,-0.01479889872503716,-0.0012238263817553443
450.0,-0.05178636791783331,0.07403686042259527,-0.07602636258622386,-0.005888171342342145,-0.0006409047885750441
450.9999999999999,0.0043999464303061675,-0.006223815987292491,0.00833606020120714,0.00020062769444232492,0.00010345642305020037
451.99999999999994,-0.009053809527924228,0.006802376820791517,-0.012003367249217467,0.0006037943437071924,-0.00036652010527731807
453.00000000000006,0.005977373290418253,-0.001398232055363019,0.006858843491940547,0.00048616779875066546,-0.00016034599982668596
453.9999999999999,-0.008454193245516328,0.0025402562444315213,-0.008752614347409704,0.00021459753215633676,-0.00028909852401364736
455.00000000000006,0.004364087339544409,0.0016920003938551142,0.0036364754273392474,0.0005448230615749186,-0.00035817447059849176
