wavelength_nm,formal_T,formal_R,lower_inside_flux,upper_inside_flux,upper_outside_flux
445.0,0.7818208954194135,0.2194359078597056,0.779226102656438,0.7817551266639527,0.781758520881202
445.99999999999994,0.7704720387252383,0.22171050898435601,0.7771560218592141,0.7705585171650552,0.7705521093178069
446.99999999999994,0.7796628092276696,0.22646484493548208,0.7724461710452591,0.7795580153601074,0.7795618303889744
448.00000000000006,0.7556279536072191,0.2244898594462352,0.7742919009349094,0.7557708862771358,0.7557635206357113
449.0,0.6245991117111378,0.34825246897499496,0.6505609101025307,0.6244962569621676,0.6244823018731381
450.0,0.6836449549409476,0.3402610711630233,0.6589368904334428,0.6837845993647614,0.6837835030317774
450.9999999999999,0.7430239747580014,0.2505383378689656,0.7489929345572186,0.7428161201012978,0.7428187897616434
451.99999999999994,0.74843632234989,0.25098486384638646,0.7483918048111801,0.7486553944427211,0.74865203490784
453.00000000000006,0.7584151636101886,0.2408207582953262,0.7590174778578279,0.7582195968456492,0.7582203282254659
453.9999999999999,0.7568608509208435,0.23941932397927232,0.7602504220790773,0.7570010651496648,0.7570003063953048
455.00000000000006,0.7684487636529037,0.23315364229814992,0.7668420432997316,0.7684053700325637,0.7684023503938808
