wavelength_nm,T_formal_diagnostic,R_formal_diagnostic,closure,residual,eta_plus1_abs,eta_0_abs,eta_minus1_abs,order_sum_minus_T,dominant_order,plus1_u_x
445.0,0.7818208954194135,0.2194359078597056,1.0012568032791191,-0.001256803279119062,0.6915158888632721,0.05246104521433679,0.0004731046405464379,2.220446049250313e-16,1,0.2557471264367816
445.99999999999994,0.7704720387252383,0.22171050898435601,0.9921825477095942,0.007817452290405702,0.6755821183986631,0.05237763823086082,0.0005242365291478803,2.220446049250313e-16,1,0.25632183908045975
446.99999999999994,0.7796628092276696,0.22646484493548208,1.0061276541631516,-0.006127654163151697,0.6813847997116658,0.0520966363815266,0.0006865790078118331,2.220446049250313e-16,1,0.2568965517241379
448.00000000000006,0.7556279536072191,0.2244898594462352,0.9801178130534544,0.01988218694654567,0.6643927841719472,0.044275835306113516,0.0006740221845997583,2.220446049250313e-16,1,0.2574712643678161
449.0,0.6245991117111378,0.34825246897499496,0.9728515806861328,0.027148419313867245,0.527479239187249,0.05267299543543387,0.003770767662966551,1.1102230246251565e-16,1,0.25804597701149423
450.0,0.6836449549409476,0.3402610711630233,1.0239060261039707,-0.023906026103970857,0.5444547258427898,0.04527483464713284,0.0019909630003223295,0.0,1,0.25862068965517243
450.9999999999999,0.7430239747580014,0.2505383378689656,0.993562312626967,0.006437687373032963,0.6338184529129994,0.04872689402355011,0.003025234754937685,0.0,1,0.2591954022988506
451.99999999999994,0.74843632234989,0.25098486384638646,0.9994211861962765,0.0005788138037235435,0.6383033140308594,0.04618988719110738,0.0036076999591245777,1.1102230246251565e-16,1,0.2597701149425287
453.00000000000006,0.7584151636101886,0.2408207582953262,0.9992359219055148,0.0007640780944852266,0.6537156877948842,0.042779748611570696,0.0046329255780521265,-1.1102230246251565e-16,1,0.26034482758620686
453.9999999999999,0.7568608509208435,0.23941932397927232,0.9962801749001159,0.0037198250998841387,0.6529068165834497,0.04005200039039953,0.005515012328173226,0.0,1,0.260919540229885
455.00000000000006,0.7684487636529037,0.23315364229814992,1.0016024059510535,-0.001602405951053626,0.6664637810620698,0.03777831679042151,0.006627439027774885,-1.1102230246251565e-16,1,0.26149425287356326
