monitor,wavelength_nm,z_nm,monitor_T_signed,raw_power_W,sourcepower_W,raw_over_sourcepower,path_C_available
N1_DIAG_PML_LOWER,445.0,-500.0,-0.21921182777727327,-2.0620080714280396e-16,9.406463566934492e-16,-0.2192118277772733,False
N1_DIAG_PML_LOWER,445.99999999999994,-500.0,-0.22192333547392473,-2.0876561031121533e-16,9.407104929519437e-16,-0.22192333547392476,False
N1_DIAG_PML_LOWER,446.99999999999994,-500.0,-0.22628343780993285,-2.1288162033249013e-16,9.407742006787982e-16,-0.22628343780993287,False
N1_DIAG_PML_LOWER,448.00000000000006,-500.0,-0.2246077592328641,-2.1131939901165775e-16,9.408374836800294e-16,-0.2246077592328641,False
N1_DIAG_PML_LOWER,449.0,-500.0,-0.3480476943707771,-3.27478195960349e-16,9.409003457195286e-16,-0.3480476943707771,False
N1_DIAG_PML_LOWER,450.0,-500.0,-0.3403848068188779,-3.2028943767477334e-16,9.409627905196206e-16,-0.3403848068188779,False
N1_DIAG_PML_LOWER,450.9999999999999,-500.0,-0.25053344486620643,-2.3575819030054475e-16,9.410248217616128e-16,-0.25053344486620643,False
N1_DIAG_PML_LOWER,451.99999999999994,-500.0,-0.25090214979858466,-2.3612061171666424e-16,9.410864430863326e-16,-0.25090214979858466,False
N1_DIAG_PML_LOWER,453.00000000000006,-500.0,-0.24098622802636924,-2.2680362414008476e-16,9.411476580946668e-16,-0.24098622802636924,False
N1_DIAG_PML_LOWER,453.9999999999999,-500.0,-0.23921180544104648,-2.2514817748836933e-16,9.412084703480778e-16,-0.23921180544104645,False
N1_DIAG_PML_LOWER,455.00000000000006,-500.0,-0.23335870629216873,-2.1965328889609337e-16,9.412688833691253e-16,-0.23335870629216876,False
N1_DIAG_LOWER_OUTSIDE,445.0,-110.0,0.7792125783042585,7.329634728716097e-16,9.406463566934492e-16,0.7792125783042585,False
N1_DIAG_LOWER_OUTSIDE,445.99999999999994,-110.0,0.7771822056253492,7.311034557673012e-16,9.407104929519437e-16,0.7771822056253492,False
N1_DIAG_LOWER_OUTSIDE,446.99999999999994,-110.0,0.7724174770013863,7.266704345163132e-16,9.407742006787982e-16,0.7724174770013864,False
N1_DIAG_LOWER_OUTSIDE,448.00000000000006,-110.0,0.7743462175134685,7.285339467825205e-16,9.408374836800294e-16,0.7743462175134685,False
N1_DIAG_LOWER_OUTSIDE,449.0,-110.0,0.6506185347280187,6.121672042571258e-16,9.409003457195286e-16,0.6506185347280186,False
N1_DIAG_LOWER_OUTSIDE,450.0,-110.0,0.6589538063521688,6.200510124486624e-16,9.409627905196206e-16,0.6589538063521687,False
N1_DIAG_LOWER_OUTSIDE,450.9999999999999,-110.0,0.7489768446561721,7.048058017461494e-16,9.410248217616128e-16,0.748976844656172,False
N1_DIAG_LOWER_OUTSIDE,451.99999999999994,-110.0,0.7484113560631864,7.043197810429229e-16,9.410864430863326e-16,0.7484113560631864,False
N1_DIAG_LOWER_OUTSIDE,453.00000000000006,-110.0,0.7590122281911666,7.143425810273312e-16,9.411476580946668e-16,0.7590122281911665,False
N1_DIAG_LOWER_OUTSIDE,453.9999999999999,-110.0,0.7602521749211727,7.155557866363563e-16,9.412084703480778e-16,0.7602521749211727,False
N1_DIAG_LOWER_OUTSIDE,455.00000000000006,-110.0,0.7668576613289974,7.218192545822043e-16,9.412688833691253e-16,0.7668576613289974,False
N1_DIAG_LOWER_INSIDE,445.0,-90.0,0.779226102656438,7.32976194504214e-16,9.406463566934492e-16,0.779226102656438,False
N1_DIAG_LOWER_INSIDE,445.99999999999994,-90.0,0.7771560218592141,7.310788244237528e-16,9.407104929519437e-16,0.7771560218592141,False
N1_DIAG_LOWER_INSIDE,446.99999999999994,-90.0,0.7724461710452591,7.266974291325019e-16,9.407742006787982e-16,0.7724461710452591,False
N1_DIAG_LOWER_INSIDE,448.00000000000006,-90.0,0.7742919009349094,7.2848284370942685e-16,9.408374836800294e-16,0.7742919009349095,False
N1_DIAG_LOWER_INSIDE,449.0,-90.0,0.6505609101025307,6.121129852270822e-16,9.409003457195286e-16,0.6505609101025306,False
N1_DIAG_LOWER_INSIDE,450.0,-90.0,0.6589368904334428,6.200350951985739e-16,9.409627905196206e-16,0.6589368904334428,False
N1_DIAG_LOWER_INSIDE,450.9999999999999,-90.0,0.7489929345572186,7.048209427424139e-16,9.410248217616128e-16,0.7489929345572186,False
N1_DIAG_LOWER_INSIDE,451.99999999999994,-90.0,0.7483918048111801,7.043013816247143e-16,9.410864430863326e-16,0.7483918048111801,False
