interval,lower_monitor,upper_monitor,wavelength_nm,lower_flux,upper_flux,signed_jump,relative_jump
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,445.0,-0.21921182777727327,0.7792125783042585,0.9984244060815317,4.554610105691766
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,445.99999999999994,-0.22192333547392473,0.7771822056253492,0.999105541099274,4.5020301220944186
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,446.99999999999994,-0.22628343780993285,0.7724174770013863,0.9987009148113192,4.41349541299695
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,448.00000000000006,-0.2246077592328641,0.7743462175134685,0.9989539767463327,4.447548829827638
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,449.0,-0.3480476943707771,0.6506185347280187,0.9986662290987958,2.869337292707106
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,450.0,-0.3403848068188779,0.6589538063521688,0.9993386131710467,2.935908398822291
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,450.9999999999999,-0.25053344486620643,0.7489768446561721,0.9995102895223785,3.9895283843486515
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,451.99999999999994,-0.25090214979858466,0.7484113560631864,0.999313505861771,3.982881400832892
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,453.00000000000006,-0.24098622802636924,0.7590122281911666,0.9999984562175359,4.149608317484906
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,453.9999999999999,-0.23921180544104648,0.7602521749211727,0.9994639803622192,4.178154913882526
lower_source_slab,N1_DIAG_PML_LOWER,N1_DIAG_LOWER_OUTSIDE,455.00000000000006,-0.23335870629216873,0.7668576613289974,1.0002163676211662,4.286175491429404
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,445.0,0.7792125783042585,0.779226102656438,1.352435217949477e-05,1.7356434631646728e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,445.99999999999994,0.7771822056253492,0.7771560218592141,-2.6183766135168263e-05,-3.369064029727733e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,446.99999999999994,0.7724174770013863,0.7724461710452591,2.8694043872845576e-05,3.7148361769647114e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,448.00000000000006,0.7743462175134685,0.7742919009349094,-5.4316578559143736e-05,-7.014508152898543e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,449.0,0.6506185347280187,0.6505609101025307,-5.762462548797309e-05,-8.85689884504477e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,450.0,0.6589538063521688,0.6589368904334428,-1.691591872599041e-05,-2.5670871862222656e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,450.9999999999999,0.7489768446561721,0.7489929345572186,1.608990104651209e-05,2.1482507985808795e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,451.99999999999994,0.7484113560631864,0.7483918048111801,-1.955125200636676e-05,-2.6123670957120135e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,453.00000000000006,0.7590122281911666,0.7590174778578279,5.249666661266694e-06,6.9164454356386215e-06
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,453.9999999999999,0.7602521749211727,0.7602504220790773,-1.7528420953594193e-06,-2.305606156984903e-06
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,455.00000000000006,0.7668576613289974,0.7668420432997316,-1.561802926575151e-05,-2.036626880493675e-05
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,445.0,0.779226102656438,0.7817551266639527,0.0025290240075147574,0.0032455586368232946
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,445.99999999999994,0.7771560218592141,0.7705585171650552,-0.006597504694158873,-0.008489292379637569
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,446.99999999999994,0.7724461710452591,0.7795580153601074,0.007111844314848237,0.00920691250915857
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,448.00000000000006,0.7742919009349094,0.7557708862771358,-0.01852101465777356,-0.023919938508217102
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,449.0,0.6505609101025307,0.6244962569621676,-0.026064653140363103,-0.04006489282649218
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,450.0,0.6589368904334428,0.6837845993647614,0.0248477089313186,0.03770878409155996
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,450.9999999999999,0.7489929345572186,0.7428161201012978,-0.006176814455920776,-0.008246826065952567
