candidate_id,family_id,top_pair_count,bottom_pair_count,top_termination_nm,bottom_termination_nm,cavity_physical_thickness_nm,cavity_optical_thickness_proxy_nm,spacer_or_cap_thickness_nm,target_wavelength_nm,te_tm_angle_grid_deg,wavelength_grid_nm,source_position_status,negative_reference_excluded,normal_angle_resonance_strength_proxy,normal_offaxis_proxy,offaxis_20_60_penalty,offaxis_30_40_lobe_penalty,te_tm_mismatch_proxy,te_tm_offaxis_risk_guard,angular_fwhm_deg_proxy,spectral_center_nm_proxy,spectral_fwhm_nm_proxy,center_only_false_positive_risk,source_position_stability_status,d5_like_risk_flag,hard_pass,hard_fail_reasons,v2_proxy_score
E1_0018,E0A_lower_Q_angle_stable_cavity,4,6,0,65,250,612.5,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.935893,2.431456,0.286197,0.303336,0.547619,0.437692,8.616862,451.83,8.955005,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,2.391312
E1_0078,E0A_lower_Q_angle_stable_cavity,6,4,0,65,250,612.5,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.935893,2.431456,0.286197,0.303336,0.547619,0.437692,8.616862,451.83,8.955005,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,2.391312
E1_0391,E0D_reduced_center_contrast_control,5,8,50,50,270,661.5,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.796701,2.131006,0.346002,0.244747,0.125,0.178886,10.628543,453.0,8.842121,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,2.357233
E1_0318,E0D_reduced_center_contrast_control,3,8,0,100,270,661.5,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.732388,2.526783,0.326,0.1474,0.922619,0.57377,10.51006,451.2,9.0461,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,2.351946
E1_0036,E0A_lower_Q_angle_stable_cavity,4,8,35,65,280,686.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.784293,2.208937,0.325084,0.235011,0.380952,0.315279,10.230383,452.76,8.502517,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,2.348339
E1_0090,E0A_lower_Q_angle_stable_cavity,6,6,0,65,250,612.5,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.985893,2.396869,0.279637,0.343367,0.464286,0.409872,8.222542,451.83,8.665051,high,requires_tri_point_FDTD,high,False,30_40_lobe_penalty_above_E1_guard;TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm;center_only_false_positive_risk_high;D5_like_risk_high,2.348332
E1_0054,E0A_lower_Q_angle_stable_cavity,5,6,0,65,250,612.5,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.960893,2.400769,0.282917,0.326186,0.505952,0.425058,8.419702,451.83,8.81428,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,2.333455
E1_0354,E0D_reduced_center_contrast_control,4,8,0,100,270,661.5,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.755388,2.502014,0.322,0.166416,0.880952,0.559411,10.30706,451.2,8.899624,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,2.318237
E1_0072,E0A_lower_Q_angle_stable_cavity,5,8,35,65,280,686.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.809293,2.18683,0.321804,0.257445,0.339286,0.302457,10.033223,452.76,8.361167,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,2.309049
E1_0234,E0C_MQW_lateral_extent_robust_cavity,6,6,10,75,260,637.0,85,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.985893,2.340531,0.338465,0.313427,0.464286,0.396399,9.516763,451.83,7.870141,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail,2.301257
