candidate_id,family_id,top_pair_count,bottom_pair_count,top_termination_nm,bottom_termination_nm,cavity_physical_thickness_nm,cavity_optical_thickness_proxy_nm,spacer_or_cap_thickness_nm,target_wavelength_nm,te_tm_angle_grid_deg,wavelength_grid_nm,source_position_status,negative_reference_excluded
E1_0001,E0A_lower_Q_angle_stable_cavity,4,4,0,25,220,539.0,25,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0002,E0A_lower_Q_angle_stable_cavity,4,4,0,65,220,539.0,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0003,E0A_lower_Q_angle_stable_cavity,4,4,35,25,220,539.0,60,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0004,E0A_lower_Q_angle_stable_cavity,4,4,35,65,220,539.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0005,E0A_lower_Q_angle_stable_cavity,4,4,0,25,250,612.5,25,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0006,E0A_lower_Q_angle_stable_cavity,4,4,0,65,250,612.5,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0007,E0A_lower_Q_angle_stable_cavity,4,4,35,25,250,612.5,60,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0008,E0A_lower_Q_angle_stable_cavity,4,4,35,65,250,612.5,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0009,E0A_lower_Q_angle_stable_cavity,4,4,0,25,280,686.0,25,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0010,E0A_lower_Q_angle_stable_cavity,4,4,0,65,280,686.0,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0011,E0A_lower_Q_angle_stable_cavity,4,4,35,25,280,686.0,60,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0012,E0A_lower_Q_angle_stable_cavity,4,4,35,65,280,686.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0013,E0A_lower_Q_angle_stable_cavity,4,6,0,25,220,539.0,25,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0014,E0A_lower_Q_angle_stable_cavity,4,6,0,65,220,539.0,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0015,E0A_lower_Q_angle_stable_cavity,4,6,35,25,220,539.0,60,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
E1_0016,E0A_lower_Q_angle_stable_cavity,4,6,35,65,220,539.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461
