sample_index,time_s,auto_shutoff_value,source
0,4.57578e-16,1.0,engine_runtime_log
1,3.06577e-14,0.123842,engine_runtime_log
2,6.07053e-14,0.0476476,engine_runtime_log
3,9.09055e-14,0.0231613,engine_runtime_log
4,1.21106e-13,0.0156913,engine_runtime_log
5,1.51306e-13,0.0123276,engine_runtime_log
6,1.81506e-13,0.0075078,engine_runtime_log
7,2.11706e-13,0.00749415,engine_runtime_log
8,2.41906e-13,0.00547272,engine_runtime_log
9,2.72106e-13,0.0035753,engine_runtime_log
10,3.02307e-13,0.00280578,engine_runtime_log
11,3.32507e-13,0.0018076,engine_runtime_log
12,3.62707e-13,0.00158063,engine_runtime_log
13,3.92907e-13,0.00166728,engine_runtime_log
14,4.23107e-13,0.00121886,engine_runtime_log
15,4.53307e-13,0.00101706,engine_runtime_log
16,4.83507e-13,0.000885581,engine_runtime_log
17,5.13708e-13,0.000731275,engine_runtime_log
18,5.43908e-13,0.000617943,engine_runtime_log
19,5.74108e-13,0.000610115,engine_runtime_log
20,6.04308e-13,0.000665851,engine_runtime_log
21,6.34508e-13,0.000778755,engine_runtime_log
22,6.64708e-13,0.000856817,engine_runtime_log
23,6.94908e-13,0.000665312,engine_runtime_log
24,7.25109e-13,0.000592652,engine_runtime_log
25,7.55309e-13,0.000754677,engine_runtime_log
26,7.85509e-13,0.000833992,engine_runtime_log
27,8.15709e-13,0.000699673,engine_runtime_log
28,8.45909e-13,0.000307609,engine_runtime_log
29,8.76109e-13,0.00048169,engine_runtime_log
30,9.06309e-13,0.000397853,engine_runtime_log
31,9.3651e-13,0.000310316,engine_runtime_log
32,9.6671e-13,0.000251868,engine_runtime_log
33,9.9691e-13,0.000261435,engine_runtime_log
34,1.02711e-12,0.000380908,engine_runtime_log
35,1.05731e-12,0.00034731,engine_runtime_log
36,1.08751e-12,0.000210472,engine_runtime_log
37,1.11771e-12,0.000191936,engine_runtime_log
38,1.14791e-12,0.000241362,engine_runtime_log
39,1.17811e-12,0.000368852,engine_runtime_log
40,1.20831e-12,0.000207964,engine_runtime_log
41,1.23851e-12,0.000185347,engine_runtime_log
42,1.26871e-12,0.000296612,engine_runtime_log
43,1.29891e-12,0.000342128,engine_runtime_log
44,1.32911e-12,0.000155474,engine_runtime_log
45,1.35931e-12,0.00014486,engine_runtime_log
46,1.38951e-12,0.000131232,engine_runtime_log
47,1.41971e-12,0.000265403,engine_runtime_log
48,1.44991e-12,0.000196813,engine_runtime_log
49,1.48011e-12,0.000124517,engine_runtime_log
50,1.51031e-12,0.000116521,engine_runtime_log
51,1.54051e-12,0.000184785,engine_runtime_log
52,1.57071e-12,0.000151972,engine_runtime_log
53,1.60091e-12,0.000125567,engine_runtime_log
54,1.63111e-12,0.000136533,engine_runtime_log
55,1.66131e-12,0.000191047,engine_runtime_log
56,1.69151e-12,0.000196066,engine_runtime_log
57,1.72171e-12,0.000114186,engine_runtime_log
58,1.75191e-12,0.000107941,engine_runtime_log
59,1.78211e-12,0.000101933,engine_runtime_log
60,1.81231e-12,0.000183071,engine_runtime_log
61,1.84251e-12,9.98508e-05,engine_runtime_log
62,1.87271e-12,9.93064e-05,engine_runtime_log
63,1.90291e-12,0.00010059,engine_runtime_log
64,1.93311e-12,0.000165921,engine_runtime_log
65,1.96331e-12,0.000152704,engine_runtime_log
66,1.99351e-12,9.65165e-05,engine_runtime_log
67,2.02371e-12,8.26693e-05,engine_runtime_log
68,2.05391e-12,0.000103437,engine_runtime_log
69,2.08412e-12,0.000125298,engine_runtime_log
70,2.11432e-12,6.67617e-05,engine_runtime_log
71,2.14452e-12,7.12489e-05,engine_runtime_log
72,2.17472e-12,0.000101852,engine_runtime_log
73,2.20492e-12,0.000140917,engine_runtime_log
74,2.23512e-12,6.40635e-05,engine_runtime_log
75,2.26532e-12,7.87407e-05,engine_runtime_log
76,2.29552e-12,5.90549e-05,engine_runtime_log
77,2.32572e-12,0.000133504,engine_runtime_log
78,2.35592e-12,9.25114e-05,engine_runtime_log
79,2.38612e-12,6.18639e-05,engine_runtime_log
80,2.41632e-12,4.97274e-05,engine_runtime_log
81,2.44652e-12,0.000104708,engine_runtime_log
82,2.47672e-12,7.75689e-05,engine_runtime_log
83,2.50692e-12,6.03251e-05,engine_runtime_log
84,2.53712e-12,6.44525e-05,engine_runtime_log
85,2.56732e-12,0.000102326,engine_runtime_log
86,2.59752e-12,0.000107203,engine_runtime_log
87,2.62772e-12,5.97311e-05,engine_runtime_log
88,2.65792e-12,5.75527e-05,engine_runtime_log
89,2.68812e-12,5.33767e-05,engine_runtime_log
90,2.71832e-12,9.69705e-05,engine_runtime_log
91,2.74852e-12,4.95695e-05,engine_runtime_log
92,2.77872e-12,5.51574e-05,engine_runtime_log
93,2.80892e-12,5.93575e-05,engine_runtime_log
94,2.83912e-12,9.48873e-05,engine_runtime_log
95,2.86932e-12,8.27375e-05,engine_runtime_log
96,2.89952e-12,5.06554e-05,engine_runtime_log
97,2.92972e-12,4.37384e-05,engine_runtime_log
98,2.95992e-12,5.94907e-05,engine_runtime_log
99,2.99012e-12,7.43634e-05,engine_runtime_log
