geometry_id,polarization,wavelength_nm,output,delta_hf_minus_lf,lf_available,source
K6X_D110_D190_D210_D215_D220_D225,s,446,T_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,446,R_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,447,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,447,eta_0,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,447,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,447,T_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,447,R_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,448,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,448,eta_0,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,448,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,448,T_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,448,R_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,449,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,449,eta_0,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,449,eta_minus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,449,T_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,449,R_total,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,450,eta_plus1,,False,no_authoritative_m6_lf_row
K6X_D110_D190_D210_D215_D220_D225,s,450,eta_0,,False,no_authoritative_m6_lf_row
