geometry_id,wavelength_nm,eta_plus1_P,eta_plus1_S,abs_delta_eta_plus1,T_P,T_S,abs_delta_T,R_P,R_S,abs_delta_R
K6X_D105_D120_D125_D130_D165_D190,445,0.5914031067140277,0.6664747596390853,0.07507165292505757,0.8913956035518583,0.8896085411389208,0.001787062412937468,0.10836843593384664,0.1101275476294139,0.0017591116955672642
K6X_D105_D120_D125_D130_D165_D190,446,0.6091937054926515,0.6611743225704972,0.05198061707784574,0.9010545837399697,0.8869243805985771,0.014130203141392572,0.09799223891179044,0.11298282607673744,0.014990587164947
K6X_D105_D120_D125_D130_D165_D190,447,0.6224736836248728,0.6575618634172083,0.03508817979233558,0.9101074307424651,0.884953415297259,0.025154015445206124,0.08980376199066406,0.11489607117112222,0.025092309180458156
K6X_D105_D120_D125_D130_D165_D190,448,0.6335469479724275,0.6575963863153337,0.024049438342906182,0.9185542021004602,0.8854998024496119,0.03305439965084833,0.08047805917596872,0.11428667560089288,0.033808616424924165
K6X_D105_D120_D125_D130_D165_D190,449,0.644901497144956,0.6606521204599921,0.015750623315036072,0.929341436391929,0.8883441548097742,0.040997281582154765,0.0707890903373543,0.11159189121854851,0.040802800881194215
K6X_D105_D120_D125_D130_D165_D190,450,0.6597971763603014,0.664911988858834,0.005114812498532517,0.940721448336212,0.8921725381884438,0.04854891014776819,0.0581946515017885,0.10766286794723177,0.049468216445443275
K6X_D105_D120_D125_D130_D165_D190,451,0.5931817682914132,0.669356712382625,0.07617494409121173,0.8560103962805944,0.8968098919337933,0.04079949565319896,0.14169123374268072,0.10307332725021583,0.038617906492464896
K6X_D105_D120_D125_D130_D165_D190,452,0.6089164503777981,0.6734454919773076,0.06452904159950956,0.8989762202975188,0.9015319778734402,0.0025557575759214135,0.10108493080561912,0.09840776520831443,0.002677165597304687
K6X_D105_D120_D125_D130_D165_D190,453,0.6243142503641065,0.6771427596056221,0.05282850924151561,0.919033015229753,0.9060727110585564,0.012960304171196646,0.08028735395003597,0.09379876356024329,0.013511409610207317
K6X_D105_D120_D125_D130_D165_D190,454,0.628941562404557,0.6805428804426011,0.05160131803804413,0.9276951519860632,0.910679754732028,0.017015397254035225,0.0719293591267296,0.08930403790998334,0.017374678783253744
K6X_D105_D120_D125_D130_D165_D190,455,0.6314001042136397,0.6833232571294912,0.05192315291585148,0.9337642579676527,0.9146254853788073,0.019138772588845443,0.0657695850028571,0.08532719333693713,0.01955760833408003
K6X_D110_D190_D210_D215_D220_D225,445,0.00400693273757737,0.026333580527421636,0.022326647789844264,0.7063139994315001,0.6464482707395446,0.0598657286919555,0.292590725116265,0.3539369046003695,0.06134617948410448
K6X_D110_D190_D210_D215_D220_D225,446,0.004395352579229613,0.025310544627278803,0.02091519204804919,0.7067433791235612,0.7187133391999698,0.011969960076408603,0.2930805656180307,0.2818139846934383,0.011266580924592373
K6X_D110_D190_D210_D215_D220_D225,447,0.00761187137654857,0.023543231141579562,0.015931359765030993,0.669918740864155,0.7535945745015097,0.08367583363735465,0.32898343131176405,0.24636255223300502,0.08262087907875904
K6X_D110_D190_D210_D215_D220_D225,448,0.01107465047545405,0.02115764828927555,0.0100829978138215,0.5748918961896885,0.7680099089520138,0.19311801276232532,0.4251342004175141,0.23138746277995426,0.19374673763755984
K6X_D110_D190_D210_D215_D220_D225,449,0.0032334335717909544,0.01877537695506496,0.015541943383274007,0.4890405891672449,0.7707346222656764,0.28169403309843144,0.5100108378812164,0.22894228725683827,0.2810685506243781
K6X_D110_D190_D210_D215_D220_D225,450,0.03313127564214439,0.0172990233256634,0.01583225231648099,0.5004095133655786,0.7628031770640948,0.26239366369851624,0.49956279398131953,0.2375793859729532,0.26198340800836634
K6X_D110_D190_D210_D215_D220_D225,451,0.025387206498470382,0.018144340261006617,0.0072428662374637645,0.49930033715392236,0.7387832637031354,0.23948292654921305,0.4997277939549733,0.2617189366082089,0.2380088573467644
K6X_D110_D190_D210_D215_D220_D225,452,0.008371759123151617,0.02345604517624746,0.015084286053095843,0.5540004103977955,0.694443798740156,0.1404433883423606,0.4450066922122438,0.3054470405658685,0.1395596516463753
K6X_D110_D190_D210_D215_D220_D225,453,0.028951032840567072,0.031590093434391585,0.0026390605938245125,0.5326257298301416,0.6667019220257954,0.1340761921956538,0.4671958461941056,0.3326249325379658,0.13457091365613977
