case_id,step,status,detail
air_reference,open_lumerical_session,ok,blank project; no H1J4 FSP
air_reference,switch_to_layout,ok,None
air_reference,addrcwa,ok,None
air_reference,set RCWA.x,ok,None
air_reference,set RCWA.x span,ok,None
air_reference,set RCWA.y,ok,None
air_reference,set RCWA.y span,ok,None
air_reference,set RCWA.z,ok,None
air_reference,set RCWA.z span,ok,None
air_reference,set RCWA.minimum wavelength,ok,None
air_reference,set RCWA.maximum wavelength,ok,None
air_reference,set RCWA.wavelength center,ok,None
air_reference,set RCWA.frequency points,ok,None
air_reference,set RCWA.angle theta,ok,None
air_reference,set RCWA.angle phi,ok,None
air_reference,run_tiny_rcwa,ok,None
air_reference,discover getresult names,ok,"x
y
z
num_k
peak_memory
simulation_run_time
total_threads
total_energy
substrate"
air_reference,getresult total_energy,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""theta"": ""[[0.]]"", ""phi"": ""[[0.]]"", ""Rs"": ""[[-0.]]"", ""Ts"": ""[[1.]]"", ""Rp"": ""[[-0.]]"", ""Tp"": ""[[1.]]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""], [""theta"", ""phi""]], ""attributes"": [""Rs"", ""Ts"", ""Rp"", ""Tp""]}}"
air_reference,getresult substrate,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""n_upper"": ""[1.+0.j]"", ""n_lower"": ""[1.+0.j]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""]], ""attributes"": [""n_upper"", ""n_lower""]}}"
air_reference,getresult simulation_run_time,ok,0.0421807
air_reference,close_lumerical_session,ok,None
single_SiO2_79nm,open_lumerical_session,ok,blank project; no H1J4 FSP
single_SiO2_79nm,switch_to_layout,ok,None
single_SiO2_79nm,addrcwa,ok,None
single_SiO2_79nm,set RCWA.x,ok,None
single_SiO2_79nm,set RCWA.x span,ok,None
single_SiO2_79nm,set RCWA.y,ok,None
single_SiO2_79nm,set RCWA.y span,ok,None
single_SiO2_79nm,set RCWA.z,ok,None
single_SiO2_79nm,set RCWA.z span,ok,None
single_SiO2_79nm,set RCWA.minimum wavelength,ok,None
single_SiO2_79nm,set RCWA.maximum wavelength,ok,None
single_SiO2_79nm,set RCWA.wavelength center,ok,None
single_SiO2_79nm,set RCWA.frequency points,ok,None
single_SiO2_79nm,set RCWA.angle theta,ok,None
single_SiO2_79nm,set RCWA.angle phi,ok,None
single_SiO2_79nm,set interface absolute positions,ok,None
single_SiO2_79nm,get interface absolute positions,ok,"[[-3.95e-08], [3.95e-08]]"
single_SiO2_79nm,add layer 01_SiO2,ok,<lumapi.SimObject object at 0x000002C280C68E80>
single_SiO2_79nm,name layer 01_SiO2,ok,None
single_SiO2_79nm,set 01_SiO2.material,ok,None
single_SiO2_79nm,set 01_SiO2.index,ok,None
single_SiO2_79nm,set 01_SiO2.x,ok,None
single_SiO2_79nm,set 01_SiO2.x span,ok,None
single_SiO2_79nm,set 01_SiO2.y,ok,None
single_SiO2_79nm,set 01_SiO2.y span,ok,None
single_SiO2_79nm,set 01_SiO2.z,ok,None
single_SiO2_79nm,set 01_SiO2.z span,ok,None
single_SiO2_79nm,run_tiny_rcwa,ok,None
single_SiO2_79nm,discover getresult names,ok,"x
y
z
num_k
peak_memory
simulation_run_time
total_threads
total_energy
substrate"
single_SiO2_79nm,getresult total_energy,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""theta"": ""[[0.]]"", ""phi"": ""[[0.]]"", ""Rs"": ""[[0.00149251]]"", ""Ts"": ""[[0.99850749]]"", ""Rp"": ""[[0.00094516]]"", ""Tp"": ""[[0.99905484]]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""], [""theta"", ""phi""]], ""attributes"": [""Rs"", ""Ts"", ""Rp"", ""Tp""]}}"
single_SiO2_79nm,getresult substrate,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""n_upper"": ""[1.01015335+0.j]"", ""n_lower"": ""[1.01015335+0.j]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""]], ""attributes"": [""n_upper"", ""n_lower""]}}"
single_SiO2_79nm,getresult simulation_run_time,ok,0.0909835
single_SiO2_79nm,close_lumerical_session,ok,None
single_TiO2_45nm,open_lumerical_session,ok,blank project; no H1J4 FSP
single_TiO2_45nm,switch_to_layout,ok,None
single_TiO2_45nm,addrcwa,ok,None
single_TiO2_45nm,set RCWA.x,ok,None
single_TiO2_45nm,set RCWA.x span,ok,None
single_TiO2_45nm,set RCWA.y,ok,None
single_TiO2_45nm,set RCWA.y span,ok,None
single_TiO2_45nm,set RCWA.z,ok,None
single_TiO2_45nm,set RCWA.z span,ok,None
single_TiO2_45nm,set RCWA.minimum wavelength,ok,None
single_TiO2_45nm,set RCWA.maximum wavelength,ok,None
single_TiO2_45nm,set RCWA.wavelength center,ok,None
single_TiO2_45nm,set RCWA.frequency points,ok,None
single_TiO2_45nm,set RCWA.angle theta,ok,None
single_TiO2_45nm,set RCWA.angle phi,ok,None
single_TiO2_45nm,set interface absolute positions,ok,None
single_TiO2_45nm,get interface absolute positions,ok,"[[-2.2500000000000003e-08], [2.2500000000000003e-08]]"
single_TiO2_45nm,add layer 01_TiO2,ok,<lumapi.SimObject object at 0x000002C280C69480>
single_TiO2_45nm,name layer 01_TiO2,ok,None
single_TiO2_45nm,set 01_TiO2.material,ok,None
single_TiO2_45nm,set 01_TiO2.index,ok,None
single_TiO2_45nm,set 01_TiO2.x,ok,None
single_TiO2_45nm,set 01_TiO2.x span,ok,None
single_TiO2_45nm,set 01_TiO2.y,ok,None
single_TiO2_45nm,set 01_TiO2.y span,ok,None
single_TiO2_45nm,set 01_TiO2.z,ok,None
single_TiO2_45nm,set 01_TiO2.z span,ok,None
single_TiO2_45nm,run_tiny_rcwa,ok,None
single_TiO2_45nm,discover getresult names,ok,"x
y
z
num_k
peak_memory
simulation_run_time
total_threads
total_energy
substrate"
