case_id,object_name,material_mode,index,x_center_m,x_span_m,y_span_m,z_span_m,status
single_SiO2_79nm,01_SiO2,<Object defined dielectric>,1.426,0.0,7.9e-08,2e-06,2e-06,created
single_TiO2_45nm,01_TiO2,<Object defined dielectric>,2.535,0.0,4.5000000000000006e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,01_TiO2,<Object defined dielectric>,2.535,-5.975e-07,4.5000000000000006e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,02_SiO2,<Object defined dielectric>,1.426,-5.355e-07,7.9e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,03_TiO2,<Object defined dielectric>,2.535,-4.735e-07,4.5000000000000006e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,04_SiO2,<Object defined dielectric>,1.426,-4.115e-07,7.9e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,05_TiO2,<Object defined dielectric>,2.535,-3.495e-07,4.5000000000000006e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,06_SiO2,<Object defined dielectric>,1.426,-2.875e-07,7.9e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,07_TiO2,<Object defined dielectric>,2.535,-2.255e-07,4.5000000000000006e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,08_SiO2,<Object defined dielectric>,1.426,-1.635e-07,7.9e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,09_TiO2,<Object defined dielectric>,2.535,-1.015e-07,4.5000000000000006e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,10_SiO2,<Object defined dielectric>,1.426,-3.949999999999999e-08,7.9e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,11_TiO2,<Object defined dielectric>,2.535,2.2500000000000016e-08,4.5000000000000006e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,12_SiO2,<Object defined dielectric>,1.426,8.450000000000002e-08,7.9e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,13_TiO2,<Object defined dielectric>,2.535,1.4650000000000002e-07,4.5000000000000006e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,14_SiO2,<Object defined dielectric>,1.426,2.0850000000000005e-07,7.9e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,15_TiO2,<Object defined dielectric>,2.535,2.7050000000000005e-07,4.5000000000000006e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,16_SiO2,<Object defined dielectric>,1.426,3.3250000000000005e-07,7.9e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,17_TiO2,<Object defined dielectric>,2.535,3.9450000000000005e-07,4.5000000000000006e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,18_SiO2,<Object defined dielectric>,1.426,4.5650000000000004e-07,7.9e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,19_TiO2,<Object defined dielectric>,2.535,5.185e-07,4.5000000000000006e-08,2e-06,2e-06,created
TiO2_SiO2_10pair_QWinteger453_proxy,20_SiO2,<Object defined dielectric>,1.426,5.805e-07,7.9e-08,2e-06,2e-06,created
