stage,case_id,wavelength_nm,theta_deg,phi_deg,status,total_energy_available,interface_position_mode,propagation_axis,stacking_axis,interface_positions_set_ok,interface_positions_m,available_result_names,lambda,f,theta,phi,Rs,Rs_scalar,Ts,Ts_scalar,Rp,Rp_scalar,Tp,Tp_scalar,R_avg_sp,T_avg_sp,n_upper,n_lower,simulation_run_time_s,layer_count,stack_total_thickness_nm,layer_sequence,interface_positions_readback
FMM2B2R,air_reference,453.0,0.0,0.0,ok,True,interface absolute positions,x / RCWA forward,x,True,[],"[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,-0.0,-0.0,1.0000000000000002,1.0000000000000002,-0.0,-0.0,1.0000000000000002,1.0000000000000002,-0.0,1.0000000000000002,(1+0j),(1+0j),0.0421807,0,0,,
FMM2B2R,single_SiO2_79nm,453.0,0.0,0.0,ok,True,interface absolute positions,x / RCWA forward,x,True,"[-3.95e-08, 3.95e-08]","[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,0.0014925087550915531,0.0014925087550915531,0.9985074912449089,0.9985074912449089,0.0009451595981624684,0.0009451595981624684,0.9990548404018381,0.9990548404018381,0.0012188341766270108,0.9987811658233735,(1.010153352127817+0j),(1.010153352127817+0j),0.0909835,1,79.0,SiO2:79.0nm:n=1.426,"[[-3.95e-08], [3.95e-08]]"
FMM2B2R,single_TiO2_45nm,453.0,0.0,0.0,ok,True,interface absolute positions,x / RCWA forward,x,True,"[-2.2500000000000003e-08, 2.2500000000000003e-08]","[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,0.004817798682236295,0.004817798682236295,0.9951822013177635,0.9951822013177635,0.0033280553702840438,0.0033280553702840438,0.996671944629715,0.996671944629715,0.00407292702626017,0.9959270729737393,(1.0300691954045225+0j),(1.0300691954045225+0j),0.088234,1,45.0,TiO2:45.0nm:n=2.535,"[[-2.2500000000000003e-08], [2.2500000000000003e-08]]"
FMM2B2R,TiO2_SiO2_10pair_QWinteger453_proxy,453.0,0.0,0.0,ok,True,interface absolute positions,x / RCWA forward,x,True,"[-6.2e-07, -5.75e-07, -4.96e-07, -4.51e-07, -3.72e-07, -3.27e-07, -2.48e-07, -2.03e-07, -1.24e-07, -7.899999999999999e-08, 1.3234889800848443e-23, 4.500000000000002e-08, 1.2400000000000003e-07, 1.6900000000000004e-07, 2.4800000000000005e-07, 2.9300000000000004e-07, 3.7200000000000005e-07, 4.1700000000000004e-07, 4.96e-07, 5.41e-07, 6.2e-07]","[""x"", ""y"", ""z"", ""num_k"", ""peak_memory"", ""simulation_run_time"", ""total_threads"", ""total_energy"", ""substrate""]",4.5300000000000005e-07,661793505518763.8,0.0,0.0,0.0651899148779494,0.0651899148779494,0.9348100851220558,0.9348100851220558,0.06314751998984194,0.06314751998984194,0.9368524800101549,0.9368524800101549,0.06416871743389567,0.9358312825661053,(1.3462923932136677+0j),(1.3462923932136677+0j),0.6435758,20,1240.0,TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426;TiO2:45.0nm:n=2.535;SiO2:79.0nm:n=1.426,"[[-6.2e-07], [-5.75e-07], [-4.96e-07], [-4.51e-07], [-3.72e-07], [-3.27e-07], [-2.48e-07], [-2.03e-07], [-1.24e-07], [-7.899999999999999e-08], [1.3234889800848443e-23], [4.500000000000002e-08], [1.2400000000000003e-07], [1.6900000000000004e-07], [2.4800000000000005e-07], [2.9300000000000004e-07], [3.7200000000000005e-07], [4.1700000000000004e-07], [4.96e-07], [5.41e-07], [6.2e-07]]"
