case_id,wavelength_nm,T_total,R_signed_monitor,R_total,closure,signed_closure_residual,sourcepower_W,raw_transmitted_power_W,raw_reflected_power_W,normalization_path,transmitted_order_sum,transmitted_order_sum_mismatch,eta_plus1,eta_0,eta_minus1,non_target_efficiency,directionality,eta_plus1_over_minus1,plus1_transmitted_fraction,plus1_air_side_angle_deg,transmitted_order_count,raw_power_origin,transmission_power_normalization_mismatch,reflection_power_normalization_mismatch,source_case_id,frequency_hz,geometry_id,geometry_hash,polarization,generator_id,interface_stack_id,quality_gate_pass,training_label,provisional_hf_label,diagnostic_only,pilot_scope_only,bulk_mdc_compatible,candidate_performance_label,logical_task_id,execution_id,case_group,accepted_execution,post_fsp_sha256,source_prefsp_sha256,setup_sha256,case_type,plus1_u_x
NP_K6_M4_B2_G01_P,455,0.6500265149705191,-0.3487502167840042,0.3487502167840042,0.9987767317545233,0.001223268245476694,9.412404171376484e-16,6.118312281013833e-16,-3.282577995226214e-16,monitor_T_and_order_sum,0.6500265149705193,2.220446049250313e-16,0.4819701208962985,0.10748939442789347,0.006142183894191243,0.16805639407422063,0.9874164534802546,78.4688523168616,0.7414622477640892,15.158744308614912,7,direct_getdata_power,,,NP_K6_M4_B2_G01_P,658884523076923.0,K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,p,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,true,false,true,false,true,NP_K6_M4_B2_G01_P,NP_K6_M4_B2_G01_P/attempt_001,NP_K6_M4_BATCH2_PRIMARY4,true,b3d67b47e5bada8c9e06bc1a492338f82b099ab4121e2fb4d908618c986f0e8f,4dccb76005c35ac0e87a926cbac54bcaba4f3c0ca7862f907273160e351dfd44,4dccb76005c35ac0e87a926cbac54bcaba4f3c0ca7862f907273160e351dfd44,hf_formal_batch2_primary4,0.26149425287356326
NP_K6_M4_B2_G01_S,445,0.9549434699435558,-0.044734743189124335,0.044734743189124335,0.9996782131326801,0.0003217868673198315,9.406179484425252e-16,8.982369675768936e-16,-4.207830236265736e-17,monitor_T_and_order_sum,0.9549434699435558,0.0,0.9315287614287582,0.0009874308113429176,0.00801405812233009,0.023414708514797655,0.9914702577087873,116.23683622073806,0.9754805292127066,14.817860402183731,7,direct_getdata_power,,,NP_K6_M4_B2_G01_S,673690916853932.6,K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,s,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,true,false,true,false,true,NP_K6_M4_B2_G01_S,NP_K6_M4_B2_G01_S/attempt_001,NP_K6_M4_BATCH2_PRIMARY4,true,7ee856b7c269422b80447a64afc6575ad6d5b301a2a1dedcc562bf9ecd6e1114,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,hf_formal_batch2_primary4,0.2557471264367816
NP_K6_M4_B2_G01_S,446,0.9550898567893636,-0.04518935878697426,0.04518935878697426,1.0002792155763378,-0.0002792155763379073,9.406820787279247e-16,8.984359118565743e-16,-4.250881996011295e-17,monitor_T_and_order_sum,0.9550898567893636,0.0,0.9301734579417484,0.000745986560580726,0.008319769261838673,0.024916398847615207,0.9911349714407328,111.80279508571127,0.9739119846467909,14.85192444636312,7,direct_getdata_power,,,NP_K6_M4_B2_G01_S,672180399103139.1,K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,s,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,true,false,true,false,true,NP_K6_M4_B2_G01_S,NP_K6_M4_B2_G01_S/attempt_001,NP_K6_M4_BATCH2_PRIMARY4,true,7ee856b7c269422b80447a64afc6575ad6d5b301a2a1dedcc562bf9ecd6e1114,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,hf_formal_batch2_primary4,0.25632183908045975
NP_K6_M4_B2_G01_S,447,0.9526137545038775,-0.046980501922419246,0.046980501922419246,0.9995942564262967,0.0004057435737032239,9.407457805215036e-16,8.961673700162705e-16,-4.41967089502983e-17,monitor_T_and_order_sum,0.9526137545038775,0.0,0.9253949441768231,0.0005877968646211701,0.008569790417061025,0.02721881032705442,0.9908242890768382,107.98338105614764,0.9714272335473153,14.885993861861795,7,direct_getdata_power,,,NP_K6_M4_B2_G01_S,670676639821029.1,K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,s,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,true,false,true,false,true,NP_K6_M4_B2_G01_S,NP_K6_M4_B2_G01_S/attempt_001,NP_K6_M4_BATCH2_PRIMARY4,true,7ee856b7c269422b80447a64afc6575ad6d5b301a2a1dedcc562bf9ecd6e1114,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,hf_formal_batch2_primary4,0.2568965517241379
NP_K6_M4_B2_G01_S,448,0.9492540961770335,-0.05081723290130696,0.05081723290130696,1.0000713290783405,-7.13290783404541e-05,9.408090576289273e-16,8.93066851674714e-16,-4.7809312997188326e-17,monitor_T_and_order_sum,0.9492540961770335,0.0,0.9188042191679743,0.0005161581080086643,0.008979049117598056,0.030449877009059212,0.9903220402603399,102.32756354647934,0.9679223117059056,14.92006866327333,7,direct_getdata_power,,,NP_K6_M4_B2_G01_S,669179593750000.0,K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,s,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,true,false,true,false,true,NP_K6_M4_B2_G01_S,NP_K6_M4_B2_G01_S/attempt_001,NP_K6_M4_BATCH2_PRIMARY4,true,7ee856b7c269422b80447a64afc6575ad6d5b301a2a1dedcc562bf9ecd6e1114,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,hf_formal_batch2_primary4,0.2574712643678161
NP_K6_M4_B2_G01_S,449,0.944231614344728,-0.0557132263305317,0.0557132263305317,0.9999448406752597,5.5159324740282345e-05,9.408719138137385e-16,8.8840100607196e-16,-5.241900988234532e-17,monitor_T_and_order_sum,0.9442316143447279,-1.1102230246251565e-16,0.9091953802264389,0.0005155168465214474,0.00943506711920045,0.035036234118289156,0.9897292026990148,96.36342473666326,0.9628944492156161,14.95414886521045,7,direct_getdata_power,,,NP_K6_M4_B2_G01_S,667689216035634.8,K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,s,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,true,false,true,false,true,NP_K6_M4_B2_G01_S,NP_K6_M4_B2_G01_S/attempt_001,NP_K6_M4_BATCH2_PRIMARY4,true,7ee856b7c269422b80447a64afc6575ad6d5b301a2a1dedcc562bf9ecd6e1114,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,hf_formal_batch2_primary4,0.25804597701149423
NP_K6_M4_B2_G01_S,450,0.9374409774196982,-0.06219991492984718,0.06219991492984718,0.9996408923495455,0.00035910765045459037,9.409343527979162e-16,8.820704193746497e-16,-5.85260366986012e-17,monitor_T_and_order_sum,0.9374409774196982,0.0,0.8966098948977467,0.0006016337785102409,0.009987835194775994,0.040831082521951556,0.988983167657218,89.77019318127182,0.9564441031430705,14.988234482305128,7,direct_getdata_power,,,NP_K6_M4_B2_G01_S,666205462222222.2,K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,s,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,true,false,true,false,true,NP_K6_M4_B2_G01_S,NP_K6_M4_B2_G01_S/attempt_001,NP_K6_M4_BATCH2_PRIMARY4,true,7ee856b7c269422b80447a64afc6575ad6d5b301a2a1dedcc562bf9ecd6e1114,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,hf_formal_batch2_primary4,0.25862068965517243
NP_K6_M4_B2_G01_S,451,0.9300126511503592,-0.07011644660428296,0.07011644660428296,1.0001290977546422,-0.00012909775464220452,9.409963782624261e-16,8.751385364707253e-16,-6.597932231126105e-17,monitor_T_and_order_sum,0.9300126511503592,0.0,0.8816737652010216,0.0007804181364953054,0.010751092055273404,0.04833888594933766,0.9879529441970869,82.00783331294807,0.9480234103379713,15.022325529208606,7,direct_getdata_power,,,NP_K6_M4_B2_G01_S,664728288248337.1,K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,s,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,true,false,true,false,true,NP_K6_M4_B2_G01_S,NP_K6_M4_B2_G01_S/attempt_001,NP_K6_M4_BATCH2_PRIMARY4,true,7ee856b7c269422b80447a64afc6575ad6d5b301a2a1dedcc562bf9ecd6e1114,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,hf_formal_batch2_primary4,0.2591954022988506
NP_K6_M4_B2_G01_S,452,0.921047943165758,-0.07857964595024931,0.07857964595024931,0.9996275891160074,0.0003724108839926882,9.410579938477605e-16,8.667595296331743e-16,-7.394800397520892e-17,monitor_T_and_order_sum,0.9210479431657577,-3.3306690738754696e-16,0.8635403706178008,0.0010394691630805917,0.011595806823622016,0.05750757254795724,0.9867497115048723,74.47005488731219,0.9375628891257316,15.056422020591514,7,direct_getdata_power,,,NP_K6_M4_B2_G01_S,663257650442477.9,K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,s,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,true,false,true,false,true,NP_K6_M4_B2_G01_S,NP_K6_M4_B2_G01_S/attempt_001,NP_K6_M4_BATCH2_PRIMARY4,true,7ee856b7c269422b80447a64afc6575ad6d5b301a2a1dedcc562bf9ecd6e1114,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,hf_formal_batch2_primary4,0.2597701149425287
NP_K6_M4_B2_G01_S,453,0.9119141477810047,-0.08787936602476018,0.08787936602476018,0.9997935138057649,0.00020648619423516146,9.411192031544697e-16,8.582199161049465e-16,-8.270495892694229e-17,monitor_T_and_order_sum,0.9119141477810045,-1.1102230246251565e-16,0.8439847840507081,0.0013849848954889752,0.012650201531817451,0.06792936373029657,0.9852326816617056,66.71710185232543,0.9255090362447039,15.0905239711439,7,direct_getdata_power,,,NP_K6_M4_B2_G01_S,661793505518763.8,K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,s,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,true,false,true,false,true,NP_K6_M4_B2_G01_S,NP_K6_M4_B2_G01_S/attempt_001,NP_K6_M4_BATCH2_PRIMARY4,true,7ee856b7c269422b80447a64afc6575ad6d5b301a2a1dedcc562bf9ecd6e1114,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,2891cf7cc7523488a1088cc2e46588032ddf99d045b8b16fe22baef7024b9faa,hf_formal_batch2_primary4,0.26034482758620686
