geometry_id,wavelength_nm,role,p_T_total,s_T_total,abs_delta_T_total,p_R_total,s_R_total,abs_delta_R_total,p_eta_plus1,s_eta_plus1,abs_delta_eta_plus1,p_eta_0,s_eta_0,abs_delta_eta_0,p_eta_minus1,s_eta_minus1,abs_delta_eta_minus1,p_directionality,s_directionality,abs_delta_directionality,p_non_target_efficiency,s_non_target_efficiency,abs_delta_non_target_efficiency
K6X_D110_D125_D135_D150_D175_D190,445,exploitation_1,0.8482077383145094,0.9549434699435558,0.10673573162904648,0.15144986693125692,0.044734743189124335,0.10671512374213259,0.7963247854850712,0.9315287614287582,0.13520397594368694,0.008532650114899771,0.0009874308113429176,0.007545219303556854,0.0020185731757712496,0.00801405812233009,0.005995484946558841,0.9974715476068376,0.9914702577087873,0.006001289898050377,0.05188295282943811,0.023414708514797655,0.028468244314640456
K6X_D110_D125_D135_D150_D175_D190,446,exploitation_1,0.8387925556319693,0.9550898567893636,0.11629730115739434,0.16071568097143063,0.04518935878697426,0.11552632218445637,0.7879791909919075,0.9301734579417484,0.14219426694984094,0.008516813252527263,0.000745986560580726,0.007770826691946537,0.002174509399030714,0.008319769261838673,0.006145259862807959,0.9972479918806242,0.9911349714407328,0.00611302043989137,0.05081336464006181,0.024916398847615207,0.025896965792446602
K6X_D110_D125_D135_D150_D175_D190,447,exploitation_1,0.8177625185517401,0.9526137545038775,0.13485123595213744,0.1816734632414345,0.046980501922419246,0.13469296131901526,0.7658620319008317,0.9253949441768231,0.15953291227599142,0.009586505652786417,0.0005877968646211701,0.008998708788165248,0.0026076002724516587,0.008569790417061025,0.005962190144609367,0.99660676211098,0.9908242890768382,0.005782473034141811,0.051900486650908406,0.02721881032705442,0.024681676323853985
K6X_D110_D125_D135_D150_D175_D190,448,exploitation_1,0.7511471289306918,0.9492540961770335,0.1981069672463417,0.24837198620652967,0.05081723290130696,0.1975547533052227,0.6854334423747004,0.9188042191679743,0.2333707767932739,0.01861354562048693,0.0005161581080086643,0.018097387512478268,0.003847004157947123,0.008979049117598056,0.005132044959650932,0.9944188114180533,0.9903220402603399,0.0040967711577134525,0.06571368655599141,0.030449877009059212,0.0352638095469322
K6X_D110_D125_D135_D150_D175_D190,449,exploitation_1,0.5580819297049291,0.944231614344728,0.38614968463979893,0.44144769159343633,0.0557132263305317,0.3857344652629046,0.4079221751791863,0.9091953802264389,0.5012732050472526,0.07987505537645233,0.0005155168465214474,0.07935953852993088,0.005190818686555995,0.00943506711920045,0.004244248432644455,0.987434869482118,0.9897292026990148,0.00229433321689676,0.15015975452574282,0.035036234118289156,0.11512352040745366
K6X_D110_D125_D135_D150_D175_D190,450,exploitation_1,0.7918126691305916,0.9374409774196982,0.14562830828910667,0.2074981254607776,0.06219991492984718,0.1452982105309304,0.6983002252813916,0.8966098948977467,0.1983096696163551,0.04859652817392569,0.0006016337785102409,0.047994894395415454,0.00031845096450472426,0.009987835194775994,0.00966938423027127,0.9995441705535042,0.988983167657218,0.010561002896286142,0.09351244384919999,0.040831082521951556,0.05268136132724843
K6X_D110_D125_D135_D150_D175_D190,451,exploitation_1,0.857335085608881,0.9300126511503592,0.0726775655414782,0.14232372335682558,0.07011644660428296,0.07220727675254263,0.8009495749063031,0.8816737652010216,0.08072419029471845,0.023548288154270614,0.0007804181364953054,0.022767870017775308,4.315599132175821e-05,0.010751092055273404,0.010707936063951646,0.9999461218689545,0.9879529441970869,0.011993177671867583,0.05638551070257791,0.04833888594933766,0.00804662475324025
K6X_D110_D125_D135_D150_D175_D190,452,exploitation_1,0.8700989882421012,0.921047943165758,0.05094895492365681,0.12981926036425853,0.07857964595024931,0.05123961441400922,0.8293321226240515,0.8635403706178008,0.03420824799374922,0.014373330360722794,0.0010394691630805917,0.013333861197642202,0.00026693342304795915,0.011595806823622016,0.011328873400574056,0.9996782380342621,0.9867497115048723,0.012928526529389806,0.04076686561804965,0.05750757254795724,0.01674070692990759
K6X_D110_D125_D135_D150_D175_D190,453,exploitation_1,0.870181590274238,0.9119141477810047,0.04173255750676663,0.12973358590017442,0.08787936602476018,0.04185421987541424,0.8407158239678331,0.8439847840507081,0.0032689600828750276,0.010022403258119435,0.0013849848954889752,0.00863741836263046,0.0006686020374249098,0.012650201531817451,0.011981599494392542,0.9992053548689993,0.9852326816617056,0.013972673207293673,0.02946576630640496,0.06792936373029657,0.038463597423891605
K6X_D110_D125_D135_D150_D175_D190,454,exploitation_1,0.8415107476602489,0.9032215072858333,0.061710759625584366,0.15797655384956447,0.09674257637173128,0.061233977477833185,0.8127268997111419,0.8238541856977588,0.011127285986616942,0.016751779944677435,0.0018001976250916613,0.014951582319585774,0.0018804454582277662,0.013801424477931762,0.011920979019703995,0.9976915928031108,0.9835237485306915,0.01416784427241935,0.028783847949107044,0.07936732158807447,0.050583473638967424
