candidate_id,target_bin,sampling_group,H_nm,nearest_bin_mode,Tx_mean,ratio_median,y_direct_leakage_median,matrix_error_median,phase_err_at_452nm,nearest_bin_instability_count,B2C_class,preliminary_next_use
LPML1A4_0283_B240_exploration_B240_H650,240,B240_exploration,650,120,0.911493,40.805510,0.015377,0.161157,107.542245,1,projector_pass_phase_wrong,seed_rule_diagnostic
LPML1A4_0524_global_escape_lhs_B180_H600,180,global_escape_lhs,600,0,0.813230,1.685024,0.544765,0.797972,157.404876,3,high_Tx_but_nonselective,negative_sample
LPML1A4_0536_global_escape_lhs_B180_H500,180,global_escape_lhs,500,300,0.507860,0.525229,0.943069,1.405088,138.254233,2,high_Tx_but_nonselective,negative_sample
LPML1A4_0279_B240_exploration_B240_H500,240,B240_exploration,500,240,0.386713,3.267402,0.023818,0.800285,7.641174,4,phase_near_but_nonselective,negative_sample
LPML1A4_0511_global_escape_lhs_B120_H500,120,global_escape_lhs,500,120,0.748726,0.994878,0.798247,1.019870,19.728549,2,phase_near_but_nonselective,negative_sample
LPML1A4_0270_B240_exploration_B240_H600,240,B240_exploration,600,120,0.336603,0.338204,0.490140,2.187993,116.299679,1,phase_drifted_nonselective,negative_sample
