candidate_id,status,direct_gap_nm,nearest_periodic_gap_nm,half_grid_centers,integer_dimensions,duplicate
LP_H500_D4_B120_A_CM-1,PASS,90,119.0,True,True,False
LP_H500_D4_B120_A_CM-2,PASS,90,121.0,True,True,False
LP_H500_D4_B120_A_CM-3,PASS,90,123.0,True,True,False
LP_H500_D4_B120_A_CM-4,PASS,90,125.0,True,True,False
LP_H500_D4_B120_A_CM-5,PASS,90,127.0,True,True,False
LP_H500_D4_B120_B_CM-1,PASS,90,119.0,True,True,False
LP_H500_D4_B120_B_CM-2,PASS,90,121.0,True,True,False
LP_H500_D4_B120_B_CM-3,PASS,90,123.0,True,True,False
