stage,candidate_id,parent_anchor,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,normalized_step_l2,actual_phase_deg,predicted_phase_drop_deg,actual_phase_drop_deg,phase_residual_deg,Txx,Tyy,sigma2_over_sigma1,projection_error,cross_power,projector_status,manufacturing_gate,geometry_hash
D7,D7_TRV_PROP_ac2e5d6ca24e9987,J2LM06,110.0,107.0,98.0,200.50249375007783,0.2857621168765344,2.0,82.03018419230494,4.816633197095314,4.5708947336469805,-0.24573846344833328,0.9780293823351156,0.1110015062876845,0.33689122752633405,0.0019689967906516945,3.876948361596674e-06,PASS,True,31807c28c52a921c8b344f7102837595876436a3e898df0f23e86820776be282
D7,D7_TRV_PROP_00098aaf5db983b9,J2LM06,110.0,107.0,98.0,200.5,0.0,2.020313393073265,82.13812476903968,4.713046005179677,4.462954156912247,-0.2500918482674308,0.980168262891763,0.11122215013661048,0.3368568049865566,7.557479845299403e-09,5.711550161210668e-17,PASS,True,56f1973b99f31b42573906de44cbb95efaab471e752e89dad8176beedcff2084
D7,D7_TRV_PROP_f5fdd16c144945e5,J2LM06,110.0,107.0,98.0,200.50249375007783,-0.2857621168765344,2.08005767943272,82.33660785164238,4.614717080226114,4.26447107430954,-0.3502460059165742,0.9813901787040578,0.11101004124119114,0.3363264428038453,0.00172946516220822,2.991049747291905e-06,PASS,True,bd4f373864663e78a33691805c3e713e95314b5fce0c2b7d02f4a4e1b124ff2d
D7,D7_TRV_PROP_27a9f273b1daf877,J2LM06,110.0,107.0,99.0,200.50249375007783,0.2857621168765344,1.0,82.76966965495666,4.291950295541824,3.831409270995266,-0.46054102454655776,0.9843915877000079,0.1063902194576574,0.3287503015261721,0.0009573734322536636,9.165638887851601e-07,PASS,True,a69a2645136a83fb9a4ed3358bac8f80c8d75ee9c41fd662f8755c19e389edea
D7,D7_TRV_PROP_89eb19e02e4961be,J2LM06,110.0,107.0,99.0,200.5,0.0,1.040031829431777,82.90164318416208,4.189517280791961,3.6994357417898414,-0.49008153900211937,0.9823666132265115,0.10669756307081033,0.3295645219460173,6.17252386380205e-09,3.810005084920579e-17,PASS,True,51e1a24a140798c5082d248dc870f39ab04289cde0ea48054eb05cab0663ce48
D7,D7_TRV_PROP_5faf242ac18ec85b,J2LM06,110.0,107.0,99.0,200.50249375007783,-0.2857621168765344,1.1517985716986423,83.01389145532869,4.09233545606088,3.5871874706232347,-0.5051479854376453,0.9793095686569105,0.10637734613370028,0.3295826064872004,0.0005929990233387632,3.51647841680727e-07,PASS,True,ed3e13bc3d93a1ed2361490a691e38eee7afcb8b1487ba715542ce9003ce5252
D7,D7_TRV_PROP_693ec7d86d7c23e2,J2LM06,110.0,107.0,100.0,200.50249375007783,0.2857621168765344,0.0,83.39090283836549,3.7704246325142776,3.210176087586433,-0.5602485449278447,0.9768751966102096,0.10157449401387007,0.32245731402229666,0.0006568023271707789,4.313892969769509e-07,PASS,True,7a174272b93c7a835e248936edb9479350afe887e8b69252131703a2836aa37b
D7,D7_TRV_PROP_56364757e6cc98ca,J2LM06,110.0,107.0,100.0,200.5,0.0,0.285772997729332,83.38424777551586,3.669150717821651,3.2168311504360645,-0.45231956738558665,0.9744614016205254,0.10191974031923341,0.32340507707073896,7.484768476985714e-09,5.602175915407904e-17,PASS,True,4b7f771c70d77c6408951ef7b61e30cc027790b3a1370ec8712034045e4b872e
D8,D8_TRV_PLAN_d6f4911593b64495,D7_TRV_PROP_693ec7d86d7c23e2,110.0,106.0,100.0,200.50249375007783,0.2857621168765344,1.0,81.83209368524963,3.216274818658487,1.5588091531158597,-1.6574656655426274,0.9803282054097863,0.10382120479854762,0.32542967839033604,1.4185405897561292e-06,1.537912125331463e-06,PASS,True,d6f4911593b6449598be2ba0a437acd232d111618c55182792a38fc5da8ee2a5
D8,D8_TRV_PLAN_3f9495af463cc07b,D7_TRV_PROP_693ec7d86d7c23e2,110.0,106.0,100.0,200.5,0.0,1.040031829431777,81.99612094062459,3.138521804294979,1.3947818977408986,-1.7437399065540804,0.9800790993144246,0.10407109357361688,0.32586258262569107,1.1415926687911763e-16,1.237657912069528e-16,PASS,True,3f9495af463cc07b61fe40b1647237ebf3683e26dd51eb12b9c0efb9e44b986b
