candidate_id,cohort,source_stage,physics_origin,projector_label,Txx,Tyy,Txy,Tyx,cross_power,combined_leakage,sigma2_over_sigma1,projection_metric,projection_metric_source,exact_geometry_hash,canonical_relative_geometry_hash,symmetry_equivalence_hash,wavelength_nm,formal_weighted_g0,provenance_status,calibration_role
LP_H500_D0_0_J2LM05,negative_core,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_WRONG_AXIS_OR_HIGH_RANK_NEGATIVE,FAIL,0.9763542704964498,1.0234238712781119,2.8769328624404257e-18,4.2772846056934683e-17,4.564977891937511e-17,1.0234238712781119,0.9767331859549742,1.023821054080676,matrix_projection_error,bbb4829d92e6688ca77fd62097f7c73735282320afd66f1d1ea16a1bbd868cfc,24afedd0894409e24f0261619a2c682978ee9b3566a1a8a89c3c5ce561b51d4c,3d37a4c972e02ea540076ead402db1caf46d55a58a38f73094a037fc52b4249b,450.0,True,EXACT_HASH_NATIVE_M1_450_FORMAL,CALIBRATION_CORE
LP_H500_D0_0_J2WM05,negative_core,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_WRONG_AXIS_OR_HIGH_RANK_NEGATIVE,FAIL,0.9774537020162396,0.9963774215926651,1.1039430600568213e-18,1.446418198354962e-16,1.4574576289555303e-16,0.9963774215926652,0.9904582164459874,1.009633706294289,matrix_projection_error,1224de27a3b3d1dc7310ff98834d5d4db124a3d947a7e7e3e7c90f18231b9dc3,b186e50ecd862837649a62469caba2ce20e4d6d31b8bf6d795562d203cf259db,f1e0af0545cf97bb3c200da52e442ce3f91932203bc7437e73c627e893688757,450.0,True,EXACT_HASH_NATIVE_M1_450_FORMAL,CALIBRATION_CORE
LP_H500_D0_0_GP05,negative_core,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_WRONG_AXIS_OR_HIGH_RANK_NEGATIVE,FAIL,0.9903647813032553,0.9407418866090236,3.10474959785691e-17,6.107276235070807e-19,3.165822360207618e-17,0.9407418866090236,0.9746252234477459,0.9746252234477468,matrix_projection_error,89396955e6d5212b9ad0f41067fc4547b3d7ef8a6dcb20d74d8e303c878395ac,6635cd6704639ab2afe99fd4cfb3994602f8c968ea8ad6578bccf50e0417de78,bf53f51750e88f2174fbf73cc8944dcf4c13bb3d46bdc5f53abf7192276a8b3a,450.0,True,EXACT_HASH_NATIVE_M1_450_FORMAL,CALIBRATION_CORE
LP_H500_D0_0_J2LP05_J2WM05,negative_core,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_WRONG_AXIS_OR_HIGH_RANK_NEGATIVE,FAIL,0.9876023000237137,1.0455557398320405,5.51579962572504e-19,4.641725971366431e-18,5.193305933938935e-18,1.0455557398320405,0.9718907552462296,1.0289222267029885,matrix_projection_error,ef272178cf183d38b2e701d36371751f3b4716fc0ed1198171d53bea0954224f,f22c640ded84c0c264fe6b8229623261b1e91bea020d0934463920a620bfb592,b9ddffb15b57fb16cbfd7c507e58be78797f2dd3c0a509d7a93a74497e1e7524,450.0,True,EXACT_HASH_NATIVE_M1_450_FORMAL,CALIBRATION_CORE
LP_H500_D0_CTRL_B120_J2LP05,positive_core,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_PROJECTOR_POSITIVE_CONTROL,PASS,1.0098176999963357,0.033118114972522615,2.37774080316713e-18,4.295125391663225e-17,4.532899471979938e-17,0.033118114972522664,0.18109702477881562,0.18109702477881576,matrix_projection_error,938766aec59a9155723567e9fdb7ba0993279e79c7808ef9a911af2c44fc5de0,16f404bee13126c85ef55b5eec6b5f2e3a9040b7a81c8e759a63494ba3a7dbfe,a8c478fda7ecddb08a3e9e07ebfb9079b598c8ab5b489bb0fe9c9747910148bb,450.0,True,EXACT_HASH_NATIVE_M1_450_FORMAL,CALIBRATION_CORE
LP_H500_D0_CTRL_B300_J2WM05,negative_core,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,FORMAL_WRONG_AXIS_OR_HIGH_RANK_NEGATIVE,FAIL,0.9646513774248965,0.9703586559726071,1.3666255024635009e-17,3.7857461039467775e-18,1.7452001128581786e-17,0.9703586559726071,0.9970548542590906,1.002953845245653,matrix_projection_error,56dea7f2e3969a7890c89108c8d06f4c8b2711d6376a45a01039788c9480d67b,a73f9118b53444fdb3cf10b83b4a6fbbc9b6eb97038cb100308b4dadd00eae30,1fdda6c7520a3e04f89563aad7af740ef415227e77a445b06144ee425dc64da3,450.0,True,EXACT_HASH_NATIVE_M1_450_FORMAL,CALIBRATION_CORE
POSTD8_BOUNDED_PROJECTOR_03,positive_supporting,POST_D8_BOUNDED_PRE_BATCH_A,PROSPECTIVE_PRE_BATCH_A_FORMAL_POSITIVE,PASS,0.9882174507087657,0.0841956581302347,,,8.41859714931143e-05,,0.29182324993464487,4.321732097833283e-05,projection_error,66a3dc9d521806535cafd737ac827e01ef8d81ada8b1ff979243c6ca5fca38db,,,450.0,True,FORMAL_LABEL_GEOMETRY_HASH_ONLY,SUPPORTING_REFERENCE
POSTD8_BOUNDED_PROJECTOR_04,positive_supporting,POST_D8_BOUNDED_PRE_BATCH_A,PROSPECTIVE_PRE_BATCH_A_FORMAL_POSITIVE,PASS,0.9727606462320078,0.08720212917962429,,,3.0338222673103343e-06,,0.29940676340331035,1.5114956043527293e-06,projection_error,c87fd82c28de5256465253f23cba3493d376b40b8354c93e0df34bbbc45394e6,,,450.0,True,FORMAL_LABEL_GEOMETRY_HASH_ONLY,SUPPORTING_REFERENCE
POSTD8_BOUNDED_PHASE_01,positive_supporting,POST_D8_BOUNDED_PRE_BATCH_A,PROSPECTIVE_PRE_BATCH_A_FORMAL_POSITIVE,PASS,0.9762270540517638,0.10167929035288596,,,7.94823527640629e-10,,0.32273111092141216,4.1826207488380155e-10,projection_error,1d24e97bd1d0721929dc296512155b0b49a10233ce0f5adc601a9975997d49f2,,,450.0,True,FORMAL_LABEL_GEOMETRY_HASH_ONLY,SUPPORTING_REFERENCE
POSTD8_BOUNDED_PHASE_02,positive_supporting,POST_D8_BOUNDED_PRE_BATCH_A,PROSPECTIVE_PRE_BATCH_A_FORMAL_POSITIVE,PASS,0.9806735766691383,0.1024085263881075,,,3.784839789427542e-07,,0.32315111810696895,1.960292982062354e-07,projection_error,41321ebd023430fd12fd568c34b8e6f9bc10549914b69e00eaa6995f657daf7a,,,450.0,True,FORMAL_LABEL_GEOMETRY_HASH_ONLY,SUPPORTING_REFERENCE
POSTD8_BOUNDED_DIAG_05,positive_supporting,POST_D8_BOUNDED_PRE_BATCH_A,PROSPECTIVE_PRE_BATCH_A_FORMAL_POSITIVE,PASS,0.9755510973240265,0.10134172015198815,,,2.467110486738905e-07,,0.32230654124377034,1.2994182958131056e-07,projection_error,4baa01a6354ad138f6420c8bface03eb2a8af4a4bdf9577a7cd74dc51da44e8a,,,450.0,True,FORMAL_LABEL_GEOMETRY_HASH_ONLY,SUPPORTING_REFERENCE
POSTD8_BOUNDED_DIAG_06,positive_supporting,POST_D8_BOUNDED_PRE_BATCH_A,PROSPECTIVE_PRE_BATCH_A_FORMAL_POSITIVE,PASS,0.989826910242413,0.08355668162373117,,,8.716321409896625e-05,,0.2904896138839077,4.4699697074843127e-05,projection_error,cc1559c84261dbe4d281882efe8f8bb749c198482c88c31bb62566cd71ce4dac,,,450.0,True,FORMAL_LABEL_GEOMETRY_HASH_ONLY,SUPPORTING_REFERENCE
