candidate_id,relative_perturbation,median_delta_arg_txx_deg,p90_delta_arg_txx_deg,max_delta_arg_txx_deg,q_abs_txx_over_frobenius,classification
LPML_INV_B0_GRA_9e075ededc76,0.005,0.08872847447673848,0.1974704060864383,0.28750675690722005,0.859256245318158,PHASE_WELL_CONDITIONED
LPML_INV_B0_GRA_9e075ededc76,0.01,0.19205251958641156,0.3692331326373335,0.5114845414225044,0.859256245318158,PHASE_WELL_CONDITIONED
LPML_INV_B0_GRA_9e075ededc76,0.02,0.34146819184826427,0.7174237648755479,1.1963124995402268,0.859256245318158,PHASE_WELL_CONDITIONED
LPML_INV_B0_GRA_9e075ededc76,0.05,0.7832919145168376,1.9505594374294333,3.0603019540167793,0.859256245318158,PHASE_WELL_CONDITIONED
LPML_INV_B1_GRA_c4219b9eaa04,0.005,0.07703431170858721,0.16498608540862847,0.24040686642234732,0.9627571107803694,PHASE_WELL_CONDITIONED
LPML_INV_B1_GRA_c4219b9eaa04,0.01,0.16888315716414581,0.3271144398643173,0.43176997934551764,0.9627571107803694,PHASE_WELL_CONDITIONED
LPML_INV_B1_GRA_c4219b9eaa04,0.02,0.3638260612859767,0.7004079471446971,1.087099234377149,0.9627571107803694,PHASE_WELL_CONDITIONED
LPML_INV_B1_GRA_c4219b9eaa04,0.05,0.7221887259286746,1.6432626329142295,2.4789263925569855,0.9627571107803694,PHASE_WELL_CONDITIONED
LPML_INV_B2_DER_887193d2b26e,0.005,0.07111233656394234,0.16191893590871587,0.26316325293961995,0.9939812514167627,PHASE_WELL_CONDITIONED
LPML_INV_B2_DER_887193d2b26e,0.01,0.13930042668113174,0.3101392675331738,0.4334514530985416,0.9939812514167627,PHASE_WELL_CONDITIONED
LPML_INV_B2_DER_887193d2b26e,0.02,0.25606509427785795,0.7127759320674443,1.0654000167766355,0.9939812514167627,PHASE_WELL_CONDITIONED
LPML_INV_B2_DER_887193d2b26e,0.05,0.7932153445971721,1.627135383600887,2.5139107787286434,0.9939812514167627,PHASE_WELL_CONDITIONED
LPML_INV_B3_DER_c6034e02ce52,0.005,0.07199902251642243,0.18680778805250497,0.26256569001444063,0.9686865759035401,PHASE_WELL_CONDITIONED
LPML_INV_B3_DER_c6034e02ce52,0.01,0.17657388621844916,0.355302817940526,0.49085965138283427,0.9686865759035401,PHASE_WELL_CONDITIONED
LPML_INV_B3_DER_c6034e02ce52,0.02,0.32128274882043684,0.7251094028443958,1.0233651908089882,0.9686865759035401,PHASE_WELL_CONDITIONED
LPML_INV_B3_DER_c6034e02ce52,0.05,0.8103638823131405,1.9386129489882649,2.6420654765377094,0.9686865759035401,PHASE_WELL_CONDITIONED
LPML_INV_B4_DER_70702c511de7,0.005,0.060290180794140724,0.14969437539218688,0.2598396543419881,0.9816796803971747,PHASE_WELL_CONDITIONED
LPML_INV_B4_DER_70702c511de7,0.01,0.1600543106242185,0.3294113035613293,0.5015816774699431,0.9816796803971747,PHASE_WELL_CONDITIONED
LPML_INV_B4_DER_70702c511de7,0.02,0.3539698575082184,0.7299372410141416,0.8874085391881863,0.9816796803971747,PHASE_WELL_CONDITIONED
LPML_INV_B4_DER_70702c511de7,0.05,0.6334399324059632,1.3937763311230924,2.486037641682856,0.9816796803971747,PHASE_WELL_CONDITIONED
