execution_order,candidate_id,role,uW,uD,uPsi,J2_width_nm,D_nm,Psi_deg,direct_gap_nm,nearest_periodic_gap_nm,exact_geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_hash_sha256,manufacturing_pass
1,POSTD8_QMAP_WM_DM_PM,BASELINE_EXISTING,-1,-1,-1,99.0,200.0,0.0,92.0,124.0,37fdf2e25e5de58ccd4092697aa6dde4c5a9b6b82c351bfca5426ef5e638d441,c5c2d951fc1150a3e1c00a46068bf6745ea66d12dee42bda04b58a7a909848ac,c5c2d951fc1150a3e1c00a46068bf6745ea66d12dee42bda04b58a7a909848ac,True
2,POSTD8_QMAP_WM_DM_P0,PHASE_B_NEW,-1,-1,0,99.0,200.0024999843752,0.2864765102770745,92.00249998437519,123.99750001562481,091e51ccf02d8c1e80328a0fa1732d64602610efd653998ce8d582deffed604a,f394593447ff5a18523d55e568aa6d4ff7fcb09cf9d642e8305e8076ef3f76ce,f394593447ff5a18523d55e568aa6d4ff7fcb09cf9d642e8305e8076ef3f76ce,True
3,POSTD8_QMAP_WM_DM_PP,BASELINE_EXISTING,-1,-1,1,99.0,200.0099997500125,0.5729386976834859,92.0099997500125,123.9900002499875,37c3a45780662da920e72d3ba8aa7a8f904a6605a74420a5c94750b58ec1eb6f,eb743e3a7887ef2c863684a5ca7544c3b18b825463ad2a197d50483aadd99445,eb743e3a7887ef2c863684a5ca7544c3b18b825463ad2a197d50483aadd99445,True
7,POSTD8_QMAP_WM_DP_PM,BASELINE_EXISTING,-1,1,-1,99.0,201.0,0.0,93.0,123.0,efc0de18f82f66294856d3d86bd04644d092547ffbaa0ece708c592229732ce3,76c730d56f1611d7bde7dbffd587b3875ca0673628f4857d23eff6bae193b876,76c730d56f1611d7bde7dbffd587b3875ca0673628f4857d23eff6bae193b876,True
8,POSTD8_QMAP_WM_DP_P0,PHASE_B_NEW,-1,1,0,99.0,201.0024875467963,0.2850512775838264,93.00248754679629,122.99751245320371,6f1ac436eb354b91469d96fa494c2d54fe50954d1c4fd7aa348d9adcbda5eca0,f7ebfc20677c165b096c0a30c9f9e931a09c71df82309d0ee87d8d126079ac6f,f7ebfc20677c165b096c0a30c9f9e931a09c71df82309d0ee87d8d126079ac6f,True
9,POSTD8_QMAP_WM_DP_PP,BASELINE_EXISTING,-1,1,1,99.0,201.00995000248122,0.5700884449988864,93.00995000248122,122.99004999751878,6903b647f7b99c3c5c03285d30b82c679a8f09cd5614c4cc68351453792f4ff3,16c1183e27233c9ec35589675d479436dc5ee2b1713edb71bcfe58ae885bbf94,16c1183e27233c9ec35589675d479436dc5ee2b1713edb71bcfe58ae885bbf94,True
10,POSTD8_QMAP_W0_DM_PM,PHASE_B_NEW,0,-1,-1,100.0,200.0,0.0,92.0,124.0,53511746be660503ca6b292b32b7882f81221cd911751a6cbc21b338b579c5a4,8440d1ac2e02f1aabd1e89783a3d56ca27976e01155e84f63a2cc2768745c229,8440d1ac2e02f1aabd1e89783a3d56ca27976e01155e84f63a2cc2768745c229,True
11,POSTD8_QMAP_W0_DM_P0,PHASE_A_NEW,0,-1,0,100.0,200.0024999843752,0.2864765102770745,92.00249998437519,123.99750001562481,2ed6f566ff5d2febe94438beae64a61054933e54de12284184c3b20879a9f61f,39c33bfb4bcaab9031f333588631d88e7b1ac5698d1fa8355e1897c7641a1da7,39c33bfb4bcaab9031f333588631d88e7b1ac5698d1fa8355e1897c7641a1da7,True
12,POSTD8_QMAP_W0_DM_PP,PHASE_B_NEW,0,-1,1,100.0,200.0099997500125,0.5729386976834859,92.0099997500125,123.9900002499875,a809c6aad18c8709c947d36a82a866634d4c213fa9022e15f14cbe8f1fe258ae,3d7b894db8b24e353aecc2fd3cfd12b75c368f3cf444ff3b3c1de5a6a10c8d3e,3d7b894db8b24e353aecc2fd3cfd12b75c368f3cf444ff3b3c1de5a6a10c8d3e,True
14,POSTD8_QMAP_W0_D0_P0,BASELINE_ANCHOR,0,0,0,100.0,200.50249375007783,0.2857621168765344,92.50249375007783,123.49750624992217,3cfd291d4505513fe555c93ea706aeef60b915a63b4ac3a3ddf06619e20b74bf,83c37b4fd2170da65d116e572ac134e0dda9314fca1c6c2b2331d68469859e6a,83c37b4fd2170da65d116e572ac134e0dda9314fca1c6c2b2331d68469859e6a,True
