candidate_id,q_provisional,abs_c_provisional,projector_error_provisional,conditioning,conditioning_class
LPML_INV_B1_DER_28e629198bb5,0.869041862807745,1.000047552506773,0.24476624068764452,"[{'relative_perturbation': 0.005, 'phase_std_deg': 0.0, 'phase_range_deg': [73.40126242036861, 73.40126242036861]}, {'relative_perturbation': 0.01, 'phase_std_deg': 0.0, 'phase_range_deg': [73.56099059732833, 73.56099059732833]}, {'relative_perturbation': 0.02, 'phase_std_deg': 0.0, 'phase_range_deg': [73.35291742701662, 73.35291742701662]}, {'relative_perturbation': 0.05, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [72.86098409126973, 72.86098409126973]}]",STABLE_PROVISIONAL
LPML_INV_B1_GRA_78e4d56686f5,0.9562401153016954,0.9937803792541804,0.08560484188780026,"[{'relative_perturbation': 0.005, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [79.61335222208979, 79.61335222208979]}, {'relative_perturbation': 0.01, 'phase_std_deg': 0.0, 'phase_range_deg': [79.76909590724769, 79.76909590724769]}, {'relative_perturbation': 0.02, 'phase_std_deg': 0.0, 'phase_range_deg': [79.5804557536053, 79.5804557536053]}, {'relative_perturbation': 0.05, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [79.0914207541525, 79.0914207541525]}]",STABLE_PROVISIONAL
LPML_INV_B2_DER_887193d2b26e,0.9939812514167625,0.9940061931199515,0.012001271831966753,"[{'relative_perturbation': 0.005, 'phase_std_deg': 0.0, 'phase_range_deg': [88.75460204202795, 88.75460204202795]}, {'relative_perturbation': 0.01, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [88.91623048507822, 88.91623048507822]}, {'relative_perturbation': 0.02, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [88.7392234827277, 88.7392234827277]}, {'relative_perturbation': 0.05, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [88.2195969019871, 88.2195969019871]}]",STABLE_PROVISIONAL
LPML_INV_B2_DER_efda342ea028,0.9948119059578117,0.9941937028706453,0.01034927176458611,"[{'relative_perturbation': 0.005, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [90.31497982855474, 90.31497982855474]}, {'relative_perturbation': 0.01, 'phase_std_deg': 0.0, 'phase_range_deg': [90.47808463281962, 90.47808463281962]}, {'relative_perturbation': 0.02, 'phase_std_deg': 0.0, 'phase_range_deg': [90.30244090253723, 90.30244090253723]}, {'relative_perturbation': 0.05, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [89.77614382417217, 89.77614382417217]}]",STABLE_PROVISIONAL
LPML_INV_B2_DER_1c4c70e363d7,0.9999565519665401,0.986890049385075,8.689417918816833e-05,"[{'relative_perturbation': 0.005, 'phase_std_deg': 0.0, 'phase_range_deg': [93.2045666461762, 93.2045666461762]}, {'relative_perturbation': 0.01, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [93.36947842184411, 93.36947842184411]}, {'relative_perturbation': 0.02, 'phase_std_deg': 0.0, 'phase_range_deg': [93.19732462599428, 93.19732462599428]}, {'relative_perturbation': 0.05, 'phase_std_deg': 0.0, 'phase_range_deg': [92.66167130723392, 92.66167130723392]}]",STABLE_PROVISIONAL
LPML_INV_B2_DER_12be3c1d9a57,0.9942097737747738,0.9911975863742634,0.011546925730713031,"[{'relative_perturbation': 0.005, 'phase_std_deg': 0.0, 'phase_range_deg': [91.29530465975984, 91.29530465975984]}, {'relative_perturbation': 0.01, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [91.45945990552191, 91.45945990552191]}, {'relative_perturbation': 0.02, 'phase_std_deg': 0.0, 'phase_range_deg': [91.28454031350533, 91.28454031350533]}, {'relative_perturbation': 0.05, 'phase_std_deg': 0.0, 'phase_range_deg': [90.75365581773143, 90.75365581773143]}]",STABLE_PROVISIONAL
LPML_INV_B2_DER_645b1376ee7c,0.9980800552800548,0.9841617834564009,0.0038362032521627176,"[{'relative_perturbation': 0.005, 'phase_std_deg': 0.0, 'phase_range_deg': [94.23475347978469, 94.23475347978469]}, {'relative_perturbation': 0.01, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [94.40082140925146, 94.40082140925146]}, {'relative_perturbation': 0.02, 'phase_std_deg': 0.0, 'phase_range_deg': [94.22937224032124, 94.22937224032124]}, {'relative_perturbation': 0.05, 'phase_std_deg': 0.0, 'phase_range_deg': [93.68872696900087, 93.68872696900087]}]",STABLE_PROVISIONAL
LPML_INV_B3_DER_ae6a205f794c,0.9855170911760538,0.9887836026747068,0.028756062999889642,"[{'relative_perturbation': 0.005, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [83.99178848731813, 83.99178848731813]}, {'relative_perturbation': 0.01, 'phase_std_deg': 0.0, 'phase_range_deg': [84.14909947714749, 84.14909947714749]}, {'relative_perturbation': 0.02, 'phase_std_deg': 0.0, 'phase_range_deg': [83.96765148641153, 83.96765148641153]}, {'relative_perturbation': 0.05, 'phase_std_deg': 0.0, 'phase_range_deg': [83.46781181011526, 83.46781181011526]}]",STABLE_PROVISIONAL
LPML_INV_B3_DER_c6034e02ce52,0.9686865759035401,0.9901601862368969,0.061646317664274974,"[{'relative_perturbation': 0.005, 'phase_std_deg': 1.4210854715202004e-14, 'phase_range_deg': [81.89571178411197, 81.89571178411197]}, {'relative_perturbation': 0.01, 'phase_std_deg': 0.0, 'phase_range_deg': [82.05285608858726, 82.05285608858726]}, {'relative_perturbation': 0.02, 'phase_std_deg': 0.0, 'phase_range_deg': [81.86734345601967, 81.86734345601967]}, {'relative_perturbation': 0.05, 'phase_std_deg': 0.0, 'phase_range_deg': [81.37079954845966, 81.37079954845966]}]",STABLE_PROVISIONAL
LPML_INV_B3_DER_1a143aaeb4c4,0.9875418321202569,0.9935354213152842,0.024761129812566285,"[{'relative_perturbation': 0.005, 'phase_std_deg': 0.0, 'phase_range_deg': [85.3999290589187, 85.3999290589187]}, {'relative_perturbation': 0.01, 'phase_std_deg': 0.0, 'phase_range_deg': [85.55871651690474, 85.55871651690474]}, {'relative_perturbation': 0.02, 'phase_std_deg': 0.0, 'phase_range_deg': [85.37837139860515, 85.37837139860515]}, {'relative_perturbation': 0.05, 'phase_std_deg': 0.0, 'phase_range_deg': [84.87203842785937, 84.87203842785937]}]",STABLE_PROVISIONAL
