family,candidate_id,source_role,anchor_id,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,delta_J1_side_nm,delta_J2_length_nm,inactive_displacement_norm,active_displacement_norm,full_displacement_norm,u_J2_width,u_D,u_Psi,actual_phase_deg,actual_delta_phase_deg,predicted_delta_phase_deg,phase_residual_deg,relative_phase_residual,phase_gradient_alignment_cosine,actual_Txx,actual_Tyy,actual_sigma2_over_sigma1,actual_projection_error,predicted_Txx,predicted_Tyy,predicted_sigma2_over_sigma1,Jones_residual_frobenius,Jones_predicted_delta_frobenius,projector_metric_residual,Txx_residual,Tyy_residual
S1_J2LM06_TO_D7,D7_TRV_PROP_ac2e5d6ca24e9987,D7,J2LM06,110.0,107.0,98.0,200.50249375007783,0.2857621168765344,0.0,1.0,1.0,2.0,2.23606797749979,-2.0,0.0,0.0,82.03018419230494,-4.5708947336469805,-1.0289883295642723,-3.541906404082708,-0.7748825143598804,-0.9891974649947607,0.9780293823351156,0.1110015062876845,0.33689122752633405,0.0019689967906516945,0.9796231787323185,0.11593184355970855,0.34401073113210295,0.061791720102170114,0.03697646727326027,0.001601914123142206,-0.0042838287045078305,-0.005605615428080954
S1_J2LM06_TO_D7,D7_TRV_PROP_00098aaf5db983b9,D7,J2LM06,110.0,107.0,98.0,200.5,0.0,0.0,1.0,1.0,2.2360735397472515,2.449494820398239,-2.0,-0.004987500155664293,-1.0,82.13812476903968,-4.462954156912247,-1.0499084572274204,-3.413045699684826,-0.7647503379345009,-0.9027508225473717,0.980168262891763,0.11122215013661048,0.3368568049865566,7.557479845299403e-09,0.9811429125977122,0.11638625511247812,0.3444165969141266,0.059617320897604874,0.037869009037630075,0.0006227121339536678,-0.0036501552140812965,-0.004970656024718134
S1_J2LM06_TO_D7,D7_TRV_PROP_f5fdd16c144945e5,D7,J2LM06,110.0,107.0,98.0,200.50249375007783,-0.2857621168765344,0.0,1.0,1.0,2.8284271247461903,3.0000000000000004,-2.0,0.0,-2.0,82.33660785164238,-4.26447107430954,-1.0715588688848314,-3.192912205424709,-0.7487240855401213,-0.7284061146699189,0.9813901787040578,0.11101004124119114,0.3363264428038453,0.00172946516220822,0.9826861150727387,0.11682272218281584,0.34478910161779397,0.0560290940482048,0.03879853894503906,0.003347789578637646,-0.00396077185358934,-0.004781723560127987
S1_J2LM06_TO_D7,D7_TRV_PROP_27a9f273b1daf877,D7,J2LM06,110.0,107.0,99.0,200.50249375007783,0.2857621168765344,0.0,1.0,1.0,1.0,1.4142135623730951,-1.0,0.0,0.0,82.76966965495666,-3.831409270995266,-0.5144941647821362,-3.3169151062131297,-0.8657167302180462,-0.9891974649947607,0.9843915877000079,0.1063902194576574,0.3287503015261721,0.0009573734322536636,0.9821084456485113,0.10949393003075253,0.33389916744003323,0.05771276870811392,0.018488233636630134,0.0007738320984989193,0.0008588573756869167,-0.003703770964892217
S1_J2LM06_TO_D7,D7_TRV_PROP_89eb19e02e4961be,D7,J2LM06,110.0,107.0,99.0,200.5,0.0,0.0,1.0,1.0,1.4142223570421317,1.7320579883935188,-1.0,-0.004987500155664293,-1.0,82.90164318416208,-3.6994357417898414,-0.5354142924452844,-3.164021449344557,-0.8552713630359632,-0.7279051679267267,0.9823666132265115,0.10669756307081033,0.3295645219460173,6.17252386380205e-09,0.983622640483604,0.10992122609356615,0.3342918702794053,0.0550105960120212,0.019403447937001293,0.0008062520827524306,-0.0026713241640302643,-0.002982111797302456
S1_J2LM06_TO_D7,D7_TRV_PROP_5faf242ac18ec85b,D7,J2LM06,110.0,107.0,99.0,200.50249375007783,-0.2857621168765344,0.0,1.0,1.0,2.23606797749979,2.4494897427831783,-1.0,0.0,-2.0,83.01389145532869,-3.5871874706232347,-0.5570647041026953,-3.0301227665205395,-0.8447071114446351,-0.4789863986005418,0.9793095686569105,0.10637734613370028,0.3295826064872004,0.0005929990233387632,0.9851600951401317,0.11033109820815316,0.3346514759697517,0.052851295890267574,0.020394881150504838,0.0023948647735229337,-0.007260901185434099,-0.002901287374402997
S1_J2LM06_TO_D7,D7_TRV_PROP_693ec7d86d7c23e2,D7,J2LM06,110.0,107.0,100.0,200.50249375007783,0.2857621168765344,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,83.39090283836549,-3.210176087586433,0.0,-3.210176087586433,-1.0,,0.9768751966102096,0.10157449401387007,0.32245731402229666,0.0006568023271707789,0.9847522496090185,0.10358085912933379,0.32432189104706927,0.05572171352277541,0.0,0.0006568023271707789,-0.00787705299880892,-0.002006365115463718
S1_J2LM06_TO_D7,D7_TRV_PROP_56364757e6cc98ca,D7,J2LM06,110.0,107.0,100.0,200.5,0.0,0.0,1.0,1.0,1.0000124375015556,1.4142223570421317,0.0,-0.004987500155664293,-1.0,83.38424777551586,-3.2168311504360645,-0.02092012766314815,-3.195911022772916,-0.9934966659159862,-0.040221797035060056,0.9744614016205254,0.10191974031923341,0.32340507707073896,7.484768476985714e-09,0.9862609054138101,0.10398103970219144,0.3246986071730555,0.05559292417415812,0.0015985318892581843,0.000989794728751788,-0.011796055054713928,-0.0012468032556635367
S2_D7_TO_D8,D8_TRV_PLAN_d6f4911593b64495,D8,D7_TRV_PROP_693ec7d86d7c23e2,110.0,106.0,100.0,200.50249375007783,0.2857621168765344,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,81.83209368524963,-1.5588091531158739,0.0,-1.5588091531158739,-1.0,,0.9803282054097863,0.10382120479854762,0.32542967839033604,0.0,0.9768751966102096,0.10157449401387007,0.32245731402229666,0.027616916485724667,0.0,0.0,0.0034530087995766623,0.002246710784677544
S2_D7_TO_D8,D8_TRV_PLAN_3f9495af463cc07b,D8,D7_TRV_PROP_693ec7d86d7c23e2,110.0,106.0,100.0,200.5,0.0,0.0,-1.0,1.0,1.0000124375015556,1.4142223570421317,0.0,-0.004987500155664293,-1.0,81.99612094062459,-1.3947818977408986,-0.02092012766314815,-1.3738617700777505,-0.9850011477084467,-0.040221797035060056,0.9800790993144246,0.10407109357361688,0.32586258262569107,0.0,0.9784234198325522,0.10196975378041939,0.32282884906384873,0.02430514522833097,0.0015985318892581843,0.0009897872439833112,0.0016986956379941853,0.0029109151141836487
