candidate_id,target_phase_deg,predicted_phase_deg,beyond_support_distance_deg,classification,txx_prediction_fields,c0_c1_c5_disagreement,physics_claim,source_row
LPML_INV_B1_GRA_6dd37ab7877f,65.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_6dd37ab7877f
LPML_INV_B1_GRA_615756c591f8,65.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_615756c591f8
LPML_INV_B1_GRA_050bd68bbf75,65.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_050bd68bbf75
LPML_INV_B2_GRA_9023e732c585,123.0,,16.10216705151761,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B2_GRA_9023e732c585
LPML_INV_B2_GRA_d69c0e9511cf,125.0,,18.10216705151761,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B2_GRA_d69c0e9511cf
LPML_INV_B1_GRA_83c698603163,90.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_83c698603163
LPML_INV_B4_GRA_2bc5c8002ad8,245.0,,138.1021670515176,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B4_GRA_2bc5c8002ad8
LPML_INV_B1_GRA_1f07b5702394,105.0,,0,TARGET_PHASE_NEAR_SUPPORT_EDGE_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_1f07b5702394
LPML_INV_B0_GRA_11a55a34947b,30.0,,32.053626948833056,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B0_GRA_11a55a34947b
LPML_INV_B1_GRA_c93e41f4e12a,64.0,,0,TARGET_PHASE_NEAR_SUPPORT_EDGE_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_c93e41f4e12a
LPML_INV_B0_GRA_d8be8fb2d5c2,50.0,,12.053626948833056,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B0_GRA_d8be8fb2d5c2
LPML_INV_B0_GRA_b35c40045a44,10.0,,52.053626948833056,TARGET_PHASE_OUTSIDE_OBSERVED_SUPPORT_NOT_SURROGATE_PHYSICS,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B0_GRA_b35c40045a44
LPML_INV_B1_GRA_cce98cac89b3,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_cce98cac89b3
LPML_INV_B1_GRA_42180fcb8b13,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_42180fcb8b13
LPML_INV_B1_GRA_da66da99f31e,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_da66da99f31e
LPML_INV_B1_GRA_a1be6f032972,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_a1be6f032972
LPML_INV_B1_GRA_c89f98bf4d71,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_c89f98bf4d71
LPML_INV_B1_GRA_5f641e5192fa,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_5f641e5192fa
LPML_INV_B1_GRA_08a039ada4b2,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_08a039ada4b2
LPML_INV_B1_GRA_2462190d41fc,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_2462190d41fc
LPML_INV_B1_GRA_1fe0580f4c19,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_1fe0580f4c19
LPML_INV_B1_GRA_a103f2907a2e,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_a103f2907a2e
LPML_INV_B1_GRA_d80d8ae254c8,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_d80d8ae254c8
LPML_INV_B1_GRA_fe99dbffafea,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_fe99dbffafea
LPML_INV_B1_GRA_01e30720d52a,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_01e30720d52a
LPML_INV_B1_GRA_c4219b9eaa04,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_c4219b9eaa04
LPML_INV_B1_GRA_46b8608c87a2,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_46b8608c87a2
LPML_INV_B1_GRA_78e4d56686f5,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_78e4d56686f5
LPML_INV_B1_GRA_a19788b2d54b,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_a19788b2d54b
LPML_INV_B1_GRA_e32d486e139b,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_e32d486e139b
LPML_INV_B1_GRA_f7c8f0614272,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_f7c8f0614272
LPML_INV_B1_GRA_2adddbd97865,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_2adddbd97865
LPML_INV_B1_GRA_1aa0cc319961,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_1aa0cc319961
LPML_INV_B1_GRA_f5543d3ab04e,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_f5543d3ab04e
LPML_INV_B1_GRA_68ef2ee40411,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_68ef2ee40411
LPML_INV_B1_GRA_da61c6c6269c,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_da61c6c6269c
LPML_INV_B1_GRA_5ae2182b0922,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_5ae2182b0922
LPML_INV_B1_GRA_2859d3998e28,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_2859d3998e28
LPML_INV_B1_GRA_97168f157ab8,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_97168f157ab8
LPML_INV_B1_GRA_0f86968c9bf7,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_0f86968c9bf7
LPML_INV_B1_GRA_0ebc847066aa,70.0,,0,TARGET_PHASE_ONLY_NOT_PREDICTED,,UNAVAILABLE,NONE_SURROGATE_ONLY,LPML_INV_B1_GRA_0ebc847066aa
