candidate_id,target_bin,target_phase_deg,phi_offset_deg,source,trace_id,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,direct_gap_nm,periodic_gap_nm,manufacturing_pass,continuous_loss,quantized_loss,phase_error_deg,projector_shape_error,sigma2_over_sigma1,combined_leakage,Txx_center,spectral_instability,ensemble_dispersion,C0_blend_disagreement,risk_class,physics_origin,hash_status,geometry_family,exact_surrogate_hash,canonical_surrogate_hash,symmetry_surrogate_hash,throughput_penalty,novelty_penalty,calibrated_risk_score,calibrated_error_estimate,calibrated_upper_error_bound,calibrated_risk_class,old_risk_class,risk_model_label
LPML_INV_B1_GRA_8024c3d4f4a9,1,62.0,2.0,GRADIENT_FINE,GF_O02_B1_S6,108.0,106.0,99.0,201.0,0.8,94.0,124.0,True,0.0,3.3911967277526855,0.13924023641987995,0.6041285395622253,0.7643449902534485,0.5830156803131104,0.9864439964294434,0.31269049644470215,2.0284314155578613,0.0009682204690761864,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L106_W99_P8,8024c3d4f4a9e7244b96bda5b8b2eaeb55ec2c58e02a4003a4f01c580bbb5de6,450c8cc11a0106be8d3b1ba8aab643d04d6ad78199c5537b5f56625429423d50,d05ab9c52819c789e360252f345d921e24ad05b02a824d7cbe4e26a2a6d8cb61,0.01355600357055664,0.0,0.05343970077508885,0.05343970077508885,0.08184571091817644,CALIBRATED_MODERATE_RISK,MODEL_DISAGREEMENT_HIGH_RISK,MONOTONE_BOUNDED_LINEAR_NOT_PROBABILITY
LPML_INV_B1_GRA_67c8ac15f947,1,63.0,3.0,GRADIENT_FINE,GF_O03_B1_S13,108.0,106.0,100.0,201.0,0.8,94.0,124.0,True,0.0,3.3383970260620117,0.36775787548099653,0.6064358353614807,0.7691009640693665,0.5908889770507812,0.9864221215248108,0.32212620973587036,2.1462061405181885,0.0006987234228290617,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L106_W100_P8,67c8ac15f9479db57522566e0912f722f33d8abda38aa78701d0361e765c86b9,4435539d2492122d0e008da55517bc3c7161678fb3cb183d4cf97aa1982e4381,aadc8164e6e812da4a3594ebbeb28fdfa5184adc94864e7d94fcbf85be8a6393,0.013577878475189209,0.0,0.05268101792171387,0.05268101792171387,0.08108702806480145,CALIBRATED_LOW_RISK,MODEL_DISAGREEMENT_HIGH_RISK,MONOTONE_BOUNDED_LINEAR_NOT_PROBABILITY
LPML_INV_B0_GRA_25833c0adf80,0,55.0,55.0,GRADIENT_MULTISTART,G_O55_B0_S119,108.0,106.0,99.0,201.0,0.7,94.0,124.0,True,0.0,5.88117790222168,7.04092441156974,0.6049243211746216,0.7660261988639832,0.5850144624710083,0.9864858984947205,0.3105730414390564,2.051367998123169,0.001098337466828525,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L106_W99_P7,25833c0adf80b81fb632d01de28f1511d579c64243fe873f1e8dff01f25527b2,3c1606c6b7680a43cb020d8be936e26a9da0d344493341c2d7051e1f30eb9442,b549bedc7ec9462c0aebb50458b9a409ff0ddf2fe38390ae61655928234f0d73,0.013514101505279541,0.0,0.05435449192316304,0.05435449192316304,0.08276050206625063,CALIBRATED_MODERATE_RISK,MODEL_DISAGREEMENT_HIGH_RISK,MONOTONE_BOUNDED_LINEAR_NOT_PROBABILITY
LPML_INV_B1_GRA_7e4aba91db0d,1,62.0,2.0,GRADIENT_FINE,GF_O02_B1_S10,108.0,106.0,100.0,201.0,0.9,94.0,124.0,True,0.0,3.481631278991699,0.9410772309444027,0.6044649481773376,0.7649605870246887,0.5843647718429565,0.9847120046615601,0.32207489013671875,2.1085283756256104,0.0005858453805558383,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L106_W100_P9,7e4aba91db0d39102478f82ceef26fdbd5f2ccc91e885a5d7595056524c431a8,52f3e4e923641784a79748e578bffad8954b8e88ac93e750d1ab205ff83e9793,870f8a404c3b1db1df546dbe22045f6987aae832272b760521e68709eb5f4d8f,0.015287995338439941,0.0,0.05268101792171387,0.05268101792171387,0.08108702806480145,CALIBRATED_LOW_RISK,MODEL_DISAGREEMENT_HIGH_RISK,MONOTONE_BOUNDED_LINEAR_NOT_PROBABILITY
LPML_INV_B1_GRA_7f68cfa20169,1,63.0,3.0,GRADIENT_FINE,GF_O03_B1_S57,108.0,106.0,100.0,201.0,0.7,94.0,124.0,True,0.0,3.45998477935791,0.521225395942013,0.6072652339935303,0.7708756327629089,0.5933511853218079,0.9870752692222595,0.3209097683429718,2.1712608337402344,0.0008216688875108957,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L106_W100_P7,7f68cfa20169263cf36b9d7eae15c0f0c76d0d79d0ed725ae10067ae39c69cdc,04663d462946dafccf367fa15cc443fc3f3695ba013147f29f4c4b4780ff196f,0f8b0785b1af1a60f0f47321fa94131aae9bca213b969d88576d87888c116826,0.012924730777740479,0.0,0.05268101792171387,0.05268101792171387,0.08108702806480145,CALIBRATED_LOW_RISK,MODEL_DISAGREEMENT_HIGH_RISK,MONOTONE_BOUNDED_LINEAR_NOT_PROBABILITY
LPML_INV_B1_GRA_a9f137714054,1,62.0,2.0,GRADIENT_FINE,GF_O02_B1_S17,108.0,107.0,99.0,201.0,0.7,93.5,123.5,True,0.0,3.524595022201538,0.7341428829388206,0.6121890544891357,0.7810710072517395,0.6116634011268616,0.9947323203086853,0.3177200257778168,1.8965518474578857,0.0009247387060895562,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L107_W99_P7,a9f137714054cd5dee4267a30534dcd4078fcf5742ad6a8b3e071df1cd85591b,6ba327c92c5d927084d23e38fd1eb02880fcbe42a4827d2ba7eaf76de8ec7118,325fdd0cb2e2b42075ce6696c1284c8596e8c09924bab43e608bd0849bdbe581,0.005267679691314697,0.0,0.056029174341880185,0.056029174341880185,0.08443518448496777,CALIBRATED_MODERATE_RISK,MODEL_DISAGREEMENT_HIGH_RISK,MONOTONE_BOUNDED_LINEAR_NOT_PROBABILITY
LPML_INV_B1_GRA_0953f205f538,1,63.0,3.0,GRADIENT_FINE,GF_O03_B1_S21,108.0,107.0,100.0,201.0,0.8,93.5,123.5,True,0.0,3.289757490158081,0.3563036482428852,0.6147819757461548,0.786321759223938,0.6202042102813721,0.9932372570037842,0.32781100273132324,1.9985872507095337,0.0006625194218941033,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L107_W100_P8,0953f205f5383430096a4f629a3a7165b1d3260dee242f38f268a10a8ed3ea59,b841766dff70e5687947d1b3d4c6f1b3c59957e51c1b48c865474b7c542984d1,5ea20eaa77a4868ad4e178ab07a477af49e970c76b225d50e644ada95fa906bd,0.00676274299621582,0.0,0.05557619122466527,0.05557619122466527,0.08398220136775286,CALIBRATED_MODERATE_RISK,MODEL_DISAGREEMENT_HIGH_RISK,MONOTONE_BOUNDED_LINEAR_NOT_PROBABILITY
LPML_INV_B1_GRA_31c73c461d0b,1,62.0,2.0,GRADIENT_FINE,GF_O02_B1_S62,108.0,106.0,99.0,202.0,0.8,95.0,123.0,True,0.0,3.457385540008545,0.43515818221068236,0.5965879559516907,0.7493463158607483,0.5586971640586853,0.9811989665031433,0.30046191811561584,1.9582916498184204,0.0008818241185508668,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L106_W99_P8,31c73c461d0bf0fa11d34af7d7a2fedcb37359b897921dfd00c4030520b58c7f,ca073d71dba20fcd940b0dbef09b1dab63c60fa36478c69d91a26e96ebbed54e,1e07a1e1f4b6edb279c4964241e05064babc15282f5866a6d11c7b6289d03c46,0.01880103349685669,0.0,0.04713336876488111,0.04713336876488111,0.07553937890796869,CALIBRATED_LOW_RISK,MODEL_DISAGREEMENT_HIGH_RISK,MONOTONE_BOUNDED_LINEAR_NOT_PROBABILITY
LPML_INV_B1_GRA_38dc2b66e01b,1,60.0,0.0,GRADIENT_MULTISTART,G_O00_B1_S121,108.0,106.0,100.0,201.0,0.6,94.0,124.0,True,0.0,4.177800178527832,2.461320139116625,0.6071683764457703,0.7707072496414185,0.5924737453460693,0.9868423342704773,0.3182324767112732,2.1836180686950684,0.0008890620665624738,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L106_W100_P6,38dc2b66e01b127d883543fc5e29f84f00147f2b87f0f558cd5f5499cd97e96f,5dc2f9db7467f58ebd46f17f61e652c7ce604b41032e4c26c72c53cbecbaa493,cef60e7f59935e1e73ba1ca4a2ca18163c10f924628ede812cfd9aff3d607f09,0.013157665729522705,0.0,0.05288317543892125,0.05288317543892125,0.08128918558200884,CALIBRATED_LOW_RISK,MODEL_DISAGREEMENT_HIGH_RISK,MONOTONE_BOUNDED_LINEAR_NOT_PROBABILITY
LPML_INV_B1_GRA_fed9329d9633,1,63.0,3.0,GRADIENT_FINE,GF_O03_B1_S30,108.0,107.0,99.0,201.0,0.8,93.5,123.5,True,0.0,3.255624294281006,0.14614555767076284,0.6116836071014404,0.77992182970047,0.6099393963813782,0.9936459064483643,0.31866559386253357,1.870116949081421,0.0007953422027640045,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L107_W99_P8,fed9329d9633963ec2f4b90e3c1bdb31cb3d97ab047a657badb64ebbe359a925,796ed3788301d7262fd8df8869e081f709251f716ef80fd405770f77351899a5,25905b59a5e37a6cf44bf5e1839de0b3f6e3059b9283038aa053b370706c686c,0.006354093551635742,0.0,0.05557619122466527,0.05557619122466527,0.08398220136775286,CALIBRATED_MODERATE_RISK,MODEL_DISAGREEMENT_HIGH_RISK,MONOTONE_BOUNDED_LINEAR_NOT_PROBABILITY
