candidate_id,target_bin,selection_role,geometry_family,calibrated_risk_class,exact_geometry_hash_sha256,physics_origin,physics_label,x_y_provenance,material,reference_plane,normalization,wavelength_nm,phase_deg,Txx,Tyy,leakage,cross_power,sigma_ratio,projection_error,frobenius
LPML_INV_B0_GRA_9e075ededc76,0,BEST_TUPLE_RELEVANT,J1108_L106_W99_P10,CALIBRATED_LOW_RISK,0902ce9b8d170da7e500861cb8b08d16da8a492a4a4f22df946b3bef14be5986,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,73.25366758000177,0.9811273184094095,0.3476161670458698,0.3477349599734185,0.0001187929275487595,0.5952156755868134,0.2616787048817415,1.1527628890551724
LPML_INV_B0_GRA_71b7770452e7,0,BEST_SINGLE_BIN_PARETO,J1108_L106_W100_P9,CALIBRATED_LOW_RISK,ed29515a2156f2add6bf1d5c447cfef24144469cfbf9563f8e7f09d36b202645,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,73.68880799121814,0.9970156843984755,0.3463946103716949,0.34651874519075143,0.0001241348190565561,0.5894396662510785,0.25791579103536355,1.1591093259866505
LPML_INV_B0_DER_41bac671f444,0,BEST_SINGLE_BIN_PARETO,J1109_L107_W98_P-4,CALIBRATED_LOW_RISK,3832835c9ac242c7be6061f77573cd7bf84c03dce3d759b8e43782a5d4742f49,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,77.20680595928354,0.9960478476418151,0.17770268231905278,0.1777192222755983,1.6539956545525634e-05,0.4223687305475845,0.15140927602279974,1.0834053119296645
LPML_INV_B0_DER_483c7b8e72d1,0,BEST_SINGLE_BIN_PARETO,J1109_L108_W100_P-10,CALIBRATED_LOW_RISK,10a558a82c90303ee68232d74efea112099ea09d8cbf4775b9e6858f400c53b6,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,82.520743173038,0.9843160945566536,0.1786020629436821,0.17863799453958912,3.593159590700532e-05,0.4259221271230886,0.1536070909543924,1.0784034908587057
LPML_INV_B0_GRA_590ad651d09c,0,DIVERSITY_BACKUP,J1108_L106_W99_P7,CALIBRATED_LOW_RISK,7a42af636796bf65eefdbd91d7b60c6027cad9cfdf95a19ad93875bb8ac90ed7,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,73.24702083580365,0.9900690944592432,0.3245165965362693,0.32451782073022273,1.224193953425557e-06,0.5725132863329572,0.24685915931503954,1.1465543664342592
LPML_INV_B0_GRA_30168dbc66e4,0,LOWEST_CALIBRATED_RISK,J1108_L106_W99_P6,CALIBRATED_LOW_RISK,a72334b7266a983cf7e3ca51007373ea850ec8e30a12fc6a64afc3581f65ece9,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,73.19184201893708,0.9900480182396983,0.324371148698857,0.3243721009714371,9.522725800799485e-07,0.5723911603236471,0.24677962261115782,1.146481626198665
LPML_INV_B1_GRA_c4219b9eaa04,1,BEST_TUPLE_RELEVANT,J1110_L106_W100_P7,CALIBRATED_LOW_RISK,a56a50d1345eb2b4c6bfd6260c46e53afae0e3f675c1383ac0f17f09bdedd1eb,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,79.9632691957379,0.9853786642638644,0.07770366048281419,0.07771048318387812,6.822701063926728e-06,0.2808158821913236,0.07309874564183505,1.0310621452888968
LPML_INV_B1_GRA_012d91036d7d,1,BEST_SINGLE_BIN_PARETO,J1111_L107_W100_P7,CALIBRATED_LOW_RISK,d42fb192a27114c75946a779e95b84a9635741970c164d331424ae50ca7f9735,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,85.4534320341067,0.9833945523251408,0.01598215431628043,0.016183374752575308,0.00020122043629487805,0.1274765952242073,0.016190208201062983,0.9997889412659635
LPML_INV_B1_GRA_c89f98bf4d71,1,BEST_SINGLE_BIN_PARETO,J1110_L106_W99_P7,CALIBRATED_LOW_RISK,f74a68a899a587d22645d7fb081303d8ce03d9355a859c0dde03a95015ab354c,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,79.05281393084374,0.9849339941322685,0.08260807616939922,0.08262512862142124,1.7052452022018644e-05,0.28960751932410433,0.07739630233152406,1.0332275270983104
LPML_INV_B1_GRA_464431e7fc00,1,BEST_SINGLE_BIN_PARETO,J1108_L106_W99_P9,CALIBRATED_LOW_RISK,d48560963cabb14e3fdcf354be1d2b6ecc4fa8e890bc57af25d0cef867f61003,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,FORMAL_WEIGHTED_G0_450NM,ACCEPTED_ACCEPTED,APCD_TIO2_NATIVE_M1,field_monitor_z_1000nm,"sqrt(T)/norm(weighted Ex,Ey)",450.0,73.22789957209142,0.9799326374510741,0.34838190771725386,0.34852242380838,0.00014051609112614177,0.5962387879825612,0.26235168503024875,1.1525862489460188
