candidate_id,category,target_bin,wavelength_nm,relative_error,absolute_error,seed_dispersion,raw_disagreement,features,primary_failure_class
LPML_R3_010,B1_TARGETED_ACTIVE_LEARNING,1,453.0,0.1055225321891493,0.1147637405722845,0.30942163065468425,0.001961783474826538,"[0.33279083143135635, 0.0017886119505830958, 0.0, 0.3535533905932738, 39.28556538553965, 4.67642068862915, 0.5253393674533732, 0.011695906432748537]",DATA_COVERAGE_GAP
LPML_R3_010,B1_TARGETED_ACTIVE_LEARNING,1,453.5,0.09788752263953787,0.10958534020629952,0.2947400294169034,0.0017330614436974596,"[0.33279083143135635, 0.0017886119505830958, 0.0, 0.3535533905932738, 39.28556538553965, 4.67642068862915, 0.5253393674533732, 0.011695906432748537]",DATA_COVERAGE_GAP
LPML_R3_019,B2_TARGETED_ACTIVE_LEARNING,2,451.5,0.13710555453871162,0.1389795213079566,0.30629596660256064,0.0019536556644557776,"[0.30095609660196004, 0.0018096934902734425, 0.0, 0.2517242193812129, 36.62790682283227, 27.923383712768555, 0.5219178865119424, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_019,B2_TARGETED_ACTIVE_LEARNING,2,452.0,0.13231489436686722,0.13794571796950858,0.3008888350731637,0.002218214064529088,"[0.30095609660196004, 0.0018096934902734425, 0.0, 0.2517242193812129, 36.62790682283227, 27.923383712768555, 0.5219178865119424, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_019,B2_TARGETED_ACTIVE_LEARNING,2,452.5,0.1247038749224136,0.13338211793346566,0.29618208701604265,0.0022277785400872355,"[0.30095609660196004, 0.0018096934902734425, 0.0, 0.2517242193812129, 36.62790682283227, 27.923383712768555, 0.5219178865119424, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_019,B2_TARGETED_ACTIVE_LEARNING,2,453.0,0.12856336038102711,0.13999656104503208,0.288396500335696,0.0020482111302900854,"[0.30095609660196004, 0.0018096934902734425, 0.0, 0.2517242193812129, 36.62790682283227, 27.923383712768555, 0.5219178865119424, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_019,B2_TARGETED_ACTIVE_LEARNING,2,453.5,0.11603164527711719,0.12885143515024539,0.2769388205316812,0.0017720044704701882,"[0.30095609660196004, 0.0018096934902734425, 0.0, 0.2517242193812129, 36.62790682283227, 27.923383712768555, 0.5219178865119424, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_020,B2_TARGETED_ACTIVE_LEARNING,2,450.0,0.11402710315383639,0.11151710197182776,0.3048209762886538,0.005191009162181643,"[0.3087220392952992, 0.002457760955246648, 0.0, 0.25, 191.72704051321037, 16.391515731811523, 0.5495727178242352, 0.011627906976744186]",ENSEMBLE_SHARED_BIAS
LPML_R3_021,B2_TARGETED_ACTIVE_LEARNING,2,453.5,0.11720897575151783,0.13099972290730225,0.302082211871193,0.001766996691593892,"[0.33230341561420307, 0.0020462904650175107, 0.0, 0.28558758192707023, 64.71396118137216, 18.1260986328125, 0.525523426051059, 0.011764705882352941]",DATA_COVERAGE_GAP
LPML_R3_021,B2_TARGETED_ACTIVE_LEARNING,2,454.0,0.09279934884955361,0.10562592374327236,0.2849526612149219,0.0015269151343749309,"[0.33230341561420307, 0.0020462904650175107, 0.0, 0.28558758192707023, 64.71396118137216, 18.1260986328125, 0.525523426051059, 0.011764705882352941]",DATA_COVERAGE_GAP
LPML_R3_022,B2_TARGETED_ACTIVE_LEARNING,2,453.0,0.09775474607746053,0.10685872594730278,0.3054190252122658,0.0018997030123312835,"[0.32520631582995363, 0.0016576186440934618, 0.0, 0.32542706982944397, 50.98622610567444, 26.301136016845703, 0.5230171141977026, 0.011695906432748537]",DATA_COVERAGE_GAP
LPML_R3_023,B2_TARGETED_ACTIVE_LEARNING,2,452.5,0.10856195855370379,0.11417935247002695,0.31113439449669544,0.0025413195705644076,"[0.3217880422832128, 0.0021796236964455487, 0.0, 0.3547767733240854, 533.054248004752, 26.28540802001953, 0.5436188650527429, 0.011494252873563218]",DATA_COVERAGE_GAP
LPML_R3_023,B2_TARGETED_ACTIVE_LEARNING,2,453.0,0.0979080357030644,0.10610869489468913,0.2859419489389952,0.0023332625778587435,"[0.3217880422832128, 0.0021796236964455487, 0.0, 0.3547767733240854, 533.054248004752, 26.28540802001953, 0.5436188650527429, 0.011494252873563218]",DATA_COVERAGE_GAP
LPML_R3_023,B2_TARGETED_ACTIVE_LEARNING,2,453.5,0.09770998347339803,0.10892117228857513,0.2610143011627925,0.0020402890347851746,"[0.3217880422832128, 0.0021796236964455487, 0.0, 0.3547767733240854, 533.054248004752, 26.28540802001953, 0.5436188650527429, 0.011494252873563218]",DATA_COVERAGE_GAP
LPML_R3_030,B3_TARGETED_ACTIVE_LEARNING,3,450.0,0.14516543002953042,0.1424422573538565,0.28336294363986453,0.005554901180668326,"[0.2652249120083084, 0.0035283091153530447, 0.0, 0.1700474512535079, 146.63801646891042, 47.24140548706055, 0.5854632198921411, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_030,B3_TARGETED_ACTIVE_LEARNING,3,450.5,0.11038312849898145,0.10957338016913,0.28068944148138864,0.004448112808652152,"[0.2652249120083084, 0.0035283091153530447, 0.0, 0.1700474512535079, 146.63801646891042, 47.24140548706055, 0.5854632198921411, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_030,B3_TARGETED_ACTIVE_LEARNING,3,452.0,0.10384182155631161,0.1081630620624746,0.2555499056631694,0.0032677593350674003,"[0.2652249120083084, 0.0035283091153530447, 0.0, 0.1700474512535079, 146.63801646891042, 47.24140548706055, 0.5854632198921411, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_030,B3_TARGETED_ACTIVE_LEARNING,3,453.0,0.10044088275473818,0.10991520522239634,0.25418713088003203,0.002932941932057268,"[0.2652249120083084, 0.0035283091153530447, 0.0, 0.1700474512535079, 146.63801646891042, 47.24140548706055, 0.5854632198921411, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_030,B3_TARGETED_ACTIVE_LEARNING,3,453.5,0.09632063387405207,0.10744543412145083,0.25912844159408066,0.0027220570217021205,"[0.2652249120083084, 0.0035283091153530447, 0.0, 0.1700474512535079, 146.63801646891042, 47.24140548706055, 0.5854632198921411, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_032,B3_TARGETED_ACTIVE_LEARNING,3,450.0,0.12752184342216902,0.12497264809021061,0.28286755188318036,0.005610180233233224,"[0.28786146435881, 0.002782909283079438, 0.0, 0.25, 7.484733577419755, 49.14388656616211, 0.5605071735481599, 0.011494252873563218]",ENSEMBLE_SHARED_BIAS
LPML_R3_035,B3_TARGETED_ACTIVE_LEARNING,3,450.0,0.11414062052397436,0.1116147488393239,0.29145878164658195,0.004863729204652187,"[0.2935304076177375, 0.0023293754213326405, 0.0, 0.2517242193812129, 11.639323551807308, 47.37791442871094, 0.5526264870453648, 0.011494252873563218]",ENSEMBLE_SHARED_BIAS
LPML_R3_063,TUPLE_NEIGHBOR_CONTROL,2,450.0,0.10907519546911928,0.1076514587124599,0.309569003944149,0.002783185508246845,"[0.27032419223909554, 0.002333004156326802, 0.0, 0.2517242193812129, 242.28717085247266, 26.672710418701172, 0.550200898567832, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_063,TUPLE_NEIGHBOR_CONTROL,2,451.5,0.1139716410622625,0.11647311134389708,0.27531479376626183,0.0023588539912186594,"[0.27032419223909554, 0.002333004156326802, 0.0, 0.2517242193812129, 242.28717085247266, 26.672710418701172, 0.550200898567832, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_063,TUPLE_NEIGHBOR_CONTROL,2,452.0,0.11423964064853848,0.1188442909589259,0.2627489403454403,0.002567149040252026,"[0.27032419223909554, 0.002333004156326802, 0.0, 0.2517242193812129, 242.28717085247266, 26.672710418701172, 0.550200898567832, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_063,TUPLE_NEIGHBOR_CONTROL,2,452.5,0.10807694229940933,0.11475071003816724,0.25352042432162314,0.0025827332544327295,"[0.27032419223909554, 0.002333004156326802, 0.0, 0.2517242193812129, 242.28717085247266, 26.672710418701172, 0.550200898567832, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_063,TUPLE_NEIGHBOR_CONTROL,2,453.0,0.10911956544554641,0.11889569869567941,0.2487301673554452,0.0024225060037502797,"[0.27032419223909554, 0.002333004156326802, 0.0, 0.2517242193812129, 242.28717085247266, 26.672710418701172, 0.550200898567832, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
LPML_R3_063,TUPLE_NEIGHBOR_CONTROL,2,453.5,0.09952277670289958,0.11069398736386143,0.24698928430421566,0.0021599242663152248,"[0.27032419223909554, 0.002333004156326802, 0.0, 0.2517242193812129, 242.28717085247266, 26.672710418701172, 0.550200898567832, 0.011764705882352941]",ENSEMBLE_SHARED_BIAS
