candidate_id,wavelength_nm,model,raw_mae,raw_rmse,frobenius,phase_error_deg,Txx_error,Tyy_error,leakage_error,sigma_error,projection_error
LPML_R3_001,450.0,C0,0.007887702874806503,0.011072566646549447,0.03131794784366042,0.2926528978670006,0.004522187106653752,0.023209138352542624,0.023334409074754536,0.017643982814476877,0.011449460033009173
LPML_R3_001,450.0,selected_blend,0.007903270440958234,0.011042122088259294,0.03123183762919163,0.2716184723779947,0.004900898140194787,0.023289483880235884,0.023416274043566165,0.017591147363167803,0.011417882836278648
LPML_R3_001,450.0,C1,0.00830680339494909,0.011054391236760585,0.03126654002161022,0.12958456809681707,0.012032654568950085,0.024801708723204974,0.024931563245564614,0.016612383095127692,0.010804879636453268
LPML_R3_001,450.0,C2,0.08722113523555222,0.11477929793047614,0.32464487962588295,2.0186368975328577,0.09580241377529908,0.2678630903681959,0.240525562318742,0.27125213519021085,0.13961347484802522
LPML_R3_001,450.0,C3,0.036780403613983714,0.04255427500462738,0.12036166569699687,4.332737863364799,0.019736355421757,0.04253853789609996,0.03824208380145927,0.031144516877954165,0.01656401291407006
LPML_R3_001,450.0,C4,0.009052905390850062,0.011183008687500223,0.031630325107997924,0.30657465237136705,0.011176509443056037,0.028472845581057837,0.028597921502331813,0.019954942802647646,0.012971973211783894
LPML_R3_001,450.5,C0,0.005323203932202341,0.007013742797737251,0.019837860375113273,0.07104021473816147,0.011255414637519556,0.018520526172137508,0.01857304451115327,0.01055357112485189,0.006773500924160625
LPML_R3_001,450.5,selected_blend,0.005330371361632751,0.007036072507788881,0.01990101833271102,0.09818908025665962,0.011575525833817157,0.018691258972906577,0.018745012090161828,0.010578260692094,0.006791672383669289
LPML_R3_001,450.5,C1,0.007458933170396984,0.008755384372349365,0.02476396664633184,0.6156529542626856,0.017562342824300803,0.021881745723226487,0.02193610749156716,0.011058637870312693,0.007121215983171281
LPML_R3_001,450.5,C2,0.09861453388530529,0.13957847092490608,0.3947875331946018,6.42359036191155,0.07667131544603256,0.34022715332798514,0.3201922062297614,0.3446354534306632,0.19279475544963998
LPML_R3_001,450.5,C3,0.032824778153738236,0.0362707312967123,0.10258912023400163,2.02859023285437,0.007456155325374025,0.03171711540015115,0.02769644564507079,0.02982398409880982,0.015265448545933702
LPML_R3_001,450.5,C4,0.007644624667278175,0.008870973262762729,0.025090901399296317,0.753044683000553,0.015559349323003402,0.020432000461375277,0.0204810003186226,0.010582731478059992,0.006815324574451109
LPML_R3_001,451.0,C0,0.007363116504997319,0.008118040726676367,0.02296128659112571,0.8297014170101704,0.015059062757692643,0.006386355242440522,0.00659658378859318,0.0007051167181748585,0.00030470740089894033
LPML_R3_001,451.0,selected_blend,0.007589675971679694,0.008363810030104942,0.02365642715537307,0.8670785814540382,0.015242159921440734,0.006454474199659943,0.006665601805667387,0.0007219521173368326,0.00031364819931656296
LPML_R3_001,451.0,C1,0.011894204600970565,0.013353212539377853,0.037768588548877276,1.5784874230724597,0.01855739294782277,0.007680838233389553,0.007888530695889517,0.0010241989013782815,0.0004884884611950913
LPML_R3_001,451.0,C2,0.12348515564680858,0.1814660132089074,0.5132633939796242,15.255833862815718,0.02581672976327032,0.4085890916623128,0.3937617484077667,0.4247099730092068,0.24298006999480948
