candidate_id,checkpoint_pair,reconstruction,weighted_G0_Jones
LP_H500_D5_J2LM06_J1_side_nmM01,x/y,PASS,"[[{""real"": 0.12004153624870054, ""imag"": 0.9920787819429385}, {""real"": 5.744307442291534e-09, ""imag"": -5.720064328159191e-10}], [{""real"": -4.767568857698864e-09, ""imag"": 1.2716478433139053e-09}, {""real"": -0.34001303392262366, ""imag"": 0.32840582790785106}]]"
LP_H500_D5_J2LM06_J1_side_nmP01,x/y,PASS,"[[{""real"": -0.025164174801171214, ""imag"": 0.9829996658109645}, {""real"": -2.5716368002552318e-09, ""imag"": -3.801679282259431e-09}], [{""real"": -7.667176832373039e-09, ""imag"": -7.762958328334817e-10}, {""real"": -0.1693844702949837, ""imag"": 0.054007066394182554}]]"
LP_H500_D5_J2LM06_J2_length_nmM01,x/y,PASS,"[[{""real"": 0.07577141608278322, ""imag"": 0.9851669548759258}, {""real"": 4.487108323378439e-10, ""imag"": -1.5316448026034819e-09}], [{""real"": 1.086391897402258e-08, ""imag"": 5.048295485298625e-09}, {""real"": -0.2756207206081654, ""imag"": 0.17217884833103303}]]"
LP_H500_D5_J2LM06_J2_length_nmP01,x/y,PASS,"[[{""real"": 0.030002894369650968, ""imag"": 0.9935038258392045}, {""real"": 4.59060925430102e-09, ""imag"": -1.9075180076459706e-09}], [{""real"": -1.8281848774146375e-09, ""imag"": -4.668937101310227e-10}, {""real"": -0.2785666616293647, ""imag"": 0.1678522255836856}]]"
LP_H500_D5_J2LM06_J2_width_nmM01,x/y,PASS,"[[{""real"": 0.0642384633204839, ""imag"": 0.9865180413814385}, {""real"": -1.127770481479097e-09, ""imag"": -3.071287718536219e-09}], [{""real"": -9.882451832688507e-10, ""imag"": -2.1632985689653056e-09}, {""real"": -0.2791584076033856, ""imag"": 0.18488414762379132}]]"
LP_H500_D5_J2LM06_J2_width_nmP01,x/y,PASS,"[[{""real"": 0.04718776865108476, ""imag"": 0.9948276891481223}, {""real"": 5.426920252899313e-09, ""imag"": 3.1426216282334297e-09}], [{""real"": -4.109860197971464e-09, ""imag"": -5.723981621080642e-09}, {""real"": -0.27262341711074195, ""imag"": 0.1558337309333136}]]"
