candidate_id,target_bin,target_phase_deg,original_phi_offset_deg,phase_common_deg_provisional,abs_c_provisional,normalized_projector_overlap_q_provisional,projector_error_provisional,circular_phase_error_deg_provisional,raw_signed_difference_deg,wrapped_signed_difference_deg,jones_norm,physics_origin,phase_status
LPML_INV_B0_GRA_9e075ededc76,0,1.0,1.0,73.25366758000179,0.9905187117916598,0.859256245318158,0.2616787048817414,72.25366758000177,72.25366758000179,72.25366758000177,1.1527628890551724,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B0_GRA_71b7770452e7,0,1.0,1.0,73.68880799121814,0.9985067272675111,0.8614430967653269,0.25791579103536355,72.68880799121814,72.68880799121814,72.68880799121814,1.1591093259866505,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B0_DER_41bac671f444,0,0.0,0.0,77.20680595928351,0.998021967514651,0.9211898414426857,0.15140927602279963,77.20680595928354,77.20680595928351,77.20680595928354,1.0834053119296645,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B0_DER_483c7b8e72d1,0,0.0,0.0,82.52074317303797,0.9921270556519731,0.9199961462123674,0.1536070909543924,82.520743173038,82.52074317303797,82.520743173038,1.0784034908587057,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B0_GRA_590ad651d09c,0,55.0,55.0,73.24702083580367,0.9950221577730031,0.867836874467178,0.24685915931503943,18.247020835803653,18.247020835803667,18.247020835803653,1.1465543664342592,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B0_GRA_30168dbc66e4,0,3.0,3.0,73.19184201893708,0.9950115668873897,0.8678826979430124,0.24677962261115782,70.19184201893708,70.19184201893708,70.19184201893708,1.146481626198665,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B1_GRA_c4219b9eaa04,1,70.0,10.0,79.96326919573787,0.992662412033348,0.9627571107803696,0.07309874564183505,9.963269195737865,9.963269195737865,9.963269195737865,1.0310621452888968,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B1_GRA_012d91036d7d,1,75.0,15.0,85.4534320341067,0.9916625193709506,0.9918718625905955,0.016190208201062983,10.453432034106697,10.453432034106697,10.453432034106697,0.9997889412659635,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B1_GRA_c89f98bf4d71,1,70.0,10.0,79.05281393084377,0.9924384082310945,0.9605226169479175,0.07739630233152417,9.052813930843769,9.052813930843769,9.052813930843769,1.0332275270983104,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B1_GRA_464431e7fc00,1,63.0,3.0,73.2278995720914,0.9899154698513778,0.858864549838769,0.26235168503024864,10.227899572091417,10.227899572091403,10.227899572091417,1.1525862489460188,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B1_DER_28e629198bb5,1,60.0,0.0,73.68021806835917,1.000047552506773,0.869041862807745,0.24476624068764452,13.680218068359181,13.680218068359167,13.680218068359181,1.150747271570748,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B1_GRA_78e4d56686f5,1,70.0,10.0,79.85158076462311,0.9937803792541804,0.9562401153016954,0.08560484188780026,9.851580764623122,9.851580764623108,9.851580764623122,1.0392581981782274,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B2_DER_887193d2b26e,2,120.0,0.0,88.95730368684863,0.9940061931199515,0.9939812514167625,0.012001271831966753,31.042696313151367,-31.042696313151367,-31.042696313151367,1.0000250927300223,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B2_DER_efda342ea028,2,120.0,0.0,90.51246107778405,0.9941937028706453,0.9948119059578117,0.01034927176458611,29.487538922215947,-29.487538922215947,-29.487538922215947,0.9993785728905495,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
LPML_INV_B2_DER_1c4c70e363d7,2,120.0,0.0,93.3913441683924,0.986890049385075,0.9999565519665401,8.689417918816833e-05,26.60865583160762,-26.608655831607607,-26.60865583160762,0.9869329296800263,PROSPECTIVE_SINGLE_DIMER_FDTD_PHYSICS,PROVISIONAL_PENDING_NUMERICAL_P_APCD
