candidate_id,checkpoint_reload,derived_metrics_recalculation,jones_reconstruction_frobenius_error,status,x_y_pairing
LP_H500_D6_J2LM06_D_M01,PASS,PASS,0.0,PASS,PASS
LP_H500_D6_J2LM06_D_P01,PASS,PASS,0.0,PASS,PASS
LP_H500_D6_J2LM06_PSI_M01,PASS,PASS,0.0,PASS,PASS
LP_H500_D6_J2LM06_PSI_P01,PASS,PASS,0.0,PASS,PASS
