execution_order,phase,candidate_id,uW,uD,uPsi,J2_width_nm,D_nm,Psi_deg,J1_center_x_nm,J1_center_y_nm,J2_center_x_nm,J2_center_y_nm,direct_gap_nm,nearest_periodic_gap_nm,exact_geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_hash_sha256,center_grid_pass,manufacturing_pass,duplicate_count,duplicate_ids,gate_status
1,A_AXES,POSTD8_QMAP_WP_D0_P0,1,0,0,101.0,200.50249375007783,0.2857621168765344,-100.0,-0.5,100.5,0.5,92.50249375007783,123.49750624992217,2302014249d29fd1c2d171f8d233a8c8f80677e5e5a2dd71d67e1c8a5771a9cc,93912d312155b1911e4a49c7e3b138dfa3aa7ad178e905abc96e0b1029b21253,93912d312155b1911e4a49c7e3b138dfa3aa7ad178e905abc96e0b1029b21253,True,True,0,,GEOMETRY_LEGAL_UNRUN
2,A_AXES,POSTD8_QMAP_WM_D0_P0,-1,0,0,99.0,200.50249375007783,0.2857621168765344,-100.0,-0.5,100.5,0.5,92.50249375007783,123.49750624992217,391b7b3a9240c293cd747735dc12eda0ae9cd0e9795a336b155a675a19556371,dfcf561ff584993f6f924cad7f3b0f4b7b1a8a6f020defbffd6c12b5f2c6c232,dfcf561ff584993f6f924cad7f3b0f4b7b1a8a6f020defbffd6c12b5f2c6c232,True,True,1,D8_TRV_PLAN_2709798bc19d7b76,HARD_GATE_DATA_CONFLICT
3,A_AXES,POSTD8_QMAP_W0_DP_P0,0,1,0,100.0,201.0024875467963,0.2850512775838264,-100.0,-0.5,101.0,0.5,93.00248754679629,122.99751245320371,d8debb3bedbf759ce68f2b81dbc2de81ab4151a9a476e309b87c647813bb25ff,17ba5597092df5c0e8c7f00e34c4bdef9e78c38ecdf18d0a1cb301b56a341d1d,17ba5597092df5c0e8c7f00e34c4bdef9e78c38ecdf18d0a1cb301b56a341d1d,True,True,0,,GEOMETRY_LEGAL_UNRUN
4,A_AXES,POSTD8_QMAP_W0_DM_P0,0,-1,0,100.0,200.0024999843752,0.2864765102770745,-100.0,-0.5,100.0,0.5,92.00249998437519,123.99750001562481,0e78252368dfaf49b2c4b2e1d1d7186df285b493179b7266163546db472bea77,39c33bfb4bcaab9031f333588631d88e7b1ac5698d1fa8355e1897c7641a1da7,39c33bfb4bcaab9031f333588631d88e7b1ac5698d1fa8355e1897c7641a1da7,True,True,0,,GEOMETRY_LEGAL_UNRUN
5,A_AXES,POSTD8_QMAP_W0_D0_PP,0,0,1,100.0,200.50997481422215,0.571510017763747,-100.0,-0.5,100.5,1.5,92.50997481422215,123.49002518577785,3e78f56797eb55dd06d7d2b2fef7020143f007583b7cb7e7bd4265e174ae462e,1a9d1dc71e8d349ca7f52de82ba0795b8312074ef9eb2d9a3afe341a7c44cde7,1a9d1dc71e8d349ca7f52de82ba0795b8312074ef9eb2d9a3afe341a7c44cde7,True,True,0,,GEOMETRY_LEGAL_UNRUN
6,A_AXES,POSTD8_QMAP_W0_D0_PM,0,0,-1,100.0,200.5,0.0,-100.0,-0.5,100.5,-0.5,92.5,123.5,0f97f6d37fa19aa45602cb71b3f4c0cc5bebe9cd15c4a7694bedbce3825476ef,ff4759d72dfa0e6df76d7bbfa373af1e57be2234e980d79e64a2b8daac1f2e07,ff4759d72dfa0e6df76d7bbfa373af1e57be2234e980d79e64a2b8daac1f2e07,True,True,1,D8_TRV_PLAN_3f9495af463cc07b,HARD_GATE_DATA_CONFLICT
7,B_TWO_VARIABLE,POSTD8_QMAP_WP_DP_P0,1,1,0,101.0,201.0024875467963,0.2850512775838264,-100.0,-0.5,101.0,0.5,93.00248754679629,122.99751245320371,9674051a58db5521a437e7bd4f6874aba3694e5e6514148d1bdedd39be6f9e76,022054a70e62482f4b9ec5c43e831a7605fb7a2b6569d264143bd31d646a79de,022054a70e62482f4b9ec5c43e831a7605fb7a2b6569d264143bd31d646a79de,True,True,0,,GEOMETRY_LEGAL_UNRUN
8,B_TWO_VARIABLE,POSTD8_QMAP_WP_DM_P0,1,-1,0,101.0,200.0024999843752,0.2864765102770745,-100.0,-0.5,100.0,0.5,92.00249998437519,123.99750001562481,60f729c96c66b1e5ec4bd0eab21c2f266bf124887b56a4af9785d063764ef287,749f11cb1fbf5c3ceff95afe7fa1cc1e1a69492798da7f5aa1ffae986aa7cc78,749f11cb1fbf5c3ceff95afe7fa1cc1e1a69492798da7f5aa1ffae986aa7cc78,True,True,0,,GEOMETRY_LEGAL_UNRUN
9,B_TWO_VARIABLE,POSTD8_QMAP_WM_DP_P0,-1,1,0,99.0,201.0024875467963,0.2850512775838264,-100.0,-0.5,101.0,0.5,93.00248754679629,122.99751245320371,1ec10a8c0a6b915b5dc758c62aa164ef6cf8d8243e639396cce96f92be14b010,f7ebfc20677c165b096c0a30c9f9e931a09c71df82309d0ee87d8d126079ac6f,f7ebfc20677c165b096c0a30c9f9e931a09c71df82309d0ee87d8d126079ac6f,True,True,0,,GEOMETRY_LEGAL_UNRUN
10,B_TWO_VARIABLE,POSTD8_QMAP_WM_DM_P0,-1,-1,0,99.0,200.0024999843752,0.2864765102770745,-100.0,-0.5,100.0,0.5,92.00249998437519,123.99750001562481,2a3079a7c75410d6bc53b1037ac467cbd8bcfc165a024d1a54796f45cb406d48,f394593447ff5a18523d55e568aa6d4ff7fcb09cf9d642e8305e8076ef3f76ce,f394593447ff5a18523d55e568aa6d4ff7fcb09cf9d642e8305e8076ef3f76ce,True,True,0,,GEOMETRY_LEGAL_UNRUN
11,B_TWO_VARIABLE,POSTD8_QMAP_WP_D0_PP,1,0,1,101.0,200.50997481422215,0.571510017763747,-100.0,-0.5,100.5,1.5,92.50997481422215,123.49002518577785,73aab90907c5bd84b4956d4fc018bd80af87c96444c2db97eed98265392964ab,8f33e706bddf6c16cb15d83777bbc5d964110de85425eec00433e885ac2c9d28,8f33e706bddf6c16cb15d83777bbc5d964110de85425eec00433e885ac2c9d28,True,True,0,,GEOMETRY_LEGAL_UNRUN
12,B_TWO_VARIABLE,POSTD8_QMAP_WP_D0_PM,1,0,-1,101.0,200.5,0.0,-100.0,-0.5,100.5,-0.5,92.5,123.5,8e9e4f302dd107e7f7d51bfb77034a5fa373be18add40b63312871502bcaa79e,6a99c65d84b58aa3b642f936fe002d1e3e35169c0402e67a60950232cd679995,6a99c65d84b58aa3b642f936fe002d1e3e35169c0402e67a60950232cd679995,True,True,1,POSTD8_CAL_PROBE_WP_DM_PM,HARD_GATE_DATA_CONFLICT
13,B_TWO_VARIABLE,POSTD8_QMAP_WM_D0_PP,-1,0,1,99.0,200.50997481422215,0.571510017763747,-100.0,-0.5,100.5,1.5,92.50997481422215,123.49002518577785,66bac7c8971ba7c6ed4296ee1fded06d5f9d7a77eaab540e455496b5a522e265,10574e000b4ef5a264a17a8a96c257b1931674cde7636e9830fe4d41e7ebe832,10574e000b4ef5a264a17a8a96c257b1931674cde7636e9830fe4d41e7ebe832,True,True,1,POSTD8_CURV_MIRROR_WP_DM_PM,HARD_GATE_DATA_CONFLICT
14,B_TWO_VARIABLE,POSTD8_QMAP_WM_D0_PM,-1,0,-1,99.0,200.5,0.0,-100.0,-0.5,100.5,-0.5,92.5,123.5,50517e98d2ae0ae3fcc295185897392967144cd097b67c6ede024d552defcc71,a5eadc0468daa9bc89b5620c0a0c26fbbf92f0f67abc38901d30946ada1022f1,a5eadc0468daa9bc89b5620c0a0c26fbbf92f0f67abc38901d30946ada1022f1,True,True,1,D8_TRV_PLAN_2c6c4edac3638079,HARD_GATE_DATA_CONFLICT
15,B_TWO_VARIABLE,POSTD8_QMAP_W0_DP_PP,0,1,1,100.0,201.00995000248122,0.5700884449988864,-100.0,-0.5,101.0,1.5,93.00995000248122,122.99004999751878,b75bcbd43c37421def9cce6baf70635fc47500f4e8ebdbdbb66c5d4752239eb2,6fab5d0f57aeb23a7089ae9ea3e8f79298cbea4a424623b3ee0e2fd065d62473,6fab5d0f57aeb23a7089ae9ea3e8f79298cbea4a424623b3ee0e2fd065d62473,True,True,0,,GEOMETRY_LEGAL_UNRUN
