candidate_id,group,role,normalized_coordinate,candidate_status,excluded_reason
PDCB_PHASE_LOCAL_01,PHASE_LOCAL,PHASE_LOCAL_01,"[-1, 2, -1]",SELECTED_PROSPECTIVE,
PDCB_PHASE_LOCAL_02,PHASE_LOCAL,PHASE_LOCAL_02,"[1, 2, -1]",SELECTED_PROSPECTIVE,
PDCB_PHASE_LOCAL_03,PHASE_LOCAL,PHASE_LOCAL_03,"[0, 3, -1]",SELECTED_PROSPECTIVE,
PDCB_PHASE_LOCAL_04,PHASE_LOCAL,PHASE_LOCAL_04,"[0, 2, -2]",SELECTED_PROSPECTIVE,
PDCB_PHASE_LOCAL_05,PHASE_LOCAL,PHASE_LOCAL_05,"[-1, 2, 0]",SELECTED_PROSPECTIVE,
PDCB_PHASE_LOCAL_06,PHASE_LOCAL,PHASE_LOCAL_06,"[0, 3, 0]",SELECTED_PROSPECTIVE,
PDCB_PROJECTOR_LOCAL_07,PROJECTOR_LOCAL,PROJECTOR_LOCAL_01,"[3, 1, 1]",SELECTED_PROSPECTIVE,
PDCB_PROJECTOR_LOCAL_08,PROJECTOR_LOCAL,PROJECTOR_LOCAL_02,"[2, 2, 2]",SELECTED_PROSPECTIVE,
PDCB_PROJECTOR_LOCAL_09,PROJECTOR_LOCAL,PROJECTOR_LOCAL_03,"[2, 1, 2]",SELECTED_PROSPECTIVE,
PDCB_PROJECTOR_LOCAL_10,PROJECTOR_LOCAL,PROJECTOR_LOCAL_04,"[3, 2, 1]",SELECTED_PROSPECTIVE,
PDCB_PROJECTOR_LOCAL_11,PROJECTOR_LOCAL,PROJECTOR_LOCAL_05,"[3, 1, 0]",SELECTED_PROSPECTIVE,
PDCB_PROJECTOR_LOCAL_12,PROJECTOR_LOCAL,PROJECTOR_LOCAL_06,"[2, 0, 2]",SELECTED_PROSPECTIVE,
PDCB_BRIDGE_13,BRIDGE,BRIDGE_01,"[1, 2, 0]",SELECTED_PROSPECTIVE,
PDCB_BRIDGE_14,BRIDGE,BRIDGE_02,"[1, 2, 1]",SELECTED_PROSPECTIVE,
PDCB_BRIDGE_15,BRIDGE,BRIDGE_03,"[1, 1, 2]",SELECTED_PROSPECTIVE,
PDCB_BRIDGE_16,BRIDGE,BRIDGE_04,"[2, 1, 0]",SELECTED_PROSPECTIVE,
PDCB_BRIDGE_17,BRIDGE,BRIDGE_05,"[2, 2, 1]",SELECTED_PROSPECTIVE,
PDCB_BRIDGE_18,BRIDGE,BRIDGE_06,"[2, 2, 0]",SELECTED_PROSPECTIVE,
