planned_candidate_id,role,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,direct_gap_nm,periodic_gap_nm,center_grid_pass,quantization_pass,cell_containment_pass,no_overlap,primitive_valid,manufacturing_pass,formal_duplicate_pass,canonical_duplicate_pass,symmetry_duplicate_pass,r1_quarantine_hash_match,wavelength_nm,status
LP_5D_PHASE_REACHABILITY_V2_01,LOW_PHASE_EXTREME,108,106,98,201.02238681301145,0.8550973962667232,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_02,LOW_PHASE_EXTREME,108,106,99,201.02238681301145,0.8550973962667232,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_03,LOW_PHASE_EXTREME,108,106,100,201.02238681301145,0.8550973962667232,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_04,LOW_PHASE_EXTREME,108,106,101,201.02238681301145,0.8550973962667232,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_05,LOW_PHASE_EXTREME,108,106,102,201.02238681301145,0.8550973962667232,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_06,LOW_PHASE_EXTREME,108,107,98,201.02238681301145,0.8550973962667232,93.02238681301145,123.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_07,HIGH_PHASE_EXTREME,111,109,98,196.02295783912655,-0.8769077414306453,85.02295783912655,125.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_08,HIGH_PHASE_EXTREME,111,109,99,196.02295783912655,-0.8769077414306453,85.02295783912655,125.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_09,HIGH_PHASE_EXTREME,111,109,100,196.02295783912655,-0.8769077414306453,85.02295783912655,125.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_10,HIGH_PHASE_EXTREME,111,109,101,196.02295783912655,-0.8769077414306453,85.02295783912655,125.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_11,HIGH_PHASE_EXTREME,111,109,102,196.02295783912655,-0.8769077414306453,85.02295783912655,125.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_12,HIGH_PHASE_EXTREME,111,110,98,196.02295783912655,-0.8769077414306453,85.02295783912655,125.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_13,PHASE_PROJECTOR_TRADEOFF,109,107,98,199.01004999748125,-0.5758175932449805,90.01004999748125,124.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_14,PHASE_PROJECTOR_TRADEOFF,109,107,99,199.01004999748125,-0.5758175932449805,90.01004999748125,124.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_15,PHASE_PROJECTOR_TRADEOFF,109,107,100,199.01004999748125,-0.5758175932449805,90.01004999748125,124.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_16,PHASE_PROJECTOR_TRADEOFF,109,107,101,199.01004999748125,-0.5758175932449805,90.01004999748125,124.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_17,5D_BOUNDARY_SPARSE_REGION,108,106,98,196.01020381602586,-0.5846305207051778,88.01020381602586,128.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_18,5D_BOUNDARY_SPARSE_REGION,108,106,99,196.01020381602586,-0.5846305207051778,88.01020381602586,128.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_19,5D_BOUNDARY_SPARSE_REGION,108,106,100,196.01020381602586,-0.5846305207051778,88.01020381602586,128.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_20,5D_BOUNDARY_SPARSE_REGION,108,106,101,196.01020381602586,-0.5846305207051778,88.01020381602586,128.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_21,DISAGREEMENT_PHYSICS_CONTROL,109,107,99,198.0,0.0,89.0,125.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_22,DISAGREEMENT_PHYSICS_CONTROL,109,107,100,198.0,0.0,89.0,125.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_23,DISAGREEMENT_PHYSICS_CONTROL,109,107,101,198.0,0.0,89.0,125.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
LP_5D_PHASE_REACHABILITY_V2_24,DISAGREEMENT_PHYSICS_CONTROL,109,108,99,198.0,0.0,89.0,125.0,True,True,True,True,True,True,True,True,True,False,450.0,PLANNED_NOT_RUN
