raw_row,candidate_id,input_polarization,checkpoint_path,checkpoint_sha256,checkpoint_checksum_pass,checkpoint_valid,solver_status,solver_called,classification
1,LP_H500_D5_J2LM06_J1_side_nmM01,x,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J1_side_nmM01\LP_H500_D5_J2LM06_J1_side_nmM01_x_6a9df770\checkpoint.json,e1d9981d4e45988d324ebf0bb7fb0aa386d6c5d1a2ab55c4756da758ea80a97c,True,True,PASS,True,ACCEPTED_EARLIEST_CHECKPOINT
2,LP_H500_D5_J2LM06_J1_side_nmM01,y,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J1_side_nmM01\LP_H500_D5_J2LM06_J1_side_nmM01_y_7d5726aa\checkpoint.json,51ec21fbb439390dc2ed926a76edd5694315524c66a4489ee99635035b32c693,True,True,PASS,True,ACCEPTED_EARLIEST_CHECKPOINT
3,LP_H500_D5_J2LM06_J1_side_nmP01,x,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J1_side_nmP01\LP_H500_D5_J2LM06_J1_side_nmP01_x_c75d5578\checkpoint.json,37e7dd5496ff9a1b3c4ddf7907b0eafc41b18292520607576b0bd9069f758ced,True,True,PASS,True,ACCEPTED_EARLIEST_CHECKPOINT
4,LP_H500_D5_J2LM06_J1_side_nmP01,y,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J1_side_nmP01\LP_H500_D5_J2LM06_J1_side_nmP01_y_4462da68\checkpoint.json,f051578d2336c9aeeaee0181615b43b533c09825da9d7d558b0bd3a2852afafe,True,True,PASS,True,ACCEPTED_EARLIEST_CHECKPOINT
5,LP_H500_D5_J2LM06_J2_length_nmM01,x,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_length_nmM01\LP_H500_D5_J2LM06_J2_length_nmM01_x_33c40177\checkpoint.json,73d8eed912e9f38509485bb256f86e280f489e198b65f86cd7b3d1e3f1251d22,True,True,PASS,True,ACCEPTED_EARLIEST_CHECKPOINT
6,LP_H500_D5_J2LM06_J2_length_nmM01,y,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_length_nmM01\LP_H500_D5_J2LM06_J2_length_nmM01_y_3555ea71\checkpoint.json,31ebecd9546fab0f435c52afc61d24b591644f52f1313d5d9fa8432e5b02e10a,True,True,PASS,True,ACCEPTED_EARLIEST_CHECKPOINT
7,LP_H500_D5_J2LM06_J2_length_nmP01,x,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_length_nmP01\LP_H500_D5_J2LM06_J2_length_nmP01_x_af52d3c2\checkpoint.json,ed9e2fec53a30291fe1ebdaa4e4cfb1f2f0f7d1db28a369c2996a3971948af57,True,True,PASS,True,ACCEPTED_EARLIEST_CHECKPOINT
8,LP_H500_D5_J2LM06_J2_length_nmP01,y,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_length_nmP01\LP_H500_D5_J2LM06_J2_length_nmP01_y_cc75e418\checkpoint.json,81ffa1f0983446599fab5edde3a0589c681b28bf6b5cb9710798d4ba58c27b3a,True,True,PASS,True,ACCEPTED_EARLIEST_CHECKPOINT
9,LP_H500_D5_J2LM06_J2_width_nmM01,x,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_width_nmM01\LP_H500_D5_J2LM06_J2_width_nmM01_x_51fc2204\checkpoint.json,8d40a109e4042ba5e1b08f2f3b8264bb2fffd267ace0bc18e01222871ad37eca,True,True,PASS,True,ACCEPTED_EARLIEST_CHECKPOINT
10,LP_H500_D5_J2LM06_J2_width_nmM01,y,D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_b120_j2lm06_local_planar_size_jacobian_stage_d5_v1_attempt1\subruns\LP_H500_D5_J2LM06_J2_width_nmM01\LP_H500_D5_J2LM06_J2_width_nmM01_y_8f6f5831\checkpoint.json,79ff01685b715022f50d015aa799b1e00c12f3c8ab3e695a91a462fbc0045b78,True,True,PASS,True,ACCEPTED_EARLIEST_CHECKPOINT
