"wavelength_nm","metric","baseline","combined_plus","combined_minus","delta_plus","delta_minus","odd","even","abs_even_over_abs_odd"
"450","eta_x_plus1","0.00636296228633909","0.00507679281864344","0.00719756769050603","-0.00128616946769565","0.000834605404166943","-0.0010603874359313","-0.000225782031764352","0.212924091811836"
"450","eta_y_plus1","0.0103552701276635","0.00883673084403899","0.0142590317608653","-0.00151853928362447","0.00390376163320183","-0.00271115045841315","0.00119261117478868","0.439891180176965"
"450","eta_x_0","0.844530225526557","0.828389856934353","0.875530892488594","-0.0161403685922045","0.0310006669620366","-0.0235705177771205","0.00743014918491602","0.315230630704614"
"450","eta_x_minus1","0.00753257333007357","0.00713268053893093","0.0054234739698493","-0.000399892791142643","-0.00210909936022428","0.000854603284540817","-0.00125449607568346","1.46792798293246"
"450.5","eta_x_plus1","0.00544614482803695","0.00234132492347783","0.00835536523536698","-0.00310481990455912","0.00290922040733003","-0.00300702015594457","-9.77997486145427E-05","0.0325238088016146"
"450.5","eta_y_plus1","0.0114369814516245","0.0106117099309027","0.0156077457034065","-0.000825271520721742","0.00417076425178204","-0.00249801788625189","0.00167274636553015","0.669629458914721"
"450.5","eta_x_0","0.815391089355917","0.818556283081348","0.849192779827709","0.00316519372543078","0.0338016904717923","-0.0153182483731807","0.0184834420986115","1.20662895967743"
"450.5","eta_x_minus1","0.00972807069188633","0.00808106772700692","0.00709286784890901","-0.00164700296487941","-0.00263520284297732","0.000494099939048956","-0.00214110290392836","4.33333974509197"
"451","eta_x_plus1","0.00223384259995858","0.000263892463149814","0.00705511201149077","-0.00196995013680876","0.0048212694115322","-0.00339560977417048","0.00142565963736172","0.419853791270817"
"451","eta_y_plus1","0.0139106096706323","0.0124965509815391","0.017549432250503","-0.00141405868909322","0.00363882257987064","-0.00252644063448193","0.00111238194538871","0.440296094911732"
"451","eta_x_0","0.879544808136481","0.900988852417879","0.868412657346152","0.0214440442813982","-0.0111321507903289","0.0162880975358636","0.00515594674553466","0.316546897768886"
"451","eta_x_minus1","0.0028126033602344","0.00158390129358877","0.00322876203103771","-0.00122870206664563","0.00041615867080331","-0.000822430368724471","-0.000406271697921162","0.493989173273427"
"451.5","eta_x_plus1","0.0043166317738918","0.00327886210187992","0.00540098120628796","-0.00103776967201188","0.00108434943239617","-0.00106105955220402","2.32898801921441E-05","0.0219496447148198"
"451.5","eta_y_plus1","0.0157749833080186","0.0144976815637768","0.01938875067522","-0.00127730174424179","0.00361376736720137","-0.00244553455572158","0.00116823281147979","0.477700390185284"
"451.5","eta_x_0","0.803912186244168","0.801529820483436","0.805676874162083","-0.00238236576073181","0.00176468791791518","-0.00207352683932349","-0.000308838921408316","0.148943778084434"
"451.5","eta_x_minus1","0.0102433980202611","0.00888573589688609","0.0126002935278963","-0.00135766212337504","0.00235689550763514","-0.00185727881550509","0.000499616692130051","0.269004679296995"
"452","eta_x_plus1","0.0179444805985148","0.0167619810227868","0.0204084764638127","-0.001182499575728","0.00246399586529793","-0.00182324772051297","0.000640748144784969","0.351432302684956"
"452","eta_y_plus1","0.0171051574864449","0.0171095660648948","0.0213668482774345","4.40857844995549E-06","0.00426169079098966","-0.00212864110626985","0.00213304968471981","1.0020710764426"
"452","eta_x_0","0.517411032598819","0.52414384330574","0.515428443067484","0.00673281070692089","-0.00198258953133468","0.00435770011912778","0.00237511058779316","0.54503763977879"
"452","eta_x_minus1","0.0342791997567721","0.0304996740965118","0.0362060811349815","-0.00377952566026026","0.00192688137820943","-0.00285320351923485","-0.000926322141025414","0.324660380789741"
"452.5","eta_x_plus1","0.0417983957897054","0.0431849876669244","0.0410356945773723","0.00138659187721899","-0.000762701212333135","0.00107464654477606","0.000311945332442928","0.290277146434163"
"452.5","eta_y_plus1","0.0200782092242493","0.0201042236467021","0.0237781550798461","2.60144224528067E-05","0.00369994585559685","-0.00183696571657202","0.00186298013902483","1.01416162654432"
"452.5","eta_x_0","0.204235903352922","0.209621359871969","0.203136571430025","0.00538545651904668","-0.00109933192289688","0.00324239422097178","0.0021430622980749","0.660950566779817"
"452.5","eta_x_minus1","0.0614294780389533","0.0572092505131709","0.0612998484571765","-0.00422022752578247","-0.000129629581776862","-0.0020452989720028","-0.00217492855377967","1.06337928271187"
"453","eta_x_plus1","0.055542995912272","0.0611714630862506","0.0509421872796229","0.0056284671739786","-0.00460080863264911","0.00511463790331386","0.000513829270664748","0.100462492238567"
"453","eta_y_plus1","0.0239161192237793","0.0231290429395949","0.0244810289764016","-0.000787076284184431","0.000564909752622279","-0.000675993018403355","-0.000111083265781076","0.164326054791876"
"453","eta_x_0","0.150549820838273","0.157154943150774","0.143476800424839","0.00660512231250057","-0.00707302041343427","0.00683907136296742","-0.000233949050466864","0.0342077217871514"
"453","eta_x_minus1","0.0666228744771418","0.064083938719781","0.0642608862661694","-0.00253893575736081","-0.0023619882109724","-8.84737731942017E-05","-0.00245046198416661","27.6970439453034"
"453.5","eta_x_plus1","0.0536257700487518","0.0602242668393026","0.0471633195498242","0.00659849679055079","-0.00646245049892758","0.00653047364473918","6.80231458116062E-05","0.0104162652683553"
