"wavelength_nm","case","eta_x_plus1","eta_y_plus1","eta_x_0","eta_x_minus1","directionality","order_closure","projector_error","cross_pol_power","y_input_leakage","target_phase_deg"
"450","BASELINE","0.00636296228633909","0.0103552701276635","0.844530225526557","0.00753257333007357","-0.0841717135648229","0.925905649705497","0.793328566963282","0.00586218928231273","0.00592254213723505","-59.6565735210472"
"450","PLUS","0.00507679281864344","0.00883673084403899","0.828389856934353","0.00713268053893093","-0.168384635444745","0.916454500101177","0.801975861135196","0.0047232123783973","0.00477238236284423","-87.4944586734456"
"450","MINUS","0.00719756769050603","0.0142590317608653","0.875530892488594","0.0054234739698493","0.140566346930733","0.939478186544248","0.821720154982436","0.00666332516752986","0.00738131310964902","-48.0333350941173"
"450.5","BASELINE","0.00544614482803695","0.0114369814516245","0.815391089355917","0.00972807069188633","-0.282184331587181","0.901564107339217","0.827545338317263","0.00499715428789857","0.00565389514749933","142.396882627362"
"450.5","PLUS","0.00234132492347783","0.0106117099309027","0.818556283081348","0.00808106772700692","-0.550712585488912","0.901767170495419","0.908613153002254","0.00342832220737515","0.00374024515956508","120.685171729201"
"450.5","MINUS","0.00835536523536698","0.0156077457034065","0.849192779827709","0.00709286784890901","0.0817243874798214","0.917588635023774","0.813480208755997","0.00699678143120036","0.0081366186755899","155.807333543841"
"451","BASELINE","0.00223384259995858","0.0139106096706323","0.879544808136481","0.0028126033602344","-0.114686804305677","0.908958064773689","0.931196571075858","0.00372404733931683","0.00407474604049037","153.127882092163"
"451","PLUS","0.000263892463149814","0.0124965509815391","0.900988852417879","0.00158390129358877","-0.71437021887595","0.923710574438734","0.990162984000558","0.0020890030925388","0.00305651511254658","133.597851126592"
"451","MINUS","0.00705511201149077","0.017549432250503","0.868412657346152","0.00322876203103771","0.37207281658929","0.906967666064054","0.850511897798965","0.00525760397499234","0.00682787443351946","168.51057318847"
"451.5","BASELINE","0.0043166317738918","0.0157749833080186","0.803912186244168","0.0102433980202611","-0.407057288354549","0.829112424510774","0.891307179842109","0.00560252163860907","0.00636689648961074","-26.2940606605911"
"451.5","PLUS","0.00327886210187992","0.0144976815637768","0.801529820483436","0.00888573589688609","-0.460917310672736","0.827959874513523","0.905819770388988","0.0039677999249632","0.00579808949118501","-44.0491655158437"
"451.5","MINUS","0.00540098120628796","0.01938875067522","0.805676874162083","0.0126002935278963","-0.399933472929942","0.834850398526377","0.88909565969359","0.0059688500517027","0.00737180345053864","-17.8517856707134"
"452","BASELINE","0.0179444805985148","0.0171051574864449","0.517411032598819","0.0342791997567721","-0.312783761066422","0.615114384546722","0.70505172843492","0.00767971624953496","0.00942250118990536","-43.8091450725498"
"452","PLUS","0.0167619810227868","0.0171095660648948","0.52414384330574","0.0304996740965118","-0.29067312685195","0.616087071094974","0.716691604286837","0.0069871584804394","0.00932127176839199","-58.2247503173251"
"452","MINUS","0.0204084764638127","0.0213668482774345","0.515428443067484","0.0362060811349815","-0.27903785424096","0.622422972554478","0.721441975756844","0.00926174671429582","0.0112268657950495","-35.7593663797978"
"452.5","BASELINE","0.0417983957897054","0.0200782092242493","0.204235903352922","0.0614294780389533","-0.190172300572927","0.396514946367803","0.575645917157554","0.00919379280363378","0.0103792318729451","81.0794076706116"
"452.5","PLUS","0.0431849876669244","0.0201042236467021","0.209621359871969","0.0572092505131709","-0.139691909620238","0.399340263112781","0.570169847177609","0.00883920466818352","0.0110783915653887","71.3632331206976"
"452.5","MINUS","0.0410356945773723","0.0237781550798461","0.203136571430025","0.0612998484571765","-0.198016771875271","0.396665449711087","0.612253435078327","0.00960820232940241","0.0117165710586037","90.1747110026766"
"453","BASELINE","0.055542995912272","0.0239161192237793","0.150549820838273","0.0666228744771418","-0.0906953679415682","0.382194345361018","0.55458270771629","0.00706730364202242","0.00747173678910167","-17.4578039481915"
"453","PLUS","0.0611714630862506","0.0231290429395949","0.157154943150774","0.064083938719781","-0.0232522956418329","0.396441683116183","0.530234862455073","0.00809636457705188","0.00884239884823199","-25.0686941864207"
"453","MINUS","0.0509421872796229","0.0244810289764016","0.143476800424839","0.0642608862661694","-0.115610621979217","0.361928628371229","0.576431953415802","0.0061805030316102","0.00745914388797405","-9.07113633708178"
"453.5","BASELINE","0.0536257700487518","0.0214206348983878","0.300183957802578","0.0550303434167886","-0.0129267771802114","0.511468406371772","0.540893229733214","0.00419687230144857","0.00420332900032887","21.5253563673108"
"453.5","PLUS","0.0602242668393026","0.0251448176664354","0.29955912730159","0.0545472005746442","0.0494640906191685","0.524707423189666","0.548955849451756","0.00610043357356475","0.00581460559806913","13.0856636256464"
"453.5","MINUS","0.0471633195498242","0.028828790801229","0.31105235827114","0.0507604273139105","-0.0367337635588217","0.502233948779718","0.622896134792356","0.00302356627006362","0.00340954271776549","30.6795836855899"
"454","BASELINE","0.0471016109473386","0.0278262508194623","0.454121228892302","0.0436505227787803","0.038027625653115","0.637208351850026","0.615890811599116","0.00264919237581611","0.00236529008003523","-168.333545358252"
"454","PLUS","0.0538710620289778","0.0295413097959758","0.444800428574077","0.044275250642909","0.0977704727242132","0.643129120443637","0.601160215200522","0.00370834163921783","0.00354051570063976","-174.565124846841"
"454","MINUS","0.038083529312271","0.0312504592254547","0.476721312556794","0.0381010444962608","-0.000229904600290917","0.632665380062495","0.678140404661139","0.00162066736696791","0.00203072513482505","-161.166607558159"
