"metric","mean_signed_error","mean_absolute_error","wavelength_correlation","sign_agreement_count","point_count"
"eta_x_plus1","-0.000698357645436224","0.000983726933625707","0.56739908389515","7","9"
"eta_y_plus1","-0.000486647351618055","0.000486647351618055","0.225552483765876","2","9"
"eta_x_0","0.000443418760373887","0.0121894310199287","-0.293969929254833","4","9"
"eta_x_minus1","-0.000278939586904211","0.000935404158586515","-0.854312253394627","1","9"
