"wavelength_nm","case","metric","delta","desired_direction","classification"
"450","PLUS","eta_x_plus1","-0.00128616946769565","positive","DEGRADED"
"450","MINUS","eta_x_plus1","0.000834605404166943","positive","IMPROVED"
"450","PLUS","eta_y_plus1","-0.00151853928362447","negative","IMPROVED"
"450","MINUS","eta_y_plus1","0.00390376163320183","negative","DEGRADED"
"450","PLUS","eta_x_0","-0.0161403685922045","negative","IMPROVED"
"450","MINUS","eta_x_0","0.0310006669620366","negative","DEGRADED"
"450","PLUS","eta_x_minus1","-0.000399892791142643","negative","IMPROVED"
"450","MINUS","eta_x_minus1","-0.00210909936022428","negative","IMPROVED"
"450.5","PLUS","eta_x_plus1","-0.00310481990455912","positive","DEGRADED"
"450.5","MINUS","eta_x_plus1","0.00290922040733003","positive","IMPROVED"
"450.5","PLUS","eta_y_plus1","-0.000825271520721742","negative","IMPROVED"
"450.5","MINUS","eta_y_plus1","0.00417076425178204","negative","DEGRADED"
"450.5","PLUS","eta_x_0","0.00316519372543078","negative","DEGRADED"
"450.5","MINUS","eta_x_0","0.0338016904717923","negative","DEGRADED"
"450.5","PLUS","eta_x_minus1","-0.00164700296487941","negative","IMPROVED"
"450.5","MINUS","eta_x_minus1","-0.00263520284297732","negative","IMPROVED"
"451","PLUS","eta_x_plus1","-0.00196995013680876","positive","DEGRADED"
"451","MINUS","eta_x_plus1","0.0048212694115322","positive","IMPROVED"
"451","PLUS","eta_y_plus1","-0.00141405868909322","negative","IMPROVED"
"451","MINUS","eta_y_plus1","0.00363882257987064","negative","DEGRADED"
"451","PLUS","eta_x_0","0.0214440442813982","negative","DEGRADED"
"451","MINUS","eta_x_0","-0.0111321507903289","negative","IMPROVED"
"451","PLUS","eta_x_minus1","-0.00122870206664563","negative","IMPROVED"
"451","MINUS","eta_x_minus1","0.00041615867080331","negative","DEGRADED"
"451.5","PLUS","eta_x_plus1","-0.00103776967201188","positive","DEGRADED"
"451.5","MINUS","eta_x_plus1","0.00108434943239617","positive","IMPROVED"
"451.5","PLUS","eta_y_plus1","-0.00127730174424179","negative","IMPROVED"
"451.5","MINUS","eta_y_plus1","0.00361376736720137","negative","DEGRADED"
"451.5","PLUS","eta_x_0","-0.00238236576073181","negative","IMPROVED"
"451.5","MINUS","eta_x_0","0.00176468791791518","negative","DEGRADED"
"451.5","PLUS","eta_x_minus1","-0.00135766212337504","negative","IMPROVED"
"451.5","MINUS","eta_x_minus1","0.00235689550763514","negative","DEGRADED"
"452","PLUS","eta_x_plus1","-0.001182499575728","positive","DEGRADED"
"452","MINUS","eta_x_plus1","0.00246399586529793","positive","IMPROVED"
"452","PLUS","eta_y_plus1","4.40857844995549E-06","negative","DEGRADED"
"452","MINUS","eta_y_plus1","0.00426169079098966","negative","DEGRADED"
"452","PLUS","eta_x_0","0.00673281070692089","negative","DEGRADED"
"452","MINUS","eta_x_0","-0.00198258953133468","negative","IMPROVED"
"452","PLUS","eta_x_minus1","-0.00377952566026026","negative","IMPROVED"
"452","MINUS","eta_x_minus1","0.00192688137820943","negative","DEGRADED"
"452.5","PLUS","eta_x_plus1","0.00138659187721899","positive","IMPROVED"
"452.5","MINUS","eta_x_plus1","-0.000762701212333135","positive","DEGRADED"
"452.5","PLUS","eta_y_plus1","2.60144224528067E-05","negative","DEGRADED"
"452.5","MINUS","eta_y_plus1","0.00369994585559685","negative","DEGRADED"
"452.5","PLUS","eta_x_0","0.00538545651904668","negative","DEGRADED"
"452.5","MINUS","eta_x_0","-0.00109933192289688","negative","IMPROVED"
"452.5","PLUS","eta_x_minus1","-0.00422022752578247","negative","IMPROVED"
"452.5","MINUS","eta_x_minus1","-0.000129629581776862","negative","IMPROVED"
"453","PLUS","eta_x_plus1","0.0056284671739786","positive","IMPROVED"
"453","MINUS","eta_x_plus1","-0.00460080863264911","positive","DEGRADED"
"453","PLUS","eta_y_plus1","-0.000787076284184431","negative","IMPROVED"
"453","MINUS","eta_y_plus1","0.000564909752622279","negative","DEGRADED"
"453","PLUS","eta_x_0","0.00660512231250057","negative","DEGRADED"
"453","MINUS","eta_x_0","-0.00707302041343427","negative","IMPROVED"
"453","PLUS","eta_x_minus1","-0.00253893575736081","negative","IMPROVED"
"453","MINUS","eta_x_minus1","-0.0023619882109724","negative","IMPROVED"
"453.5","PLUS","eta_x_plus1","0.00659849679055079","positive","IMPROVED"
"453.5","MINUS","eta_x_plus1","-0.00646245049892758","positive","DEGRADED"
"453.5","PLUS","eta_y_plus1","0.0037241827680476","negative","DEGRADED"
"453.5","MINUS","eta_y_plus1","0.00740815590284113","negative","DEGRADED"
"453.5","PLUS","eta_x_0","-0.000624830500987383","negative","IMPROVED"
"453.5","MINUS","eta_x_0","0.0108684004685629","negative","DEGRADED"
"453.5","PLUS","eta_x_minus1","-0.000483142842144429","negative","IMPROVED"
"453.5","MINUS","eta_x_minus1","-0.00426991610287805","negative","IMPROVED"
"454","PLUS","eta_x_plus1","0.00676945108163916","positive","IMPROVED"
"454","MINUS","eta_x_plus1","-0.00901808163506759","positive","DEGRADED"
"454","PLUS","eta_y_plus1","0.00171505897651349","negative","DEGRADED"
"454","MINUS","eta_y_plus1","0.00342420840599237","negative","DEGRADED"
"454","PLUS","eta_x_0","-0.00932080031822535","negative","IMPROVED"
"454","MINUS","eta_x_0","0.0226000836644916","negative","DEGRADED"
"454","PLUS","eta_x_minus1","0.000624727864128635","negative","DEGRADED"
"454","MINUS","eta_x_minus1","-0.00554947828251953","negative","IMPROVED"
