candidate_id,candidate_role,min_ratio_447_454,min_ratio_448_454,min_ratio_450_454,min_L_fraction_447_454,min_L_fraction_450_454,no_cp_flip_all,hidden_notch_flag,target_power_collapse_flag,dense_refined_class,rank_reason,weighted_ratio_center450_FWHM2,weighted_ratio_center450_FWHM3,weighted_ratio_center450_FWHM5,weighted_ratio_center452_FWHM2,weighted_ratio_center452_FWHM3,weighted_ratio_center452_FWHM5,weighted_ratio_center452p5_FWHM2,weighted_ratio_center452p5_FWHM3,weighted_ratio_center452p5_FWHM5,weighted_ratio_center453_FWHM2,weighted_ratio_center453_FWHM3,weighted_ratio_center453_FWHM5,weighted_ratio_center453_FWHM6,weighted_L_fraction_center453_FWHM3,weighted_target_power_center453_FWHM3,ratio_447,ratio_447p25,ratio_447p5,ratio_447p75,ratio_448,ratio_448p25,ratio_448p5,ratio_448p75,ratio_450,ratio_452,ratio_452p5,ratio_453,ratio_453p5,ratio_454,target_power_448,target_power_452p5,target_power_453
BW2_J1J2_D194_T90_PSI99_H525,best all-band robust / simple psi +2 shift,60.6765595279,96.0569910059,120.427663411,0.983786384849,0.9917646443,true,false,false,refined_strict_pass,refined_strict_pass,312.242883986,260.368411212,215.670267308,157.181155856,176.880821782,197.759951821,157.259677226,173.664254146,194.28356883,171.99092644,177.107393531,192.094258302,196.756485197,0.994361132087,0.980726533164,84.7737215487,71.9459346123,60.9054237205,60.6765595279,96.0569910059,216.033094915,443.811291331,654.190831161,345.008083708,129.716903339,120.427663411,160.700453031,295.811595704,331.631775726,0.234690379705,0.937422878551,0.924385611997
BW2_J1J2_D196_T90_PSI98_H525,best red-shifted / RCLED-weighted candidate,23.6417153219,24.9800002334,129.32679813,0.959418409517,0.992326980987,true,false,false,refined_strict_pass,refined_strict_pass,241.765152497,185.979167089,146.336973171,161.899078705,175.047136025,176.054231982,161.278227148,173.58437795,179.063883044,171.814988073,176.766553232,181.370820765,176.945032759,0.994324338163,0.980283992559,49.7945713793,38.6932744041,29.3674216496,23.6417153219,24.9800002334,40.5505333557,86.6371861232,203.022262015,262.075704421,148.208624319,129.32679813,149.450573883,240.880229618,361.962429545,0.273781749569,0.926689270773,0.928481324728
BW2_J1J2_D194_T90_PSI97_H525,B4INT baseline reference,8.06014716812,9.10007786078,72.9624516662,0.889626516938,0.986479626115,true,true,false,reject,reject,189.308757862,116.997692451,81.3017583836,115.375765867,122.801135267,112.758505066,102.176100371,113.921110989,115.150980894,98.8809775078,109.001911914,115.906701453,110.304886776,0.990799539609,0.976137856272,22.8487977519,15.4415694242,10.4384455946,8.06014716812,9.10007786078,15.3649468398,30.8737871518,65.429457967,295.719621306,115.094210975,79.1102661853,74.5931182904,108.653712955,235.521988429,0.267805154613,0.936534968335,0.925963984022
