schema_version,route,candidate_count,projectorization_pass_count,absolute_target_pass_count,primary_relative_target_pass_count,full_seed_count,best_rank_improvement_candidate,best_Tyy_suppression_candidate,best_target_phase_preservation_candidate,cancellation_direction_replicated,source_stage,source_schema_version,v1_13_source_row_provenance,v1_15_source_row_provenance,v1_15_source_row_index
LP_ML_SCHEMA_V1.15,D0_60,5,0,4,4,0,LP_H500_D0_60_J1M05,LP_H500_D0_60_J2LP05,LP_H500_D0_60_J2WP05,NOT_APPLICABLE,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/family_route_summary_v1_12.csv:1,stage_d0_family_route_summary_v1_13.csv,1
LP_ML_SCHEMA_V1.15,D0_0,5,0,3,5,0,LP_H500_D0_0_J2LP05_J2WM05,LP_H500_D0_0_GP05,LP_H500_D0_0_J1M05,NOT_APPLICABLE,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/family_route_summary_v1_12.csv:2,stage_d0_family_route_summary_v1_13.csv,2
LP_ML_SCHEMA_V1.15,D0_CONTROL,2,1,DIAGNOSTIC_NOT_APPLICABLE,DIAGNOSTIC_NOT_APPLICABLE,0,LP_H500_D0_CTRL_B120_J2LP05,LP_H500_D0_CTRL_B120_J2LP05,LP_H500_D0_CTRL_B300_J2WM05,True,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/family_route_summary_v1_12.csv:3,stage_d0_family_route_summary_v1_13.csv,3
