schema_version,candidate_id,formal_450_bin_deg,formal_library_eligible_450,all_four_usable_projector,spectrally_surviving_formal_candidate,relative_primary_phase_compatible,relative_primary_drift_sequence_deg,relative_b180_phase_compatible,relative_b180_drift_sequence_deg,library_pair_eligible,library_pair_eligible_partner_count,Txx_sequence,R_total_sequence,rank_ratio_sequence,phase_sequence_deg,phase_validity_sequence,min_Txx,min_R_total,max_rank_ratio,spectral_classification,threshold_provenance,source_stage,v1_13_source_row_provenance,source_schema_version,v1_15_source_row_provenance,v1_15_source_row_index
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,0,False,False,False,True,"[-0.6073695126115126,0.0,1.4892747850870478,2.72263336494089]",False,"[-38.31168316233041,0.0,59.61713542811245,82.31405876928159]",False,0,"[0.9695999217387786,0.980141299976881,0.9897703859488457,0.982499436502495]","[0.9842054092415885,1.0486233252431825,0.8807042635377147,1.0303214457666223]","[0.9920712722589969,0.9765404632122715,0.9384584506187332,0.9851755617517257]","[27.710041847550727,18.71596467530634,10.239040573490538,6.062968361595228]","[""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45""]",0.9695999217387786,0.8807042635377147,0.9920712722589969,BOTH_EDGE_PROJECTOR_COLLAPSE,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/spectral_survival_semantics_v1_11.csv:1,LP_ML_SCHEMA_V1.13,spectral_survival_semantics_v1_13.csv,1
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C180_A1_J1M05_CTXP025,180,False,False,False,True,"[3.5618175343876715,0.0,-3.3689466584054912,-4.470104595511373]",False,"[-34.1424961153312,0.0,54.75891398461991,75.1213208088293]",False,0,"[0.9052247335398521,0.881218393533703,0.8501238879236621,0.8335146591018547]","[1.3601998126456492,1.5262703185374453,1.926304268412574,2.3161164813730934]","[0.8574299407667498,0.8094392706154871,0.7205059249627508,0.6570823497123244]","[178.15133950046607,164.98807528122248,151.65292973591414,145.1423410070591]","[""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45""]",0.8335146591018547,1.3601998126456492,0.8574299407667498,BOTH_EDGE_PROJECTOR_COLLAPSE,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/spectral_survival_semantics_v1_11.csv:2,LP_ML_SCHEMA_V1.13,spectral_survival_semantics_v1_13.csv,2
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C180_A2_J1P10_J2WM05,180,False,False,False,False,"[null,0.0,-46.698035197596425,-71.91864703153854]",False,"[null,0.0,11.429825445428975,7.672778372802156]",False,0,"[0.01641162887523431,0.276132769545625,0.8879801920499277,0.9948891193458194]","[4.15574562912953,5.3338719846882165,6.223661966305202,5.026262827466886]","[0.49054123666669636,0.4329908370285565,0.4008454902446982,0.4460436928805791]","[252.29051954920112,209.07955079228654,152.41531670778727,121.785274082096]","[""LOW_AMPLITUDE_PHASE_MASKED"",""VALID_TXX_GE_0P10"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45""]",0.01641162887523431,4.15574562912953,0.49054123666669636,BLUE_EDGE_PROJECTOR_COLLAPSE,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/spectral_survival_semantics_v1_11.csv:3,LP_ML_SCHEMA_V1.13,spectral_survival_semantics_v1_13.csv,3
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C180_A2_J2LM05_CTXP025,120,True,False,False,False,"[53.767595437810996,0.0,-56.33607797732759,-72.83204107304675]",False,"[16.063281788092127,0.0,1.7917826656978093,6.759384331293944]",False,0,"[0.8576791676387739,0.9569388459755945,0.521364762474682,0.4496418196330838]","[95.10892281824992,481.0697717399081,18.262491493757892,2.7474624364934965]","[0.10253906865721663,0.045592768635631054,0.23400222487656222,0.6033011015527685]","[173.61193364617276,110.24289152350585,43.94061465927542,22.035220771807094]","[""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P10""]",0.4496418196330838,2.7474624364934965,0.6033011015527685,RED_EDGE_PROJECTOR_COLLAPSE,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/spectral_survival_semantics_v1_11.csv:4,LP_ML_SCHEMA_V1.13,spectral_survival_semantics_v1_13.csv,4
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C240_A1_J1M10_J2LP05_CTXP025,120,False,False,False,False,"[59.917870446499364,0.0,null,null]",False,"[22.213556796780495,0.0,null,null]",False,0,"[0.9175340115961059,0.2527832023753899,0.0005698213135557739,0.0018051747632028678]","[128.47729012027207,10.610421947741006,0.0016825379498526915,0.0027639761930561726]","[0.08822401456342127,0.3069966755275699,0.04101875119811282,0.052573531297185845]","[200.87787612870957,131.3585589973543,212.98080795257397,229.79550343109383]","[""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P10"",""LOW_AMPLITUDE_PHASE_MASKED"",""LOW_AMPLITUDE_PHASE_MASKED""]",0.0005698213135557739,0.0016825379498526915,0.3069966755275699,RED_EDGE_PROJECTOR_COLLAPSE,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/spectral_survival_semantics_v1_11.csv:5,LP_ML_SCHEMA_V1.13,spectral_survival_semantics_v1_13.csv,5
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C240_A1_J1P05_CTXP025,180,False,False,False,False,"[43.01207851616874,0.0,-55.06315540006261,-70.78626871313696]",False,"[5.307764866449872,0.0,3.064705242962816,8.805156691203763]",False,0,"[0.9198428359610794,0.9535207722241488,0.35975986999206794,0.19816477165312457]","[64.34154153021177,31.786613594757508,7.642183345594386,3.4711360002799094]","[0.12466779240058308,0.1773690617603896,0.3617356182581186,0.5367402759122685]","[214.28456743425636,161.6710422332317,96.64168794626626,75.50914384144275]","[""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P10"",""VALID_TXX_GE_0P10""]",0.19816477165312457,3.4711360002799094,0.5367402759122685,RED_EDGE_PROJECTOR_COLLAPSE,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/spectral_survival_semantics_v1_11.csv:6,LP_ML_SCHEMA_V1.13,spectral_survival_semantics_v1_13.csv,6
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C240_A2_J2WM10_GP05,180,True,True,True,False,"[34.17530402105868,0.0,-55.23005084244491,-75.90623931878088]",True,"[-3.529009628660191,0.0,2.897809800580518,3.6851860855598204]",False,0,"[0.5211986729179491,0.862664222201362,0.853937686067279,0.5947360025429312]","[540.5979300980639,78.54310773498166,26.376689827708077,11.258065043633067]","[0.043009343230170125,0.11283555241506846,0.19471071601505244,0.2980355863613429]","[237.30216960235487,193.52541889644027,128.32916916709254,102.24354989900739]","[""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45""]",0.5211986729179491,11.258065043633067,0.2980355863613429,ALL_FOUR_USABLE_PROJECTOR,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/spectral_survival_semantics_v1_11.csv:7,LP_ML_SCHEMA_V1.13,spectral_survival_semantics_v1_13.csv,7
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C240_A3_J2LP10_GM05,300,False,False,False,False,"[10.398340860097846,0.0,-12.476070642536627,-19.604219424753126]",False,"[-27.305972789621023,0.0,45.651790000488745,59.9872059795876]",False,0,"[0.9756188501211794,0.9428580488325934,0.8774379208657644,0.8152476682485491]","[1.027040748321681,4.687999466486857,27.755808421265964,5.995014385849853]","[0.9867477905101041,0.46185560999123676,0.18981173520755784,0.4084180102786879]","[296.6222470090622,276.62245946410843,254.180189934669,241.64261036070334]","[""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45""]",0.8152476682485491,1.027040748321681,0.9867477905101041,BLUE_EDGE_PROJECTOR_COLLAPSE,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/spectral_survival_semantics_v1_11.csv:8,LP_ML_SCHEMA_V1.13,spectral_survival_semantics_v1_13.csv,8
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C240_A3_J2WM10_GP05,240,False,False,False,False,"[23.21303682286498,0.0,-40.48117410151758,-61.68470476203521]",False,"[-14.491276826853891,0.0,17.646686541507847,17.906720642305515]",False,0,"[0.9993552818411118,0.9533627310978379,0.6043389121570791,0.3499752078135226]","[21.289009590967353,16.192268724055296,12.47138979319991,9.714041102394496]","[0.216731616991429,0.24851130425165366,0.28316695672243475,0.32084851357009747]","[247.49688961543188,214.682406107711,164.2350331192906,137.6220716670238]","[""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P10""]",0.3499752078135226,9.714041102394496,0.32084851357009747,PROJECTOR_SHAPE_STABLE_THROUGHPUT_EDGE_FAIL,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/spectral_survival_semantics_v1_11.csv:9,LP_ML_SCHEMA_V1.13,spectral_survival_semantics_v1_13.csv,9
LP_ML_SCHEMA_V1.15,LP_H500_IFDOE_B000_J1D+10_J2L+10_J2W-10_G90_D230,120,False,False,False,False,"[4.14271388808524,0.0,35.28765696926894,11.844195848077163]",False,"[-33.56159976163363,0.0,93.41551761229437,91.43562125241783]",False,0,"[1.0042169591802779,1.0276443984222159,0.8879725159848016,0.9570878423474652]","[81.64467878226209,3.9448211585640176,0.9620312052130098,0.9825605312452087]","[0.11067156661059718,0.5034847728984219,0.9808318944717308,0.9912419135837673]","[132.29084008169949,118.54667950875833,143.86813759112442,115.01524567818349]","[""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45"",""VALID_TXX_GE_0P45""]",0.8879725159848016,0.9620312052130098,0.9912419135837673,RED_EDGE_PROJECTOR_COLLAPSE,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/spectral_survival_semantics_v1_11.csv:10,LP_ML_SCHEMA_V1.13,spectral_survival_semantics_v1_13.csv,10
