schema_version,candidate_a,candidate_b,a_formal_450,b_formal_450,a_450_bin_deg,b_450_bin_deg,a_all_four_usable,b_all_four_usable,a_phase_sequence_deg,b_phase_sequence_deg,phase_separation_sequence_deg,relative_drift_from_450_sequence_deg,nearest_60deg_target_450_deg,target_separation_error_deg,max_separation_drift_deg,rms_separation_drift_deg,slope_mismatch_deg_per_nm,amplitude_mismatch_sequence,amplitude_mismatch_rms,amplitude_match,amplitude_match_rule_status,joint_shape_valid_count,joint_usable_count,low_amplitude_invalid_count,fabrication_both_pass,target_separation_match_450,dispersion_match,all_four_joint_shape,all_four_joint_usable,no_low_amplitude_invalid,library_pair_eligible,pair_diagnostic_class,threshold_provenance,evidence_tier,source_stage,v1_13_source_row_provenance,source_schema_version,v1_15_source_row_provenance,v1_15_source_row_index
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,False,False,0,60,False,False,"[27.710041847550727,18.71596467530634,10.239040573490538,6.062968361595228]","[77.38253126507628,65.94879870831053,55.988054044295936,51.26502622562272]","[49.672489417525554,47.232834033004195,45.74901347080538,45.202057864027495]","[2.439655384521359,0.0,-1.4838205621988152,-2.0307761689767005]",60,12.767165966995805,2.439655384521359,1.751977005022594,-0.8903779247715137,"[0.0034775995060196685,0.00038617762990877935,0.0022032759635221,0.008724241211022332]",0.004827257015263556,,NO_FROZEN_THRESHOLD_DIAGNOSTIC_ONLY,0,0,0,True,False,True,False,False,True,False,DISPERSION_MATCH_ONLY,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,DIAGNOSTIC_ONLY,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/pairwise_phase_compatibility_v1_11.csv:11,LP_ML_SCHEMA_V1.13,pairwise_phase_compatibility_v1_13.csv,11
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,LP_H500_IFDOE_B060_J1D+10_J2L-10_J2W+10_G60_D220,False,False,0,180,False,False,"[27.710041847550727,18.71596467530634,10.239040573490538,6.062968361595228]","[181.4482537221792,168.11672169764762,154.9868392941113,148.9001377036755]","[153.73821187462846,149.40075702234128,144.74779872062075,142.83716934208027]","[4.3374548522871805,0.0,-4.652958301720531,-6.5635876802610085]",120,29.40075702234128,6.5635876802610085,4.57012633276296,-2.2042217628154352,"[0.03180692870047619,0.04526480787681908,0.06617949010247737,0.06472444245472242]",0.0539202232626616,,NO_FROZEN_THRESHOLD_DIAGNOSTIC_ONLY,0,0,0,True,False,False,False,False,True,False,DISPERSION_MISMATCHED,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,DIAGNOSTIC_ONLY,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/pairwise_phase_compatibility_v1_11.csv:12,LP_ML_SCHEMA_V1.13,pairwise_phase_compatibility_v1_13.csv,12
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,LP_H500_IFDOE_B120_J1D+00_J2L-10_J2W+10_G90_D200,False,False,0,60,False,False,"[27.710041847550727,18.71596467530634,10.239040573490538,6.062968361595228]","[97.5218596628627,87.62250831159838,78.16156864136838,73.65280034410226]","[69.81181781531197,68.90654363629204,67.92252806787783,67.58983198250704]","[0.9052741790199264,0.0,-0.9840155684142076,-1.3167116537850063]",60,8.906543636292042,1.3167116537850063,0.9382880097942987,-0.45302540161619115,"[0.0044976279131819785,0.004234173083720205,0.003622770013338883,0.005218868602729354]",0.004430517199222795,,NO_FROZEN_THRESHOLD_DIAGNOSTIC_ONLY,0,0,0,True,True,True,False,False,True,False,TARGET_AND_DISPERSION_BUT_PROJECTOR_FAIL,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,DIAGNOSTIC_ONLY,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/pairwise_phase_compatibility_v1_11.csv:13,LP_ML_SCHEMA_V1.13,pairwise_phase_compatibility_v1_13.csv,13
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,LP_H500_IFDOE_B120_J1D+00_J2L-10_J2W-10_G70_D180,False,False,0,60,False,False,"[27.710041847550727,18.71596467530634,10.239040573490538,6.062968361595228]","[93.41494416667638,80.25454256835401,60.477706102849396,15.12667975992246]","[65.70490231912565,61.53857789304767,50.238665529358855,null]","[4.166324426077978,0.0,-11.299912363688804,null]",60,1.5385778930476732,11.299912363688804,6.9533272287536585,,"[0.049156574733246305,0.04797724613715948,0.09555057982152138,0.7103550657590401]",0.3600182001441628,,NO_FROZEN_THRESHOLD_DIAGNOSTIC_ONLY,0,0,1,True,True,False,False,False,False,False,LOW_AMPLITUDE_INDETERMINATE,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,DIAGNOSTIC_ONLY,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/pairwise_phase_compatibility_v1_11.csv:14,LP_ML_SCHEMA_V1.13,pairwise_phase_compatibility_v1_13.csv,14
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,LP_H500_IFDOE_B120_J1D+10_J2L+00_J2W-10_G90_D210,False,True,0,120,False,False,"[27.710041847550727,18.71596467530634,10.239040573490538,6.062968361595228]","[173.70485019619997,107.04505051741063,61.401203884929146,28.802080437536645]","[145.99480834864926,88.32908584210429,51.162163311438604,22.73911207594142]","[57.66572250654497,0.0,-37.16692253066569,-65.58997376616287]",60,28.32908584210429,65.58997376616287,47.45724481374863,-23.906225832555734,"[0.4346984184310613,0.007479473512004842,0.19816055598594806,0.57009757523722]",0.3719198531775699,,NO_FROZEN_THRESHOLD_DIAGNOSTIC_ONLY,0,0,0,True,False,False,False,False,True,False,DISPERSION_MISMATCHED,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,DIAGNOSTIC_ONLY,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/pairwise_phase_compatibility_v1_11.csv:15,LP_ML_SCHEMA_V1.13,pairwise_phase_compatibility_v1_13.csv,15
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,LP_H500_IFDOE_B180_J1D+10_J2L-10_J2W+10_G90_D210,False,False,0,120,False,False,"[27.710041847550727,18.71596467530634,10.239040573490538,6.062968361595228]","[212.13408200435734,147.53248363285618,84.45952109242303,64.70966638336492]","[175.5759598431934,128.81651895754985,74.22048051893249,58.646698021769694]","[46.759440885643556,0.0,-54.596038438617356,-70.16982093578015]",120,8.816518957549846,70.16982093578015,50.226926282842626,-24.048515768765878,"[0.2921431343410861,0.008055859541845067,0.26772361022169544,0.42265143789347714]",0.2897079034299694,,NO_FROZEN_THRESHOLD_DIAGNOSTIC_ONLY,0,0,0,True,True,False,False,False,True,False,TARGET_SEPARATION_ONLY,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,DIAGNOSTIC_ONLY,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/pairwise_phase_compatibility_v1_11.csv:16,LP_ML_SCHEMA_V1.13,pairwise_phase_compatibility_v1_13.csv,16
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,LP_H500_IFDOE_B180_J1D-10_J2L+10_J2W+10_G90_D210,False,False,0,240,False,False,"[27.710041847550727,18.71596467530634,10.239040573490538,6.062968361595228]","[254.3608822967698,228.03759217905525,183.9385416838457,152.84620156999424]","[133.34915955078094,150.6783724962511,173.69950111035516,null]","[-17.329212945470147,0.0,23.02112861410407,null]",180,29.321627503748914,23.02112861410407,16.636045042583202,,"[0.03219934192252616,0.10067798674585682,0.3884261549399519,0.7009019310091757]",0.40413835792005365,,NO_FROZEN_THRESHOLD_DIAGNOSTIC_ONLY,0,0,1,True,False,False,False,False,False,False,LOW_AMPLITUDE_INDETERMINATE,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,DIAGNOSTIC_ONLY,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/pairwise_phase_compatibility_v1_11.csv:17,LP_ML_SCHEMA_V1.13,pairwise_phase_compatibility_v1_13.csv,17
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,LP_H500_IFDOE_B180_J1D-10_J2L-10_J2W-10_G90_D200,False,False,0,300,False,False,"[27.710041847550727,18.71596467530634,10.239040573490538,6.062968361595228]","[322.9814241648608,300.08887876311996,278.63767780872496,267.0734099534337]","[64.7286176826899,78.62708591218637,91.60136276476555,98.98955840816149]","[-13.898468229496473,0.0,12.97427685257918,20.362472495975112]",60,18.627085912186374,20.362472495975112,13.929551007866673,6.7968946991717445,"[0.6266347743022334,0.5963985815237624,0.5187801668413139,0.4463004755701476]",0.551515952718144,,NO_FROZEN_THRESHOLD_DIAGNOSTIC_ONLY,0,0,0,True,False,False,False,False,True,False,DISPERSION_MISMATCHED,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,DIAGNOSTIC_ONLY,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/pairwise_phase_compatibility_v1_11.csv:18,LP_ML_SCHEMA_V1.13,pairwise_phase_compatibility_v1_13.csv,18
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,LP_H500_IFDOE_B240_J1D+00_J2L+10_J2W+10_G60_D190,False,True,0,240,False,False,"[27.710041847550727,18.71596467530634,10.239040573490538,6.062968361595228]","[268.7748049352499,243.38211753147255,207.52344844836716,183.29403373872947]","[118.93523691230081,135.3338471438338,162.7155921251234,177.23106537713423]","[-16.398610231532984,0.0,27.381744981289614,41.897218233300435]",120,15.333847143833793,41.897218233300435,26.33463153071882,11.768955958525671,"[0.009259007560696975,0.014700434553325481,0.10971130613611302,0.2400898863244485]",0.1322701366583215,,NO_FROZEN_THRESHOLD_DIAGNOSTIC_ONLY,0,0,0,True,False,False,False,False,True,False,DISPERSION_MISMATCHED,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,DIAGNOSTIC_ONLY,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/pairwise_phase_compatibility_v1_11.csv:19,LP_ML_SCHEMA_V1.13,pairwise_phase_compatibility_v1_13.csv,19
LP_ML_SCHEMA_V1.15,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,LP_H500_IFDOE_B240_J1D+00_J2L-10_J2W+10_G60_D180,False,False,0,60,False,False,"[27.710041847550727,18.71596467530634,10.239040573490538,6.062968361595228]","[161.1225232417083,84.55798520830764,22.381590824564647,1.2467174608427571]","[133.41248139415757,65.8420205330013,12.142550251074113,4.816250900752465]","[67.57046086115628,0.0,-53.69947028192719,-61.02576963224884]",60,5.842020533001303,67.57046086115628,52.8524948530269,-26.457700806315145,"[0.021983587468596744,0.11846133122541014,0.4324502261230052,0.45424893050321336]",0.31932415115789364,,NO_FROZEN_THRESHOLD_DIAGNOSTIC_ONLY,0,0,0,True,True,False,False,False,True,False,TARGET_SEPARATION_ONLY,max_drift_5deg_and_target_error_10deg_from_canonical_v1.7,DIAGNOSTIC_ONLY,CANONICAL_V1_11_MATCHED_TARGET_GRAPH_240_PLAN_V1,canonical_v1_11/pairwise_phase_compatibility_v1_11.csv:20,LP_ML_SCHEMA_V1.13,pairwise_phase_compatibility_v1_13.csv,20
