candidate_id,wavelength_nm,angle_deg_internal_GaN,polarization,cavity_spacer_nm,phase_error_rad,phase_error_deg,roundtrip_phase_rad
R2_4B_OPT_06361,450.0,0.0,TE,336.0,1.1895521227824206,68.15631614626061,23.943189105935925
R2_4B_OPT_06361,450.0,0.0,TM,336.0,1.1895521227824206,68.15631614626061,23.943189105935925
R2_4B_OPT_06361,450.0,5.0,TE,336.0,1.0724952840029305,61.44945332105251,24.060245944715415
R2_4B_OPT_06361,450.0,5.0,TM,336.0,1.1126576495243878,63.75058736069375,24.020083579193958
R2_4B_OPT_06361,450.0,7.0,TE,336.0,0.9681224854687055,55.46933246907219,24.16461874324964
R2_4B_OPT_06361,450.0,7.0,TM,336.0,1.0436939410303028,59.799257924412174,24.089047287688043
R2_4B_OPT_06361,450.0,10.0,TE,336.0,1.672046809606635,95.8012253387745,23.46069441911171
R2_4B_OPT_06361,450.0,10.0,TM,336.0,0.8276319112476294,47.41981550483509,18.02192401029113
R2_4B_OPT_06361,450.0,20.0,TE,336.0,1.3874150870047943,79.49302891815063,23.74532614171355
R2_4B_OPT_06361,450.0,20.0,TM,336.0,0.9576904199058632,54.87161914071756,17.891865501632896
R2_4B_OPT_06361,450.0,30.0,TE,336.0,2.09663334298697,120.12824173955815,23.036107885731376
R2_4B_OPT_06361,450.0,30.0,TM,336.0,0.7003703611622172,40.12826579064823,19.549926282700977
R2_4B_OPT_06361,450.0,36.0,TE,336.0,1.1778141647449651,67.48378069061275,20.027370086283725
R2_4B_OPT_06361,450.0,36.0,TM,336.0,2.4177479804020026,138.52675520331323,22.714993248316343
R2_4B_OPT_06361,450.0,40.0,TE,336.0,0.32274999517567765,18.49221256143401,18.52680592636308
R2_4B_OPT_06361,450.0,40.0,TM,336.0,0.41207301718542483,23.610044735946683,18.437482904353335
R2_4B_OPT_06361,450.0,60.0,TE,336.0,2.8881086527354642,165.4764365769564,15.454479267094637
R2_4B_OPT_06361,450.0,60.0,TM,336.0,1.6202652199585017,92.83435879545814,17.229290701580258
R2_4B_OPT_06361,453.0,0.0,TE,336.0,1.2041339948622154,68.9917958738325,23.92860723385613
R2_4B_OPT_06361,453.0,0.0,TM,336.0,1.2041339948622154,68.9917958738325,23.92860723385613
R2_4B_OPT_06361,453.0,5.0,TE,336.0,1.0985680492597156,62.943312730501624,24.03417317945863
R2_4B_OPT_06361,453.0,5.0,TM,336.0,1.1357100767109332,65.07139414601544,23.997031152007413
R2_4B_OPT_06361,453.0,7.0,TE,336.0,0.9715001037019607,55.662855738644154,24.161241125016385
R2_4B_OPT_06361,453.0,7.0,TM,336.0,1.058908745979626,60.67100203412315,17.790647175559133
R2_4B_OPT_06361,453.0,10.0,TE,336.0,1.6337247078575041,93.60553064647839,23.49901652086084
R2_4B_OPT_06361,453.0,10.0,TM,336.0,0.9081064823362625,52.030668786339284,17.941449439202497
R2_4B_OPT_06361,453.0,20.0,TE,336.0,1.4946316123049295,85.63608331190598,23.638109616413416
R2_4B_OPT_06361,453.0,20.0,TM,336.0,1.0023765811919254,57.43194758504982,17.847179340346834
R2_4B_OPT_06361,453.0,30.0,TE,336.0,2.185355230303391,125.21163143322433,22.947385998414955
R2_4B_OPT_06361,453.0,30.0,TM,336.0,1.2071568406858078,69.16499218164309,20.056712762224567
R2_4B_OPT_06361,453.0,36.0,TE,336.0,2.8535052978911333,163.49381038738267,22.279235930827213
R2_4B_OPT_06361,453.0,36.0,TM,336.0,2.129521845308596,122.01261411709352,23.00321938340975
R2_4B_OPT_06361,453.0,40.0,TE,336.0,0.8605793381014977,49.307564009377735,19.710135259640257
R2_4B_OPT_06361,453.0,40.0,TM,336.0,0.0675280907546217,3.869074598816218,18.782027830784138
R2_4B_OPT_06361,453.0,60.0,TE,336.0,2.8063120765668965,160.7898379838771,15.37268269092607
R2_4B_OPT_06361,453.0,60.0,TM,336.0,1.7011977787428598,97.4714528389963,17.1483581427959
R2_4B_OPT_06361,456.0,0.0,TE,336.0,1.2280560644103968,70.36242949616172,23.90468516430795
R2_4B_OPT_06361,456.0,0.0,TM,336.0,1.2280560644103968,70.36242949616172,23.90468516430795
R2_4B_OPT_06361,456.0,5.0,TE,336.0,1.1137942084676358,63.81570739130971,24.01894702025071
R2_4B_OPT_06361,456.0,5.0,TM,336.0,1.1538272485052488,66.10943162654318,17.69572867303351
R2_4B_OPT_06361,456.0,7.0,TE,336.0,0.9401354046299001,53.86579085611719,24.192605824088446
R2_4B_OPT_06361,456.0,7.0,TM,336.0,1.0518197659551385,60.264833397667466,17.79773615558362
R2_4B_OPT_06361,456.0,10.0,TE,336.0,1.5771749295334496,90.36546701610968,23.555566299184896
R2_4B_OPT_06361,456.0,10.0,TM,336.0,1.9396026495356233,111.13104575078336,23.193138579182722
R2_4B_OPT_06361,456.0,20.0,TE,336.0,1.599795798532278,91.66154733866087,23.532945430186068
R2_4B_OPT_06361,456.0,20.0,TM,336.0,1.0437028018575283,59.799765612415186,17.80585311968123
R2_4B_OPT_06361,456.0,30.0,TE,336.0,2.2701552770535445,130.0703162145202,22.8625859516648
R2_4B_OPT_06361,456.0,30.0,TM,336.0,1.7049329602349161,97.6854629742065,20.554488881773676
R2_4B_OPT_06361,456.0,36.0,TE,336.0,2.581656680153892,147.91803192457348,22.551084548564454
R2_4B_OPT_06361,456.0,36.0,TM,336.0,1.832865538808087,105.01545978867499,23.29987568991026
R2_4B_OPT_06361,456.0,40.0,TE,336.0,1.8244688022433018,104.53436222182961,20.67402472378206
R2_4B_OPT_06361,456.0,40.0,TM,336.0,0.22904936494280573,13.123561911374525,19.078605286481565
R2_4B_OPT_06361,456.0,60.0,TE,336.0,2.7255669409391188,156.163482496194,15.291937555298292
R2_4B_OPT_06361,456.0,60.0,TM,336.0,1.7810868463971132,102.04875924482012,17.068469075141646
R2_4B_OPT_06176,450.0,0.0,TE,242.0,2.4838363177941902,142.3133380109222,16.36571960374457
R2_4B_OPT_06176,450.0,0.0,TM,242.0,2.4838363177941902,142.3133380109222,16.36571960374457
R2_4B_OPT_06176,450.0,5.0,TE,242.0,1.5365331393936585,88.03686396924324,17.3130227821451
R2_4B_OPT_06176,450.0,5.0,TM,242.0,1.6955062567749344,97.14535265122818,17.154049664763825
R2_4B_OPT_06176,450.0,7.0,TE,242.0,1.2992772379307993,74.44310215084968,17.55027868360796
R2_4B_OPT_06176,450.0,7.0,TM,242.0,1.4526920078149979,83.23312098018498,11.113678606544175
R2_4B_OPT_06176,450.0,10.0,TE,242.0,1.098752322585043,62.95387081431973,17.750803598953716
R2_4B_OPT_06176,450.0,10.0,TM,242.0,1.2291674217002897,70.42610557840368,11.337203192658883
R2_4B_OPT_06176,450.0,20.0,TE,242.0,0.8992894162864011,51.52548811399414,17.95026650525236
R2_4B_OPT_06176,450.0,20.0,TM,242.0,0.3648812085603486,20.906153274140742,12.201489405798824
R2_4B_OPT_06176,450.0,30.0,TE,242.0,0.8818176131131892,50.52442753168582,17.96773830842557
R2_4B_OPT_06176,450.0,30.0,TM,242.0,0.9924290945223049,56.86199858211791,17.857126827016454
R2_4B_OPT_06176,450.0,36.0,TE,242.0,0.054379780937277064,3.115731938551944,12.511990833421896
R2_4B_OPT_06176,450.0,36.0,TM,242.0,1.3968951490346462,80.03619646198337,13.963265763393819
R2_4B_OPT_06176,450.0,40.0,TE,242.0,1.099579580503924,63.001269201640376,13.665950194863097
R2_4B_OPT_06176,450.0,40.0,TM,242.0,1.5390382818829909,88.18039806096088,14.105408896242164
R2_4B_OPT_06176,450.0,60.0,TE,242.0,0.5229539002681372,29.963051365269628,12.043416714091036
R2_4B_OPT_06176,450.0,60.0,TM,242.0,1.2669034103373682,72.5882184630619,13.833274024696541
R2_4B_OPT_06176,453.0,0.0,TE,242.0,1.8005143306635965,103.16187209984642,17.049041590875163
R2_4B_OPT_06176,453.0,0.0,TM,242.0,1.8005143306635965,103.16187209984642,17.049041590875163
R2_4B_OPT_06176,453.0,5.0,TE,242.0,1.4367674796995586,82.3207127284329,17.4127884418392
R2_4B_OPT_06176,453.0,5.0,TM,242.0,1.5257198720375542,87.41730938699189,11.040650742321619
R2_4B_OPT_06176,453.0,7.0,TE,242.0,1.2885042247519365,73.82585396306203,17.561051696786823
R2_4B_OPT_06176,453.0,7.0,TM,242.0,1.3939153619178755,79.86546723634494,11.172455252441297
R2_4B_OPT_06176,453.0,10.0,TE,242.0,1.134760312259236,65.01697665140163,17.714795609279523
R2_4B_OPT_06176,453.0,10.0,TM,242.0,1.2345832299279462,70.73640853250062,11.331787384431227
R2_4B_OPT_06176,453.0,20.0,TE,242.0,0.9592674909264616,54.96197865419024,17.890288430612298
R2_4B_OPT_06176,453.0,20.0,TM,242.0,0.3747576013507446,21.472028897843863,12.191613013008428
R2_4B_OPT_06176,453.0,30.0,TE,242.0,0.9167217007035092,52.52428443836611,17.93283422083525
R2_4B_OPT_06176,453.0,30.0,TM,242.0,0.39282267871326654,22.507081587293698,18.456733242825493
R2_4B_OPT_06176,453.0,36.0,TE,242.0,0.07012521069468876,4.01787861027133,12.636495825053862
R2_4B_OPT_06176,453.0,36.0,TM,242.0,1.7201048972031212,98.55475092952317,14.286475511562294
R2_4B_OPT_06176,453.0,40.0,TE,242.0,2.2084460895792697,126.5346402150627,16.64110983195949
R2_4B_OPT_06176,453.0,40.0,TM,242.0,1.6179770882912599,92.70325850795496,14.184347702650433
R2_4B_OPT_06176,453.0,60.0,TE,242.0,0.5824453834433165,33.371662268180955,11.983925230915856
R2_4B_OPT_06176,453.0,60.0,TM,242.0,1.208019855746588,69.21443930228202,13.774390470105761
R2_4B_OPT_06176,456.0,0.0,TE,242.0,1.6057104797114554,92.00043360739319,17.243845441827304
R2_4B_OPT_06176,456.0,0.0,TM,242.0,1.605710479711457,92.00043360739329,10.960660134647716
R2_4B_OPT_06176,456.0,5.0,TE,242.0,1.4031699235187218,80.39571455731728,17.446385998020038
R2_4B_OPT_06176,456.0,5.0,TM,242.0,1.462426392591596,83.79086014404045,11.103944221767577
R2_4B_OPT_06176,456.0,7.0,TE,242.0,1.2980460658212756,74.37256118511975,17.551509855717484
R2_4B_OPT_06176,456.0,7.0,TM,242.0,1.375649882353326,78.8189323465138,11.190720732005847
R2_4B_OPT_06176,456.0,10.0,TE,242.0,1.1744235094822606,67.28951045427596,17.6751324120565
R2_4B_OPT_06176,456.0,10.0,TM,242.0,1.2504323942468898,71.64449875678542,11.315938220112283
R2_4B_OPT_06176,456.0,20.0,TE,242.0,1.017547281196699,58.30116466758245,17.83200864034206
R2_4B_OPT_06176,456.0,20.0,TM,242.0,0.3823851859287016,21.909057302039876,12.183985428430471
R2_4B_OPT_06176,456.0,30.0,TE,242.0,0.9481446476838585,54.32468668020348,17.9014112738549
R2_4B_OPT_06176,456.0,30.0,TM,242.0,0.20106460923929378,11.520153518858631,12.767435223598467
R2_4B_OPT_06176,456.0,36.0,TE,242.0,0.13322526829376485,7.633245597730788,12.699595882652938
R2_4B_OPT_06176,456.0,36.0,TM,242.0,2.029576979223472,116.28619510641572,14.595947593582645
R2_4B_OPT_06176,456.0,40.0,TE,242.0,0.836041232766656,47.90163413644386,11.730329381592517
R2_4B_OPT_06176,456.0,40.0,TM,242.0,1.6819698035016137,96.36977100909085,14.248340417860787
R2_4B_OPT_06176,456.0,60.0,TE,242.0,0.6411705629512974,36.7363672051364,11.925200051407876
R2_4B_OPT_06176,456.0,60.0,TM,242.0,1.1498917691064388,65.88394526663068,13.716262383465612
R2_4D2_OPT_13003,450.0,0.0,TE,238.0,2.401934527475732,137.62071109110911,16.447621394063027
R2_4D2_OPT_13003,450.0,0.0,TM,238.0,2.401934527475732,137.62071109110911,22.730806701242614
R2_4D2_OPT_13003,450.0,5.0,TE,238.0,2.3762323395300635,136.14808419757028,16.473323582008696
R2_4D2_OPT_13003,450.0,5.0,TM,238.0,2.3917145517964693,137.03514961796103,22.741026676921877
R2_4D2_OPT_13003,450.0,7.0,TE,238.0,2.3550106082436644,134.93216856089887,16.494545313295095
R2_4D2_OPT_13003,450.0,7.0,TM,238.0,2.380393920441521,136.386525219899,22.752347308276825
R2_4D2_OPT_13003,450.0,10.0,TE,238.0,2.319601722837061,132.90338886983812,16.5299541987017
R2_4D2_OPT_13003,450.0,10.0,TM,238.0,2.3497707224411295,134.63194521928312,22.782970506277216
R2_4D2_OPT_13003,450.0,20.0,TE,238.0,2.2830595466085777,130.80967639772277,16.566496374930182
R2_4D2_OPT_13003,450.0,20.0,TM,238.0,1.6104098621286949,92.269688386219,10.955960752230478
R2_4D2_OPT_13003,450.0,30.0,TE,238.0,2.479042567000083,142.03867632238237,16.370513354538677
R2_4D2_OPT_13003,450.0,30.0,TM,238.0,0.68347884529735,39.16045322201307,11.882891769061823
R2_4D2_OPT_13003,450.0,36.0,TE,238.0,1.971812214894485,112.97651790579691,16.877743706644274
R2_4D2_OPT_13003,450.0,36.0,TM,238.0,1.8044049598658034,103.38478873278324,17.045150961672956
R2_4D2_OPT_13003,450.0,40.0,TE,238.0,1.0646958750524242,61.002580105491944,11.501674739306749
R2_4D2_OPT_13003,450.0,40.0,TM,238.0,2.4610548446285287,141.00805574743924,16.38850107691023
R2_4D2_OPT_13003,450.0,60.0,TE,238.0,0.48998556405037386,28.0741048424235,12.076385050308799
R2_4D2_OPT_13003,450.0,60.0,TM,238.0,1.2117258724032154,69.42677841551195,13.778096486762388
R2_4D2_OPT_13003,453.0,0.0,TE,238.0,2.4518517339733537,140.48075634850585,16.397704187565406
R2_4D2_OPT_13003,453.0,0.0,TM,238.0,2.45185173397335,140.48075634850565,22.680889494744996
R2_4D2_OPT_13003,453.0,5.0,TE,238.0,2.4285773973420435,139.14723508856505,16.420978524196716
R2_4D2_OPT_13003,453.0,5.0,TM,238.0,2.441735028832796,139.9011118413736,22.69100619988555
R2_4D2_OPT_13003,453.0,7.0,TE,238.0,2.4093811989558,138.04737393833744,16.44017472258296
R2_4D2_OPT_13003,453.0,7.0,TM,238.0,2.430314784615139,139.24678004669317,22.702426444103207
R2_4D2_OPT_13003,453.0,10.0,TE,238.0,2.377474904248758,136.21927791172334,16.47208101729
R2_4D2_OPT_13003,453.0,10.0,TM,238.0,2.398809617189273,137.441666920338,16.450746304349487
R2_4D2_OPT_13003,453.0,20.0,TE,238.0,2.3490713069564153,134.5918716638829,16.500484614582344
R2_4D2_OPT_13003,453.0,20.0,TM,238.0,1.601609754852309,91.76547938001973,10.964760859506864
