candidate_id,wavelength_nm,angle_deg_internal_GaN,polarization,phase_error_deg,R_top,R_bottom
R2_4B_OPT_06361,445.0,0.0,TE,70.12666030432172,0.5787029116666518,0.9999911436718862
R2_4B_OPT_06361,445.0,5.0,TE,59.73212817867279,0.7409354782284303,0.9999940734312328
R2_4B_OPT_06361,445.0,10.0,TE,36.557111368393954,0.5895147826208758,0.9999978998140597
R2_4B_OPT_06361,445.25,0.0,TE,69.87345936782671,0.5916137952216735,0.9999912844917542
R2_4B_OPT_06361,445.25,5.0,TE,59.75208064783658,0.7457777949350749,0.9999941533262758
R2_4B_OPT_06361,445.25,10.0,TE,36.30684736078193,0.5663395292075545,0.9999979151433604
R2_4B_OPT_06361,445.5,0.0,TE,69.63982693512244,0.6038959496474192,0.9999914215419671
R2_4B_OPT_06361,445.5,5.0,TE,59.781928923326106,0.7503212413464111,0.9999942312101635
R2_4B_OPT_06361,445.5,10.0,TE,36.04765275288531,0.541012985524532,0.9999979300996078
R2_4B_OPT_06361,445.75,0.0,TE,69.42534484689435,0.615571922180282,0.9999915549409734
R2_4B_OPT_06361,445.75,5.0,TE,59.82112551351815,0.7545779394944043,0.9999943071407063
R2_4B_OPT_06361,445.75,10.0,TE,35.79121351830076,0.5134067626745442,0.9999979446905469
R2_4B_OPT_06361,446.0,0.0,TE,69.22952957943957,0.6266646990415596,0.9999916848027985
R2_4B_OPT_06361,446.0,5.0,TE,59.86913832504143,0.7585591398386115,0.9999943811737002
R2_4B_OPT_06361,446.0,10.0,TE,35.55538169799854,0.48342951180133725,0.9999979589236897
R2_4B_OPT_06361,446.25,0.0,TE,69.05184875238088,0.637197384116555,0.9999918112372302
R2_4B_OPT_06361,446.25,5.0,TE,59.92545000467802,0.7622752512067077,0.9999944533630073
R2_4B_OPT_06361,446.25,10.0,TE,35.36697207889656,0.4510525264671571,0.9999979728063197
R2_4B_OPT_06361,446.5,0.0,TE,68.8917345693949,0.6471929389679845,0.9999919343499973
R2_4B_OPT_06361,446.5,5.0,TE,59.98955719934525,0.7657358698381731,0.9999945237606274
R2_4B_OPT_06361,446.5,10.0,TE,35.26583352387392,0.4163448019281476,0.9999979863455005
R2_4B_OPT_06361,446.75,0.0,TE,68.74859472799334,0.6566739752929803,0.9999920542429381
R2_4B_OPT_06361,446.75,5.0,TE,60.060969751660046,0.7689498070934913,0.999994592416772
R2_4B_OPT_06361,446.75,10.0,TE,35.31076010190029,0.3795189477272789,0.9999979995480829
R2_4B_OPT_06361,447.0,0.0,TE,68.62182123921201,0.665662591853167,0.9999921710141613
R2_4B_OPT_06361,447.0,5.0,TE,60.1392098449666,0.7719251154768828,0.9999946593799355
R2_4B_OPT_06361,447.0,10.0,TE,35.58798597191276,0.3409879233974136,0.9999980124207104
R2_4B_OPT_06361,447.25,0.0,TE,68.51079752057994,0.674180248820813,0.999992284758204
R2_4B_OPT_06361,447.25,5.0,TE,60.223811108720824,0.7746691126882571,0.9999947246969557
R2_4B_OPT_06361,447.25,10.0,TE,36.223074812677865,0.30142955021188866,0.9999980249698279
R2_4B_OPT_06361,447.5,0.0,TE,68.41490406240297,0.6822476733581708,0.9999923955661718
R2_4B_OPT_06361,447.5,5.0,TE,60.31431769259816,0.7771884034723938,0.9999947884130853
R2_4B_OPT_06361,447.5,10.0,TE,37.39652696935116,0.2618505327655661,0.9999980372016849
R2_4B_OPT_06361,447.75,0.0,TE,68.33352291546069,0.6898847910612016,0.9999925035258864
R2_4B_OPT_06361,447.75,5.0,TE,60.410283315631574,0.7794888990727301,0.9999948505720448
R2_4B_OPT_06361,447.75,10.0,TE,39.36104837981006,0.22363418084970438,0.9999980491223424
R2_4B_OPT_06361,448.0,0.0,TE,68.26604120547688,0.6971106786420261,0.9999926087220173
R2_4B_OPT_06361,448.0,5.0,TE,60.51127029491272,0.7815758341255029,0.9999949112160853
R2_4B_OPT_06361,448.0,10.0,TE,42.450658985321816,0.188547426319576,0.9999980607376777
R2_4B_OPT_06361,448.25,0.0,TE,68.21185384450088,0.7039435338919516,0.999992711236203
R2_4B_OPT_06361,448.25,5.0,TE,60.61684855695106,0.7834537808489185,0.9999949703860409
R2_4B_OPT_06361,448.25,10.0,TE,47.05189321557856,0.15867686268143627,0.9999980720533943
R2_4B_OPT_06361,448.5,0.0,TE,68.17036558021626,0.710400659558979,0.9999928111471829
R2_4B_OPT_06361,448.5,5.0,TE,60.72659463354625,0.785126660392825,0.999995028121383
R2_4B_OPT_06361,448.5,10.0,TE,53.47329278959405,0.13626704127900385,0.9999980830750206
R2_4B_OPT_06361,448.75,0.0,TE,68.14099250009112,0.7164984582930719,0.9999929085309073
R2_4B_OPT_06361,448.75,5.0,TE,60.84009064302005,0.7865977512180393,0.9999950844602717
R2_4B_OPT_06361,448.75,10.0,TE,61.651163413846845,0.12345439601278306,0.9999980938079176
R2_4B_OPT_06361,449.0,0.0,TE,68.12316308730261,0.7222524362641228,0.9999930034606501
R2_4B_OPT_06361,449.0,5.0,TE,60.956923256775184,0.7878696943718959,0.9999951394396053
