candidate_id,changed_side,base_termination_nm,termination_delta_nm,new_termination_nm,normal_error_deg_453_TE,best_offaxis_angle_deg,best_offaxis_error_deg_453_TE,phase_margin_deg_offaxis_minus_normal
R2_4D2_OPT_13003,top,90.0,-40,50.0,85.30534418859304,55.0,17.025949798079004,-68.27939439051404
R2_4D2_OPT_13003,top,90.0,-35,55.0,92.79977456504089,51.0,10.203399390667618,-82.59637517437328
R2_4D2_OPT_13003,top,90.0,-30,60.0,99.91711106326112,51.0,2.1605533169029565,-97.75655774635815
R2_4D2_OPT_13003,top,90.0,-25,65.0,106.77026375611078,53.0,3.898005552656452,-102.87225820345434
R2_4D2_OPT_13003,top,90.0,-20,70.0,113.46105076843365,52.0,0.06689919546874439,-113.3941515729649
R2_4D2_OPT_13003,top,90.0,-15,75.0,120.08444641817162,53.0,1.7719423464106565,-118.31250407176097
R2_4D2_OPT_13003,top,90.0,-10,80.0,126.73258332933388,47.0,2.1321820198258163,-124.60040130950806
R2_4D2_OPT_13003,top,90.0,-5,85.0,133.49863732924672,55.0,1.1772431160089962,-132.3213942132377
R2_4D2_OPT_13003,top,90.0,0,90.0,140.48075634850585,55.0,0.2675941779009562,-140.2131621706049
R2_4D2_OPT_13003,top,90.0,5,95.0,147.78618323392655,55.0,0.47075179037795134,-147.3154314435486
R2_4D2_OPT_13003,top,90.0,10,100.0,155.53565897444818,39.0,0.38778614915173265,-155.14787282529647
R2_4D2_OPT_13003,top,90.0,15,105.0,163.8680334046309,55.0,1.556307462523035,-162.31172594210787
R2_4D2_OPT_13003,top,90.0,20,110.0,172.94465833785688,49.0,0.04458169227647562,-172.90007664558038
R2_4D2_OPT_13003,top,90.0,25,115.0,177.04758406756343,56.0,1.1121993398414816,-175.93538472772198
R2_4D2_OPT_13003,top,90.0,30,120.0,165.8971309960427,56.0,0.9029839792466672,-164.99414701679603
R2_4D2_OPT_13003,top,90.0,35,125.0,153.3772700789184,56.0,0.7340517948141987,-152.64321828410422
R2_4D2_OPT_13003,top,90.0,40,130.0,139.27219003651211,56.0,0.597641368070786,-138.67454866844133
R2_4D2_OPT_13003,bottom,76.0,-40,36.0,81.75760224418158,52.0,23.142453342656488,-58.6151489015251
R2_4D2_OPT_13003,bottom,76.0,-35,41.0,90.60924598625316,52.0,15.496061506706178,-75.11318447954697
R2_4D2_OPT_13003,bottom,76.0,-30,46.0,98.76406624811985,52.0,8.738845369612495,-90.02522087850735
R2_4D2_OPT_13003,bottom,76.0,-25,51.0,106.37675196850306,52.0,2.8670423370836944,-103.50970963141937
R2_4D2_OPT_13003,bottom,76.0,-20,56.0,113.58064444761528,36.0,2.1453207509771812,-111.43532369663811
R2_4D2_OPT_13003,bottom,76.0,-15,61.0,120.49226621360025,47.0,4.217648401925151,-116.2746178116751
R2_4D2_OPT_13003,bottom,76.0,-10,66.0,127.21589659899547,47.0,1.377383827807645,-125.83851277118782
R2_4D2_OPT_13003,bottom,76.0,-5,71.0,133.84789486537161,53.0,2.7486229242242564,-131.09927194114735
R2_4D2_OPT_13003,bottom,76.0,0,76.0,140.48075634850585,55.0,0.2675941779009562,-140.2131621706049
R2_4D2_OPT_13003,bottom,76.0,5,81.0,147.20701278081467,56.0,1.2788129533326758,-145.928199827482
R2_4D2_OPT_13003,bottom,76.0,10,86.0,154.12313415426786,56.0,0.2663941765328423,-153.856739977735
R2_4D2_OPT_13003,bottom,76.0,15,91.0,161.33358909564407,54.0,1.4722215091065445,-159.86136758653754
R2_4D2_OPT_13003,bottom,76.0,20,96.0,168.9551734455359,56.0,2.5208338817280547,-166.43433956380787
R2_4D2_OPT_13003,bottom,76.0,25,101.0,177.12158897397876,56.0,3.333627026385001,-173.78796194759377
R2_4D2_OPT_13003,bottom,76.0,30,106.0,174.01203463428365,57.0,3.326833654607765,-170.6852009796759
R2_4D2_OPT_13003,bottom,76.0,35,111.0,164.26558480908827,57.0,2.930818160231079,-161.33476664885717
R2_4D2_OPT_13003,bottom,76.0,40,116.0,153.43345681796555,57.0,2.612692444025969,-150.8207643739396
R2_4D2_OPT_13010,top,86.0,-40,46.0,121.99133441550805,52.0,0.8123056024130946,-121.17902881309496
R2_4D2_OPT_13010,top,86.0,-35,51.0,129.60361483136973,52.0,0.3096236935724341,-129.2939911377973
R2_4D2_OPT_13010,top,86.0,-30,56.0,136.80720850969084,52.0,0.10527685954013258,-136.70193165015073
R2_4D2_OPT_13010,top,86.0,-25,61.0,143.71862553287582,52.0,0.4476466746109144,-143.27097885826493
R2_4D2_OPT_13010,top,86.0,-20,66.0,150.4421366198519,49.0,0.655829775135127,-149.78630684471676
R2_4D2_OPT_13010,top,86.0,-15,71.0,157.0740960018134,52.0,0.9631262656077735,-156.11096973620562
R2_4D2_OPT_13010,top,86.0,-10,76.0,163.70699737501803,45.0,0.9838288414661099,-162.72316853355193
R2_4D2_OPT_13010,top,86.0,-5,81.0,170.4333741538092,52.0,1.3138306957840165,-169.1195434580252
R2_4D2_OPT_13010,top,86.0,0,86.0,177.34970140469252,52.0,1.4445520550329274,-175.9051493496596
R2_4D2_OPT_13010,top,86.0,5,91.0,175.43954358475736,52.0,1.5523493555051293,-173.8871942292522
R2_4D2_OPT_13010,top,86.0,10,96.0,167.8175524780386,52.0,1.6412383281857452,-166.17631414985286
R2_4D2_OPT_13010,top,86.0,15,101.0,159.65060703237515,52.0,1.7145326834263173,-157.93607434894884
R2_4D2_OPT_13010,top,86.0,20,106.0,150.7835574320975,52.0,1.774966359258314,-149.00859107283918
R2_4D2_OPT_13010,top,86.0,25,111.0,141.03626881234518,52.0,1.8247946422515293,-139.21147417009365
R2_4D2_OPT_13010,top,86.0,30,116.0,130.2031159836707,52.0,1.8658777572778211,-128.33723822639288
R2_4D2_OPT_13010,top,86.0,35,121.0,118.05964147695113,52.0,1.8997499296352758,-116.15989154731585
R2_4D2_OPT_13010,top,86.0,40,126.0,104.38341609338532,41.0,0.5203812168174976,-103.86303487656784
R2_4D2_OPT_13010,bottom,69.0,-40,29.0,117.8087404306179,44.0,14.612390661611677,-103.19634976900622
R2_4D2_OPT_13010,bottom,69.0,-35,34.0,126.90201368779255,44.0,16.901408804662896,-110.00060488312965
R2_4D2_OPT_13010,bottom,69.0,-30,39.0,135.24756643315962,49.0,17.445327274870028,-117.8022391582896
R2_4D2_OPT_13010,bottom,69.0,-25,44.0,143.00723737183188,49.0,11.578140017738939,-131.42909735409293
R2_4D2_OPT_13010,bottom,69.0,-20,49.0,150.32028397101436,49.0,6.307111191693194,-144.0131727793212
R2_4D2_OPT_13010,bottom,69.0,-15,54.0,157.3077628593047,49.0,1.6334451217412893,-155.6743177375634
R2_4D2_OPT_13010,bottom,69.0,-10,59.0,164.07714198363615,49.0,2.4660087141850173,-161.61113326945113
R2_4D2_OPT_13010,bottom,69.0,-5,64.0,170.72670944904868,52.0,1.6207623353466312,-169.10594711370206
R2_4D2_OPT_13010,bottom,69.0,0,69.0,177.34970140469252,52.0,1.4445520550329274,-175.9051493496596
R2_4D2_OPT_13010,bottom,69.0,5,74.0,175.96176654595084,52.0,4.0042354658338155,-171.95753108011704
R2_4D2_OPT_13010,bottom,69.0,10,79.0,169.1128151749333,51.0,4.421256250815369,-164.69155892411794
R2_4D2_OPT_13010,bottom,69.0,15,84.0,162.00180330245428,51.0,3.722296194582025,-158.27950710787223
R2_4D2_OPT_13010,bottom,69.0,20,89.0,154.51608533291562,54.0,2.427686537586853,-152.08839879532877
R2_4D2_OPT_13010,bottom,69.0,25,94.0,146.52749251144004,41.0,0.09505006807505136,-146.43244244336498
R2_4D2_OPT_13010,bottom,69.0,30,99.0,137.8877343108859,54.0,0.4971447633054416,-137.39058954758045
R2_4D2_OPT_13010,bottom,69.0,35,104.0,128.4244042316128,54.0,1.5700973452733151,-126.8543068863395
R2_4D2_OPT_13010,bottom,69.0,40,109.0,117.93924231072388,45.0,1.5707176867669306,-116.36852462395694
