candidate_id,wavelength_nm,angle_deg_internal_GaN,polarization,phase_error_deg,R_top,R_bottom
R2_4B_OPT_06361,445.0,20.0,TE,68.99678547552756,0.9999549239998072,0.9999998219856719
R2_4B_OPT_06361,445.0,30.0,TE,111.18856958266441,1.0,0.9999999999999998
R2_4B_OPT_06361,445.0,36.0,TE,119.6496201661129,1.0,1.0
R2_4B_OPT_06361,445.0,40.0,TE,117.63460913942319,1.0,1.0
R2_4B_OPT_06361,445.0,60.0,TE,173.42455742049208,1.0,1.0
R2_4B_OPT_06361,445.25,20.0,TE,69.52917353155212,0.9999551919041897,0.9999998204942783
R2_4B_OPT_06361,445.25,30.0,TE,111.64888974630605,1.0,1.0
R2_4B_OPT_06361,445.25,36.0,TE,118.91596223239793,1.0,1.0
R2_4B_OPT_06361,445.25,40.0,TE,115.16902305562773,1.0,1.0000000000000004
R2_4B_OPT_06361,445.25,60.0,TE,173.0230109379448,1.0,1.0
R2_4B_OPT_06361,445.5,20.0,TE,70.06076921472463,0.999955453753154,0.9999998189760464
R2_4B_OPT_06361,445.5,30.0,TE,112.1078343513839,1.0,1.0
R2_4B_OPT_06361,445.5,36.0,TE,118.07418569799508,1.0,1.0
R2_4B_OPT_06361,445.5,40.0,TE,112.56489861968375,0.9999999999999998,1.0
R2_4B_OPT_06361,445.5,60.0,TE,172.62190461591754,1.0,0.9999999999999998
R2_4B_OPT_06361,445.75,20.0,TE,70.59157164040609,0.9999557096617059,0.9999998174305121
R2_4B_OPT_06361,445.75,30.0,TE,112.56539906505103,1.0,1.0
R2_4B_OPT_06361,445.75,36.0,TE,117.10608724206928,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,445.75,40.0,TE,109.81093305823732,1.0,1.0
R2_4B_OPT_06361,445.75,60.0,TE,172.22123772681795,0.9999999999999998,1.0
R2_4B_OPT_06361,446.0,20.0,TE,71.12157993352686,0.9999559597416983,0.9999998158572014
R2_4B_OPT_06361,446.0,30.0,TE,113.02157947046857,1.0,1.0
R2_4B_OPT_06361,446.0,36.0,TE,115.98898629898183,1.0,0.9999999999999998
