candidate_id,source_stage,layer_reconstruction,reconstructable
R2_4B_OPT_06361,R2-4B,manifest,True
R2_4B_OPT_06176,R2-4B,manifest,True
R2_4D2_OPT_13003,R2-4D2,manifest,True
R2_4D2_OPT_13010,R2-4D2,manifest,True
R2_4D2_OPT_13013,R2-4D2,manifest,True
R2_4D2_OPT_12232,R2-4D2,regenerated_from_candidate_parameters,True
R2_4D2_OPT_03742,R2-4D2,regenerated_from_candidate_parameters,True
