candidate_id,polarization,cavity_spacer_nm,normal_error_deg_453,best_offaxis_angle_deg_20_60,best_offaxis_error_deg_453,phase_margin_deg_offaxis_minus_normal,normal_reachable_le_15deg,normal_beats_offaxis
R2_4B_OPT_06361,TE,160.0,65.11365017846853,35.0,8.684796092694974,-56.42885408577355,False,False
R2_4B_OPT_06361,TE,162.0,56.97590183409766,34.0,2.416454315779365,-54.5594475183183,False,False
R2_4B_OPT_06361,TE,164.0,48.83815348972679,33.0,2.439806297261434,-46.398347192465366,False,False
R2_4B_OPT_06361,TE,166.0,40.700405145355916,32.0,0.4212007350998828,-40.27920441025603,False,False
R2_4B_OPT_06361,TE,168.0,32.56265680098504,28.0,0.1291455367093589,-32.43351126427568,False,False
R2_4B_OPT_06361,TE,170.0,24.424908456614173,20.0,0.33559504040354654,-24.089313416210626,False,False
R2_4B_OPT_06361,TE,172.0,16.2871601122433,20.0,7.311387028614497,-8.975773083628804,False,False
R2_4B_OPT_06361,TE,174.0,8.14941176787253,38.0,9.02917045556194,0.8797586876894109,True,True
R2_4B_OPT_06361,TE,176.0,0.011663423501657121,38.0,2.6165372500523483,2.604873826550691,True,True
R2_4B_OPT_06361,TE,178.0,8.126084920869216,38.0,3.7960959554571443,-4.329988965412072,True,False
R2_4B_OPT_06361,TE,180.0,16.263833265240088,38.0,10.208729160966739,-6.055104104273348,False,False
R2_4B_OPT_06361,TE,182.0,24.40158160961096,48.0,8.76143918733081,-15.640142422280148,False,False
R2_4B_OPT_06361,TE,184.0,32.53932995398183,48.0,3.316222703266132,-29.2231072507157,False,False
R2_4B_OPT_06361,TE,186.0,40.677078298352704,48.0,2.1289937807985466,-38.54808451755416,False,False
R2_4B_OPT_06361,TE,188.0,48.81482664272358,48.0,7.5742102648632255,-41.24061637786035,False,False
R2_4B_OPT_06361,TE,190.0,56.952574987094444,48.0,13.019426748927906,-43.93314823816654,False,False
R2_4B_OPT_06361,TE,192.0,65.09032333146533,48.0,18.464643232992582,-46.62568009847274,False,False
R2_4B_OPT_06361,TE,194.0,73.22807167583609,48.0,23.909859717057266,-49.31821195877883,False,False
R2_4B_OPT_06361,TE,196.0,81.36582002020697,40.0,27.06381890003953,-54.30200112016744,False,False
R2_4B_OPT_06361,TE,198.0,89.50356836457784,40.0,20.82994200133352,-68.67362636324432,False,False
R2_4B_OPT_06361,TE,200.0,97.64131670894871,40.0,14.596065102627618,-83.0452516063211,False,False
R2_4B_OPT_06361,TE,202.0,105.77906505331958,40.0,8.362188203921612,-97.41687684939798,False,False
R2_4B_OPT_06361,TE,204.0,113.91681339769046,40.0,2.128311305215707,-111.78850209247476,False,False
R2_4B_OPT_06361,TE,206.0,122.05456174206132,40.0,4.105565593490299,-117.94899614857103,False,False
R2_4B_OPT_06361,TE,208.0,130.1923100864322,40.0,10.339442492196204,-119.852867594236,False,False
R2_4B_OPT_06361,TE,210.0,138.33005843080306,40.0,16.57331939090221,-121.75673903990086,False,False
R2_4B_OPT_06361,TE,212.0,146.46780677517384,47.0,11.630653473983642,-134.8371533011902,False,False
