candidate_id,source_stage,layer_reconstruction,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_layers,bottom_layers
R2_4B_OPT_06361,R2-4B,manifest,8,12,336.0,63.0,61.0,17,25
R2_4B_OPT_06176,R2-4B,manifest,10,12,242.0,46.0,63.0,21,25
R2_4D2_OPT_13003,R2-4D2,manifest,8,12,238.0,90.0,76.0,17,25
R2_4D2_OPT_13010,R2-4D2,manifest,8,11,228.0,86.0,69.0,17,23
R2_4D2_OPT_13013,R2-4D2,manifest,6,10,231.0,90.0,70.0,13,21
R2_4D2_OPT_12232,R2-4D2,regenerated_from_candidate_parameters,7,11,244.0,39.0,53.0,15,23
R2_4D2_OPT_03742,R2-4D2,regenerated_from_candidate_parameters,8,12,331.0,58.0,80.0,17,25
