candidate_id,wavelength_nm,angle_deg_internal_GaN,polarization,phi_top_rad,phi_bottom_rad,R_top,R_bottom
R2_4B_OPT_06361,450.0,0.0,TE,-0.30238128199058667,0.22537183759943397,0.7421095920953247,0.9999933600174499
R2_4B_OPT_06361,450.0,0.0,TM,2.8392113715992062,-2.9162208159903593,0.7421095920953249,0.9999933600174497
R2_4B_OPT_06361,450.0,5.0,TE,-0.12957255262201264,0.26102405439055804,0.7909965187900247,0.9999953464576774
R2_4B_OPT_06361,450.0,5.0,TM,2.97288508788658,-2.8815959516394947,0.7702604098574096,0.9999931181482961
R2_4B_OPT_06361,450.0,7.0,TE,0.029380575900305107,0.29408253456173,0.7702975959994894,0.9999966103484598
R2_4B_OPT_06361,450.0,7.0,TM,3.0949836351925306,-2.8470919802920918,0.7588370500079378,0.9999927024448065
R2_4B_OPT_06361,450.0,10.0,TE,-0.5557019884168687,0.36111864627387025,0.23178738160483173,0.9999981433180746
R2_4B_OPT_06361,450.0,10.0,TM,-2.8645108261740932,-2.7688429247894866,0.5032872043431301,0.9999910368504084
R2_4B_OPT_06361,450.0,20.0,TE,0.4715231155125273,0.7021996986462883,0.9999592487115262,0.9999997864748963
R2_4B_OPT_06361,450.0,20.0,TM,-2.693226235322652,-1.9865115905991866,0.9904666358426116,0.9993540439572076
R2_4B_OPT_06361,450.0,30.0,TE,1.0044875831149425,1.2295181540870317,1.0,0.9999999999999998
R2_4B_OPT_06361,450.0,30.0,TM,-0.08903801849669848,-1.1631378473317255,1.0,0.9999999999999998
R2_4B_OPT_06361,450.0,36.0,TE,1.4156290405626846,-0.8210077897540448,0.9999999999999998,1.0
R2_4B_OPT_06361,450.0,36.0,TM,1.6249381235538924,1.6573062892873673,1.0,1.0
R2_4B_OPT_06361,450.0,40.0,TE,2.188433404818153,-2.0621671005476627,1.0,0.9999999999999998
R2_4B_OPT_06361,450.0,40.0,TM,1.187262307918335,-1.1503190256575901,0.9999999999999998,1.0
R2_4B_OPT_06361,450.0,60.0,TE,1.727113849285588,1.7172661426455054,0.9999999999999998,1.0
R2_4B_OPT_06361,450.0,60.0,TM,2.6114919114973736,2.607699514919338,1.0,0.9999999999999998
R2_4B_OPT_06361,453.0,0.0,TE,-0.18551594248248665,0.25299878859648084,0.7770049770075979,0.9999942394944915
R2_4B_OPT_06361,453.0,0.0,TM,2.9560767111073063,-2.8885938649933123,0.7770049770075981,0.9999942394944913
R2_4B_OPT_06361,453.0,5.0,TE,-0.023936029095416724,0.28778360297768796,0.7807035946619878,0.9999958600766323
