set_name,geometry_count,nearest_hf_distance_min,nearest_hf_distance_median,nearest_hf_distance_mean,nearest_hf_distance_p90,nearest_hf_distance_max,all_inside_development_bounds
current_hf9,9,0.0,2.29094925238853,2.20530676153701,3.997524257828482,4.966076494863735,True
hf9_plus_primary4,13,0.0,1.827483145206842,1.7095408404876575,3.4420852073004364,4.245526900473152,True
hf9_plus_first6,15,0.0,1.6301775355055823,1.6044156834898182,3.4420852073004364,4.245526900473152,True
hf9_plus_first8,17,0.0,1.5384716861131522,1.5303148795874117,3.4420852073004364,4.245526900473152,True
