geometry_id,geometry_hash,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,is_current_hf9,is_effective_candidate
K6X_D100_D115_D130_D145_D155_D185,42d96454a34a0ccbde1bba64746f5920389e2a2924569a69ee7f2aac08a6bcde,-0.7618369437122462,-0.8047874574818527,-0.702692720423046,-0.7512512753161822,-0.9943036823259723,-0.7808688094430319,-0.23792360464492313,0.1496884731839725,-0.13037998031212344,-0.40418947921065385,0.5378561975930831,0.8454561679484036,0.7688458470423419,0.7663041070660107,0.9056948903210099,0.9491315978405227,-0.0673038343952101,-0.9662192178938587,-0.28395871739992895,-0.11437725271792057,True,False
K6X_D110_D125_D135_D150_D175_D190,e599c908c3befb142dacc503b37f1aefc68655082078b987ae553e49f60ec84f,-0.3555239070657151,-0.4644368146701437,-0.5413087463545944,-0.5971484496102984,-0.3621635929001882,-0.5934602951767047,-0.23792360464492374,-0.24948078863995654,-0.13037998031212472,0.45174118264720037,-0.22147019900891693,0.44661689461647774,0.5149151085696412,0.6002427204331948,0.5001598648041397,0.4953635032554121,-0.2288330369437149,-0.5888791683021728,-0.2708258058518574,0.43463356032809436,False,True
K6X_D110_D125_D135_D150_D175_D195,8dec6f5b0c5e14724c2affbc607009cd1dc9594a8198830842a33521d111b112,-0.3555239070657151,-0.4644368146701437,-0.5413087463545944,-0.5971484496102984,-0.3621635929001882,-0.4060517809103776,-0.23792360464492374,-0.24948078863995654,-0.13037998031212472,0.45174118264720037,0.03163859985841597,0.44661689461647774,0.5149151085696412,0.6002427204331948,0.5001598648041397,0.4046098843383896,-0.06730383439521051,-0.5545755274302013,-0.1655212428692377,0.2516299559794235,False,True
K6X_D110_D125_D135_D155_D175_D195,a3ad99978a51c5a5a648762b417ca3aafec573a1e02d054ff42fa2f542719e2f,-0.3555239070657151,-0.4644368146701437,-0.5413087463545944,-0.4430456239044146,-0.3621635929001882,-0.4060517809103776,-0.23792360464492374,-0.24948078863995654,0.11994958188715285,0.1664309620279161,0.03163859985841597,0.44661689461647774,0.5149151085696412,0.5172120271167877,0.4190528597007653,0.4046098843383896,-0.06730383439521051,-0.5202718865582308,-0.15687842521100398,0.06862635163075262,False,True
K6X_D115_D125_D135_D155_D180_D195,6b0dc7669084190a35b027ffcb34fdd72c7abeb62142a2c3b5c97fe4747d18c8,-0.15236738874244976,-0.4644368146701437,-0.5413087463545944,-0.4430456239044146,-0.20412857054374237,-0.4060517809103776,-0.48090941364399403,-0.24948078863995654,0.11994958188715285,0.45174118264720037,-0.22147019900891693,0.34690707628349704,0.5149151085696412,0.5172120271167877,0.33794585459739174,0.31385626542136713,-0.2288330369437149,-0.4516646048142877,-0.17999708923477473,0.43463356032809436,False,True
K6X_D125_D135_D150_D175_D190_D210,06f49f63b580719dd1345d98f28881538154de46899e4d633dbf6dacce51c0f9,0.25394564790408086,-0.1240861718584338,-0.057156824149242225,0.17336567891912133,0.11194147416914929,0.15617376188860388,-0.4809094136439928,0.1496884731839725,0.3702791440864317,-0.1188792585913696,0.03163859985841597,-0.05193219704842888,0.09169721111514154,-0.06400282609806518,-0.14869617602285198,-0.13991182916374253,-0.06730383439521051,0.09719364913725374,-0.07769080037115803,0.06862635163075076,True,False
K6X_D125_D135_D150_D175_D195_D210,ba68207f7cbc118689cd26066f5c7ffe384d880c539cbbc9c6af112f2dc24d18,0.25394564790408086,-0.1240861718584338,-0.057156824149242225,0.17336567891912133,0.26997649652559513,0.15617376188860388,-0.4809094136439928,0.1496884731839725,0.3702791440864317,0.16643096202791466,-0.22147019900891693,-0.05193219704842888,0.09169721111514154,-0.06400282609806518,-0.22980318112622636,-0.2306654480807641,-0.06730383439521051,0.13149729000922528,-0.01632919168104609,0.2516299559794216,False,True
K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,0.4571021662273462,0.21626447095327517,0.10422714991920849,0.3274685046250051,0.26997649652559513,0.9058078189539135,-0.23792360464492252,-0.24948078863995857,0.3702791440864317,-0.1188792585913696,0.790964996460416,-0.35106165204737205,-0.16223352735755756,-0.23006421273088018,-0.3109101862296007,-0.5936799237488531,0.41728377325030347,0.44023005785696806,0.1895686321726074,-0.6633880657639336,True,False
K6X_D110_D190_D210_D215_D220_D225,02a7beacb7a5e503de03a7aae4857727444d893b2052182e874bb2b2f32680e7,-0.3555239070657151,1.7478423636059666,1.8794508646721673,1.4061882845661924,1.060151608307825,0.7183993046875863,2.9208919123429924,0.5488577350079036,-0.6310391047106786,-0.6894996998299381,-0.7276877967435827,-0.8496107437122786,-1.8551051171755553,-1.724616692426216,-1.2841942474700883,-0.9566943994169422,0.9018713808958166,1.3664283614001964,0.6792083934495105,-1.2123988788099462,False,True
K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,-0.7618369437122462,-1.1451381002935621,-1.186844642628398,-1.5217654038456019,-1.942513816464648,-2.8423624663726326,-0.7238952226430644,-0.24948078863995757,-0.6310391047106799,-0.6894996998299381,-0.7276877967435827,1.044875804614366,1.1920637444968407,1.4305496535972706,1.7978719464581245,2.4919431194298975,-1.84412506242876,-1.892417521437087,-1.6602236561258872,1.5326551864201194,True,False
