monitor_name,wavelength_nm,path_a_monitor_T,path_b_raw_pz_over_source,path_c_eh_poynting_over_source,sourcepower_W,raw_pz_W,eh_poynting_W,run_id
transmission_monitor,445.0,0.9767040658761833,0.9767040658761841,0.9767040658761839,9.117367225106235e-16,1.7809939277695043e-15,8.90496963884752e-16,RUN2
transmission_monitor,445.99999999999994,0.9767138407897014,0.9767138407897018,0.9767138407897018,9.119289125760428e-16,1.781387181458646e-15,8.90693590729323e-16,RUN2
transmission_monitor,446.99999999999994,0.9767147395632688,0.9767147395632688,0.9767147395632688,9.121198272574595e-16,1.7817617590605267e-15,8.908808795302633e-16,RUN2
transmission_monitor,448.00000000000006,0.9767098359027383,0.9767098359027384,0.9767098359027384,9.123094777851613e-16,1.7821232806801157e-15,8.910616403400578e-16,RUN2
transmission_monitor,449.0,0.976711294070272,0.9767112940702721,0.9767112940702721,9.12497875266428e-16,1.7824939611756934e-15,8.912469805878467e-16,RUN2
transmission_monitor,450.0,0.9767201049145585,0.9767201049145579,0.9767201049145579,9.126850306871428e-16,1.782875637853385e-15,8.914378189266926e-16,RUN2
transmission_monitor,450.9999999999999,0.9767250041015216,0.9767250041015213,0.9767250041015213,9.128709549133736e-16,1.783247774363849e-15,8.916238871819245e-16,RUN2
transmission_monitor,451.99999999999994,0.9767207518378677,0.9767207518378672,0.9767207518378672,9.13055658692935e-16,1.7836008188567653e-15,8.918004094283827e-16,RUN2
transmission_monitor,453.00000000000006,0.9767157441605989,0.9767157441605994,0.9767157441605994,9.13239152656925e-16,1.7839501171678072e-15,8.919750585839036e-16,RUN2
transmission_monitor,453.9999999999999,0.9767179682485309,0.9767179682485301,0.9767179682485301,9.134214473212381e-16,1.7843102803644628e-15,8.921551401822314e-16,RUN2
transmission_monitor,455.00000000000006,0.9767225485397556,0.9767225485397553,0.9767225485397553,9.136025530880566e-16,1.7846724280091875e-15,8.923362140045937e-16,RUN2
reflection_monitor,445.0,0.020393400701506175,0.02039340070150619,0.02039340070150619,9.117367225106235e-16,-3.7186824632874204e-17,-1.8593412316437102e-17,RUN2
reflection_monitor,445.99999999999994,0.02040037336856913,0.020400373368569136,0.020400373368569136,9.119289125760428e-16,-3.720738060428903e-17,-1.8603690302144516e-17,RUN2
reflection_monitor,446.99999999999994,0.020424331383307022,0.02042433138330702,0.02042433138330702,9.121198272574595e-16,-3.725887522638221e-17,-1.8629437613191106e-17,RUN2
reflection_monitor,448.00000000000006,0.02045669023498004,0.020456690234980035,0.020456690234980035,9.123094777851613e-16,-3.732566477097489e-17,-1.8662832385487443e-17,RUN2
reflection_monitor,449.0,0.020477890578983665,0.02047789057898366,0.02047789057898366,9.12497875266428e-16,-3.737206328652199e-17,-1.8686031643260995e-17,RUN2
reflection_monitor,450.0,0.020490590956797155,0.02049059095679716,0.02049059095679716,9.126850306871428e-16,-3.740291127240421e-17,-1.8701455636202106e-17,RUN2
reflection_monitor,450.9999999999999,0.02051344497434732,0.020513444974347317,0.020513444974347317,9.128709549133736e-16,-3.745225620459076e-17,-1.872612810229538e-17,RUN2
reflection_monitor,451.99999999999994,0.020549546580943802,0.020549546580943802,0.020549546580943802,9.13055658692935e-16,-3.752575957860959e-17,-1.8762879789304794e-17,RUN2
