case,status
RUN2,RUNTIME_LOG_EXISTS_BUT_STATUS_INCOMPLETE
RUN3A,NORMAL_AUTO_SHUTOFF_CONFIRMED
RUN3B,NORMAL_AUTO_SHUTOFF_CONFIRMED
RUN3C,NORMAL_AUTO_SHUTOFF_CONFIRMED
