wavelength_nm,interpolation_status,TiO2_n,TiO2_k,TiO2_epsilon_real,TiO2_epsilon_imag,SiO2_n,SiO2_k,SiO2_epsilon_real,SiO2_epsilon_imag
445,canonical_loader,2.5470274950277694,0.0,6.487349060427433,0.0,1.4264165533498672,0.0,2.034664183670514,0.0
446,canonical_loader,2.54506663788159,0.0,6.477364191257901,0.0,1.4263686782876022,0.0,2.034527606399921,0.0
447,canonical_loader,2.543113052366766,0.0,6.467423997118209,0.0,1.4263210158352546,0.0,2.034391640213313,0.0
448,canonical_loader,2.541166696390698,0.0,6.457528178845213,0.0,1.4262735645796039,0.0,2.0342562810186093,0.0
449,canonical_loader,2.5392275281945325,0.0,6.447676439940916,0.0,1.4262263231199266,0.0,2.034121524760185,0.0
450,canonical_loader,2.5372955063497944,0.0,6.437868486542859,0.0,1.4261792900678596,0.0,2.0339873674184643,0.0
451,canonical_loader,2.5353911456188496,0.0,6.428208261282462,0.0,1.426132588957751,0.0,2.0338541612873375,0.0
452,canonical_loader,2.533611573986554,0.0,6.419187607838624,0.0,1.4260868082121392,0.0,2.033723584556687,0.0
453,canonical_loader,2.5318386166340274,0.0,6.410206780679306,0.0,1.426041228129027,0.0,2.0335935843237434,0.0
454,canonical_loader,2.5300722354579577,0.0,6.4012655166352275,0.0,1.4259958473919376,0.0,2.0334641567790506,0.0
455,canonical_loader,2.528312392654571,0.0,6.392363554850683,0.0,1.425950664695887,0.0,2.033335298146642,0.0
