candidate_id,round,admitted_rows,exact_geometry_hash_sha256,checks,evidence
LPML_R2_HIGH_UNCERTAINTY_001,ROUND2,9,2a6e6f03bd12292ddd167149aa10f2043122dbf47bc0158d1795a11452a30d82,"{'row_count': True, 'waves': True, 'unique_exact_hash': True, 'plan_hash_match': True, 'complete_jones': True, 'model_fill_zero': True, 'candidate_xy_provenance': True, 'not_quarantined_exact_id': True}","{'candidate_checkpoint': 'outputs/lp_ml_dataset_v1/staging/lp_ml_dataset_v1_round2_active_learning_attempt1_v1/candidates/LPML_R2_HIGH_UNCERTAINTY_001/candidate_checkpoint.json', 'candidate_checkpoint_sha256': '34b1b18cd2ab04a8ead32cf3dacc3d502257fd0f830f9142530b79f320092c21', 'candidate_status': 'ACCEPTED', 'pass': True, 'subruns': [{'input_polarization': 'x', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': 'f0cf75a0eba3eb85f985da344cd33075b09c2a046c0676a1a7c347de055c4dc9'}, {'input_polarization': 'y', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '47ae6b3b25716abf2f912278ad83e1ffae5ac08eddaccfe50ae9bf6efcd2983c'}]}"
LPML_R2_HIGH_UNCERTAINTY_002,ROUND2,9,f35441827cf0d2c9b7e095c33da9cd6d0ab99b099c0d7a4277be47f64dcf3a72,"{'row_count': True, 'waves': True, 'unique_exact_hash': True, 'plan_hash_match': True, 'complete_jones': True, 'model_fill_zero': True, 'candidate_xy_provenance': True, 'not_quarantined_exact_id': True}","{'candidate_checkpoint': 'outputs/lp_ml_dataset_v1/staging/lp_ml_dataset_v1_round2_active_learning_attempt1_v1/candidates/LPML_R2_HIGH_UNCERTAINTY_002/candidate_checkpoint.json', 'candidate_checkpoint_sha256': '6538ff861a36dc200857057ad73a2f0d4316a71161e2adede83fd373e45e1341', 'candidate_status': 'ACCEPTED', 'pass': True, 'subruns': [{'input_polarization': 'x', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '995f37249b457f1daa51278e615b1d2515fb0a60f497f241292d532f06d85efa'}, {'input_polarization': 'y', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': 'cd164ed75bb651b62869316760145d94463432900f614a843256892588137458'}]}"
LPML_R2_HIGH_UNCERTAINTY_003,ROUND2,9,25a3c309f5810b21a9a4aa242f7d45ac8f775d5f2dc1cb75556c69668da10a6e,"{'row_count': True, 'waves': True, 'unique_exact_hash': True, 'plan_hash_match': True, 'complete_jones': True, 'model_fill_zero': True, 'candidate_xy_provenance': True, 'not_quarantined_exact_id': True}","{'candidate_checkpoint': 'outputs/lp_ml_dataset_v1/staging/lp_ml_dataset_v1_round2_active_learning_attempt1_v1/candidates/LPML_R2_HIGH_UNCERTAINTY_003/candidate_checkpoint.json', 'candidate_checkpoint_sha256': '980720ba2ab3cf144628376f8106fd86721d2666dbb776c8a1e901933413c7cf', 'candidate_status': 'ACCEPTED', 'pass': True, 'subruns': [{'input_polarization': 'x', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': 'edcd0ab114fece05a61a2ea12df12b2166f5397ccb0202737360b5315e29a2bd'}, {'input_polarization': 'y', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '87f6c1a0985d3f804b92b37f7e39423eb6a94ee5ef7ed21a1f130eba7198b652'}]}"
LPML_R2_HIGH_UNCERTAINTY_004,ROUND2,9,bfe5c991e173d8e43a5b08c353cac823c7865885e4142b75e32132fd8d3edf38,"{'row_count': True, 'waves': True, 'unique_exact_hash': True, 'plan_hash_match': True, 'complete_jones': True, 'model_fill_zero': True, 'candidate_xy_provenance': True, 'not_quarantined_exact_id': True}","{'candidate_checkpoint': 'outputs/lp_ml_dataset_v1/staging/lp_ml_dataset_v1_round2_active_learning_attempt1_v1/candidates/LPML_R2_HIGH_UNCERTAINTY_004/candidate_checkpoint.json', 'candidate_checkpoint_sha256': '9c8bbab2cf601fe53737147b049cb8319d4fa3aede7080f3fcf02ea7e8f65e50', 'candidate_status': 'ACCEPTED', 'pass': True, 'subruns': [{'input_polarization': 'x', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '5ccecb8bc5d8813aaf012a6a70087d12748fb65484f3fadcd571dd17ea44c6a0'}, {'input_polarization': 'y', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '7bbc2bfc6dda4b37c6dee4e0e5b56e909e6612ffe40b4b3c464a956670050277'}]}"
LPML_R2_HIGH_UNCERTAINTY_005,ROUND2,9,4908c5192452221edda1ab8fe7d0e060a9cfad7a6fbbbdc370bd0bb67478a980,"{'row_count': True, 'waves': True, 'unique_exact_hash': True, 'plan_hash_match': True, 'complete_jones': True, 'model_fill_zero': True, 'candidate_xy_provenance': True, 'not_quarantined_exact_id': True}","{'candidate_checkpoint': 'outputs/lp_ml_dataset_v1/staging/lp_ml_dataset_v1_round2_active_learning_attempt1_v1/candidates/LPML_R2_HIGH_UNCERTAINTY_005/candidate_checkpoint.json', 'candidate_checkpoint_sha256': '816202387a9dd04dce89d57ee75a14d02d08d27dbec9a58dde8485c1a65a590d', 'candidate_status': 'ACCEPTED', 'pass': True, 'subruns': [{'input_polarization': 'x', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '382913309efa6ae8846a690844c40f2b289178ce417151d7f2a84815af0cb960'}, {'input_polarization': 'y', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '21a2ba6db56e69521335b45b681e51641520d753ec7312f84cd0e9febc7004be'}]}"
LPML_R2_HIGH_UNCERTAINTY_006,ROUND2,9,37f4b00a22edbae5e30f8d3a8cddf30fe3333743b93fb5141ede46c850851ba7,"{'row_count': True, 'waves': True, 'unique_exact_hash': True, 'plan_hash_match': True, 'complete_jones': True, 'model_fill_zero': True, 'candidate_xy_provenance': True, 'not_quarantined_exact_id': True}","{'candidate_checkpoint': 'outputs/lp_ml_dataset_v1/staging/lp_ml_dataset_v1_round2_active_learning_attempt1_v1/candidates/LPML_R2_HIGH_UNCERTAINTY_006/candidate_checkpoint.json', 'candidate_checkpoint_sha256': 'cafeb6d74b400ef2ef43533556fcb6f48ec8c18d609ffbaf58d9632d2d3f8a65', 'candidate_status': 'ACCEPTED', 'pass': True, 'subruns': [{'input_polarization': 'x', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '9a1ed56c8f35118ecbd3394506b327361a507d829c4e1e8d1cb6bde8361fea8e'}, {'input_polarization': 'y', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': 'c6b17e1b29c2dc864c48750a31114a4e15438e0d710accfe96272e33a5b2189b'}]}"
LPML_R2_HIGH_UNCERTAINTY_007,ROUND2,9,f447ce0e428d39f1d9055da8692b608a9f0b342aab7aee33131b269a1e037adb,"{'row_count': True, 'waves': True, 'unique_exact_hash': True, 'plan_hash_match': True, 'complete_jones': True, 'model_fill_zero': True, 'candidate_xy_provenance': True, 'not_quarantined_exact_id': True}","{'candidate_checkpoint': 'outputs/lp_ml_dataset_v1/staging/lp_ml_dataset_v1_round2_active_learning_attempt1_v1/candidates/LPML_R2_HIGH_UNCERTAINTY_007/candidate_checkpoint.json', 'candidate_checkpoint_sha256': '9a5c4b7a49c45159758eedf399cd453aeb85c5684a8a2712ae1bac299aedd45b', 'candidate_status': 'ACCEPTED', 'pass': True, 'subruns': [{'input_polarization': 'x', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': 'dcb1029635a90b95c138085087704b8db34d93ce2f29ca95b7963ff4b2aaeee7'}, {'input_polarization': 'y', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '232a1181dc3974a27cc78e0cf7fcad65f197f7948db6b375166cd9168ba9d2db'}]}"
LPML_R2_HIGH_UNCERTAINTY_008,ROUND2,9,5146a2d220a2c80a424fa17c335e7970a87de1412804f60e472b72aaf4956085,"{'row_count': True, 'waves': True, 'unique_exact_hash': True, 'plan_hash_match': True, 'complete_jones': True, 'model_fill_zero': True, 'candidate_xy_provenance': True, 'not_quarantined_exact_id': True}","{'candidate_checkpoint': 'outputs/lp_ml_dataset_v1/staging/lp_ml_dataset_v1_round2_active_learning_attempt1_v1/candidates/LPML_R2_HIGH_UNCERTAINTY_008/candidate_checkpoint.json', 'candidate_checkpoint_sha256': 'a4df76089da4072395bb1cb3ef5a628586aa5d4a4e2c7964a56d78db2f693c3e', 'candidate_status': 'ACCEPTED', 'pass': True, 'subruns': [{'input_polarization': 'x', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '05093a51c908fbd3d844aa6fca8c34c2081069872ec9172e1feb5c54bcc1a595'}, {'input_polarization': 'y', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': 'cc1138ed6a1a248ffd7168a40ffdab4b001002e9be2bdc7ed6e0028f438aec9a'}]}"
LPML_R2_HIGH_UNCERTAINTY_009,ROUND2,9,0f2598a76a6d6b0b269d1099c2a418dff90976319dedaa79de3134fc5fe02707,"{'row_count': True, 'waves': True, 'unique_exact_hash': True, 'plan_hash_match': True, 'complete_jones': True, 'model_fill_zero': True, 'candidate_xy_provenance': True, 'not_quarantined_exact_id': True}","{'candidate_checkpoint': 'outputs/lp_ml_dataset_v1/staging/lp_ml_dataset_v1_round2_active_learning_attempt1_v1/candidates/LPML_R2_HIGH_UNCERTAINTY_009/candidate_checkpoint.json', 'candidate_checkpoint_sha256': '203b5c291bbe258d3194976dda2fac56d51552ce87d43d1f850a01c0a71a76bd', 'candidate_status': 'ACCEPTED', 'pass': True, 'subruns': [{'input_polarization': 'x', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': 'afe5f76fe3d729becce2c6e0d9dd6b3bc20a94ae18394cca684196bba161bf4f'}, {'input_polarization': 'y', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '5d302f62e00d7d98a92f5d12c2063366e5fc3d36def91dee508024b217e316ea'}]}"
LPML_R2_HIGH_UNCERTAINTY_010,ROUND2,9,891fd3950d848cae1f131a144252dc9be95d40ee7205b2de8a8b54d2c8c0f363,"{'row_count': True, 'waves': True, 'unique_exact_hash': True, 'plan_hash_match': True, 'complete_jones': True, 'model_fill_zero': True, 'candidate_xy_provenance': True, 'not_quarantined_exact_id': True}","{'candidate_checkpoint': 'outputs/lp_ml_dataset_v1/staging/lp_ml_dataset_v1_round2_active_learning_attempt1_v1/candidates/LPML_R2_HIGH_UNCERTAINTY_010/candidate_checkpoint.json', 'candidate_checkpoint_sha256': '971dd9884f8aa49180b02f655bff1892367a7d92ee6b5f821128c53554696a87', 'candidate_status': 'ACCEPTED', 'pass': True, 'subruns': [{'input_polarization': 'x', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': '47beadfa22f0afe1f808beec9547bfe5695303b890acd0fc6a120a0137426886'}, {'input_polarization': 'y', 'status': 'ACCEPTED', 'solver_entered': True, 'record_status': 'ACCEPTED', 'record_solver_entered': 'True', 'run_result_sha256': 'f09f1cc3ffadb58b167101b55dace6f0a2f0a42fccb8c86fba359b8f554f3671'}]}"
