record_id,geometry_id,source_id,source_relative_path,source_row_identifier,source_candidate_id,source_commit,extraction_rule,dedup_action,conflict_status,notes
MAN_EX_N2_L77_H42_C161,GEO_9a24e3dcbc50e7c0,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C161,EX_N2_L77_H42_C161,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H42_C162,GEO_06d1ac1f287d979b,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H42_C162,EX_N2_L77_H42_C162,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C152,GEO_468599a0b34d8513,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C152,EX_N2_L78_H42_C152,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C153,GEO_f5e00009a83e0a1f,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C153,EX_N2_L78_H42_C153,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C154,GEO_d8fe1978e53021bb,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C154,EX_N2_L78_H42_C154,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C155,GEO_f8632f167708ebfb,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C155,EX_N2_L78_H42_C155,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C156,GEO_3e6aa28cbedc11a2,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C156,EX_N2_L78_H42_C156,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C157,GEO_a66d47c96cb0f599,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C157,EX_N2_L78_H42_C157,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C158,GEO_d311a6e971f0d0c2,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C158,EX_N2_L78_H42_C158,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C159,GEO_4092083e65afc807,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C159,EX_N2_L78_H42_C159,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C160,GEO_1b3ff74bbe54d3c6,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C160,EX_N2_L78_H42_C160,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C161,GEO_f1086b24c0169b5a,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C161,EX_N2_L78_H42_C161,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L78_H42_C162,GEO_fc888557ff23fff3,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L78_H42_C162,EX_N2_L78_H42_C162,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L79_H42_C152,GEO_ffc7ded655ae2cfe,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L79_H42_C152,EX_N2_L79_H42_C152,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L79_H42_C153,GEO_ab83b559c9bcaf91,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L79_H42_C153,EX_N2_L79_H42_C153,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L79_H42_C154,GEO_41ea427aa145a7e5,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L79_H42_C154,EX_N2_L79_H42_C154,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L79_H42_C155,GEO_baabc3917250ce3e,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L79_H42_C155,EX_N2_L79_H42_C155,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L79_H42_C156,GEO_abb5288065b7f522,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L79_H42_C156,EX_N2_L79_H42_C156,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L79_H42_C157,GEO_7da837563d62d734,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L79_H42_C157,EX_N2_L79_H42_C157,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
