source_id,relative_path,file_type,source_stage,simulation_method,fidelity_level,row_count,size_bytes,sha256,git_commit,included_in_database,exclusion_reason,notes
SRC_00100,scripts/apcd_native_materials.py,py,other,metadata,unknown,,5781,ccaeeb2ad4f892d1ba455c1ef2563854da72ce4f06155a22a195546293f2bf7f,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00101,scripts/blue_stage10_cp_zprop_validation/audit_cp_zprop_setup_and_extract.py,py,other,metadata,unknown,,4041,75390f6e8fbac2534ababffaf8a8c5da345384291cd21f82e247b6f22934bb03,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00102,scripts/blue_stage10_cp_zprop_validation/audit_cp_zprop_xline_j1j2_asymmetry.py,py,other,metadata,unknown,,20621,01fbb64154b841af5d218d259d1091004d6e536e11a3c1616f029baf0be588e9,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00103,scripts/blue_stage10_cp_zprop_validation/extract_cp_zprop_5pos_cp_lee_metrics.py,py,other,metadata,unknown,,13448,a47e0fe48da1519623d2c41d7097f9b79a4d8cb0962924e67133d21541066a9b,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00104,scripts/blue_stage10_cp_zprop_validation/extract_cp_zprop_center_farfield.py,py,other,metadata,unknown,,12183,1eddcb69d2431887019cd74a7310d76f9b5d9fccc10759b6d48ccbf179e1fd58,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00105,scripts/blue_stage10_cp_zprop_validation/extract_cp_zprop_grid_cone_convergence.py,py,other,metadata,unknown,,10687,2cc57a595b369acc537ae171863fcce036139c758c453dbf41d6ed3e6f5daf57,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00106,scripts/blue_stage10_cp_zprop_validation/extract_cp_zprop_planewave_control.py,py,other,metadata,unknown,,12141,185b65884ba91b099a91f4d6fd578bdb327a6c6d5db817cde1c97c21f092d07c,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00107,scripts/blue_stage10_cp_zprop_validation/postprocess_rcled_dbr_only_farfield.py,py,other,metadata,unknown,,8360,3a1faf6ba5761412147aa20cfeed99935b0069f602a7d5e2b850e628e965ddce,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00108,scripts/blue_stage10_cp_zprop_validation/run_cp_zprop_5pos_bare_reference.py,py,other,metadata,unknown,,2029,f540cdbad99ee1651a9813bf0950cdfe010c00dbff5ad15cfe67530be2fa1cb0,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00109,scripts/blue_stage10_cp_zprop_validation/run_cp_zprop_5pos_xy_sweep.py,py,other,metadata,unknown,,17296,b7962d6d1e69302fc91908d27b4a8d9c832d3ed1b93eddcc4de41a5589508a3f,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00110,scripts/blue_stage10_cp_zprop_validation/run_cp_zprop_center_xy_t100.py,py,other,metadata,unknown,,13575,cd68c38abeff1bdf71e048c7133ec8cecec1aadfc5e83d4703431c35f691a7ba,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00111,scripts/blue_stage10_cp_zprop_validation/run_cp_zprop_center_xy_time_convergence.py,py,other,metadata,unknown,,3302,84424fe89daca090e414afc44b8dc0d2906a5b6dcd6997786504c1b4577e0479,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00112,scripts/blue_stage10_cp_zprop_validation/run_cp_zprop_planewave_control.py,py,other,metadata,unknown,,8114,a4df21523b1afa897366508fc9651970ef7fc4b95ac8a6368a8842917d8278a6,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00113,scripts/blue_stage10_cp_zprop_validation/stage10_cp_bw1_spectral_tolerance.py,py,other,metadata,unknown,,21323,b1fde1c01940bec2020e86064509b2fe0d6b737fc0d370ee51a4a9eaef135c6d,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00114,scripts/blue_stage10_cp_zprop_validation/stage10_cp_bw1r2_dense_448nm_notch_check.py,py,other,metadata,unknown,,15260,730f228fac60d86e783e55fe4053a4be71835c2fe5c9eabe3936dd293d9126a3,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00115,scripts/blue_stage10_cp_zprop_validation/stage10_cp_bw1r_fresh_448nm_check.py,py,other,metadata,unknown,,14977,2f83fb9a5b4e6447fc4b05bc9a02cd3956f428489f8e5ef6011fd42b460a0604,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00116,scripts/blue_stage10_cp_zprop_validation/stage10_cp_bw2_refined_025_run.py,py,other,metadata,unknown,,16574,4d67db3ef77fb033aff0589b1a0597db1b71e835a896c4cde4c0729325e53ed5,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00117,scripts/blue_stage10_cp_zprop_validation/stage10_cp_bw2_robust_narrowband_dimer_screen.py,py,other,metadata,unknown,,8601,2b527368be9fda76d2cbc3ec5cee47d952784af26bb34a9f3c48e2f16564b6c3,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00118,scripts/blue_stage10_cp_zprop_validation/stage10_cp_route_b1_dtheta_plane_wave_scout.py,py,other,metadata,unknown,,26743,43d66b14ad24afb7f3ebd8b114c79fc1196948b152662ae367194c2e84c07fdd,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00119,scripts/blue_stage10_cp_zprop_validation/stage10_cp_route_b2_finite_patch_xplus_test.py,py,other,metadata,unknown,,29198,a5a7812d090530be9508daa16ede43c2c04b93eb2e1d5e5fd862e02f4cff5e69,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00120,scripts/blue_stage10_cp_zprop_validation/stage10_cp_route_b3_d195t90_xline_validation.py,py,other,metadata,unknown,,19058,bd36d14960d28622b0bc10a8306fddcdce4bdd489a3e9bd3def07579d737a411,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00121,scripts/blue_stage10_cp_zprop_validation/stage10_cp_route_b4_3_tolerance_plane_wave_screen.py,py,other,metadata,unknown,,24471,93441a9512f66a443a4f78e77d1b79f247bc1312867cd19369d954c1568ee3ef,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00122,scripts/blue_stage10_cp_zprop_validation/stage10_cp_route_b4_4_finite_patch_tolerance.py,py,other,metadata,unknown,,19616,74ebc576368ee95872384fe0f8313b6fd8c893a972ea3133d095fd9f4f73d406,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00123,scripts/blue_stage10_cp_zprop_validation/stage10_cp_route_b4_integer_plane_wave_screen.py,py,other,metadata,unknown,,24942,9c29ca7cd420ec4e1b3fc4390393118acbbb5e73eb8cccd2ba4b8f38b0589ae1,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00124,scripts/blue_stage10_cp_zprop_validation/stage10_cp_route_b4_integer_xline_validation.py,py,other,metadata,unknown,,19535,3ae596b5ee4e5073115b3416a59cb740dd2f49af83a79d7a32445cd1ea49dcdd,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00125,scripts/blue_stage10_cp_zprop_validation/stage_rcled_mdc_blue_oujizi_2d_plane_wave_spectrum.py,py,other,metadata,unknown,,20140,cae44fc56a7ae722603e786ebc0137a25b2c7acee4a6fb4be3b20bc07ed30fb9,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00126,scripts/blue_stage10_cp_zprop_validation/stage_rcled_mdc_blue_oujizi_dbr_only.py,py,other,metadata,unknown,,20179,76a1d39001d2fef884d143602833f3faed36257c5194fdce7bc93691273f54a3,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00127,scripts/extract_material_ref_from_fsp_mdc_blue_oujizi_m.py,py,other,metadata,unknown,,16137,280fef2574dd8ece7cc0dd950c437a34adf64cd554ed165e96b32486915e60f6,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00128,scripts/mdc_tmm_core.py,py,other,metadata,unknown,,3169,e371f4ae34b6ce511fca29708e15a95be1bb2c175a2b88b6b08f31755201f5cb,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00129,scripts/paper_figures/make_nature_figures_from_existing_results.py,py,other,metadata,unknown,,30842,69ea58d7ba4bbb330b9213047d99de4f4acb712428d798040aa23db01d1a65ae,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00130,scripts/stage10lp_j1_identity_shape_scan.py,py,other,metadata,unknown,,26292,f0658a70b12a120c2cd16f0b02df1e37b7e6d5ce370449bf8b7b52f017b66042,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00131,scripts/stage11_lp_apcd_240_300_expanded_search_stage11_3b4.py,py,other,metadata,unknown,,24468,a34c583d1b4bc3eb6f0414b7f113d880c45ffc735d9318db04105f4b062bebb9,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00132,scripts/stage11_lp_apcd_audit_h500_120_y_pair_micro_rescue_stage11_2h.py,py,other,metadata,unknown,,7805,8480dfa5df02bf9106a9e76e804771f32f4e6e895a982bf73c30331d3e20d099,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00133,scripts/stage11_lp_apcd_audit_h500_dimer_120_240_refine_stage11_2f.py,py,other,metadata,unknown,,13214,cdc28382665611de181dec6f11052a4febc7073f5f5fcc757de8bf169bf2e4cb,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00134,scripts/stage11_lp_apcd_audit_h500_dimer_240_fine_pull_stage11_2e.py,py,other,metadata,unknown,,14124,a4003b43ba4672088e9ea85ff3dd93eb503fa571ffc1576566007d3ef04f6f92,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00135,scripts/stage11_lp_apcd_audit_h500_dimer_actual_library_stage11_2c.py,py,other,metadata,unknown,,7348,4f1164095c0dc7fa7c5d0bf5de0824b4729f589892fd4f429d13f0034e2654e1,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
